date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Amaranthus,86,Kerala,32,Malappuram,592,2925,3050,2987.5
2025-10-29,Amaranthus,86,Kerala,32,Malappuram,592,2733.3333333333335,2866.6666666666665,2808.3333333333335
2025-10-28,Amaranthus,86,Kerala,32,Malappuram,592,2850,2983.3333333333335,2925
2025-10-27,Amaranthus,86,Kerala,32,Malappuram,592,2750,2883.3333333333335,2825
2025-10-26,Amaranthus,86,Kerala,32,Malappuram,592,2300,2500,2400
2025-10-25,Amaranthus,86,Kerala,32,Malappuram,592,2900,3040,2980
2025-10-24,Amaranthus,86,Kerala,32,Malappuram,592,2714.285714285714,2857.1428571428573,2792.8571428571427
2025-10-23,Amaranthus,86,Kerala,32,Malappuram,592,2750,2883.3333333333335,2825
2025-10-22,Amaranthus,86,Kerala,32,Malappuram,592,2850,3000,2941.6666666666665
2025-10-21,Amaranthus,86,Kerala,32,Malappuram,592,2240,2600,2530
2025-10-20,Amaranthus,86,Kerala,32,Malappuram,592,2883.3333333333335,3066.6666666666665,2966.6666666666665
2025-10-19,Amaranthus,86,Kerala,32,Malappuram,592,2150,2300,2225
2025-10-18,Amaranthus,86,Kerala,32,Malappuram,592,2366.6666666666665,2500,2450
2025-10-17,Amaranthus,86,Kerala,32,Malappuram,592,2785.714285714286,2928.5714285714284,2864.285714285714
2025-10-16,Amaranthus,86,Kerala,32,Malappuram,592,2257.1428571428573,2428.5714285714284,2350
2025-10-15,Amaranthus,86,Kerala,32,Malappuram,592,2880,3000,2950
2025-10-14,Amaranthus,86,Kerala,32,Malappuram,592,2866.6666666666665,3000,2941.6666666666665
2025-10-13,Amaranthus,86,Kerala,32,Malappuram,592,3160,3320,3250
2025-10-12,Amaranthus,86,Kerala,32,Malappuram,592,2366.6666666666665,2533.3333333333335,2450
2025-10-11,Amaranthus,86,Kerala,32,Malappuram,592,2200,2533.3333333333335,2291.6666666666665
2025-10-10,Amaranthus,86,Kerala,32,Malappuram,592,3150,3275,3225
2025-10-09,Amaranthus,86,Kerala,32,Malappuram,592,2900,3033.3333333333335,2975
2025-10-08,Amaranthus,86,Kerala,32,Malappuram,592,3080,3200,3150
