date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Amphophalus,102,Kerala,32,Ernakulam,595,4133.333333333333,5066.666666666667,4466.666666666667
2025-10-29,Amphophalus,102,Kerala,32,Ernakulam,595,4233.333333333333,5066.666666666667,4566.666666666667
2025-10-28,Amphophalus,102,Kerala,32,Ernakulam,595,3600,4650,4050
2025-10-27,Amphophalus,102,Kerala,32,Ernakulam,595,3750,4800,4150
2025-10-26,Amphophalus,102,Kerala,32,Ernakulam,595,2000,3000,2800
2025-10-25,Amphophalus,102,Kerala,32,Ernakulam,595,3937.5,4747.5,4242.5
2025-10-24,Amphophalus,102,Kerala,32,Ernakulam,595,3975,5050,4400
2025-10-23,Amphophalus,102,Kerala,32,Ernakulam,595,3566.6666666666665,4400,4050
2025-10-22,Amphophalus,102,Kerala,32,Ernakulam,595,3560,4580,3980
2025-10-21,Amphophalus,102,Kerala,32,Ernakulam,595,4050,5050,4425
2025-10-20,Amphophalus,102,Kerala,32,Ernakulam,595,4000,5000,4500
2025-10-19,Amphophalus,102,Kerala,32,Ernakulam,595,3346.6666666666665,3880,3596.6666666666665
2025-10-18,Amphophalus,102,Kerala,32,Ernakulam,595,4500,5500,4850
2025-10-17,Amphophalus,102,Kerala,32,Ernakulam,595,3825,4750,4225
2025-10-16,Amphophalus,102,Kerala,32,Ernakulam,595,4275,5125,4650
2025-10-15,Amphophalus,102,Kerala,32,Ernakulam,595,4200,5125,4575
2025-10-14,Amphophalus,102,Kerala,32,Ernakulam,595,4600,5250,4900
2025-10-13,Amphophalus,102,Kerala,32,Ernakulam,595,4500,5333.333333333333,4900
2025-10-11,Amphophalus,102,Kerala,32,Ernakulam,595,4250,5500,4600
2025-10-10,Amphophalus,102,Kerala,32,Ernakulam,595,4500,5500,5000
2025-10-09,Amphophalus,102,Kerala,32,Ernakulam,595,3980,4860,4290
2025-10-08,Amphophalus,102,Kerala,32,Ernakulam,595,4300,5175,4675
2025-10-07,Amphophalus,102,Kerala,32,Ernakulam,595,4400,5233.333333333333,4733.333333333333
2025-10-06,Amphophalus,102,Kerala,32,Ernakulam,595,4375,5175,4700
2025-10-05,Amphophalus,102,Kerala,32,Ernakulam,595,4000,5000,4500
2025-10-04,Amphophalus,102,Kerala,32,Ernakulam,595,4300,5175,4625
2025-10-03,Amphophalus,102,Kerala,32,Ernakulam,595,4088,4816,4352
2025-10-02,Amphophalus,102,Kerala,32,Ernakulam,595,4000,5000,4500
2025-10-01,Amphophalus,102,Kerala,32,Ernakulam,595,4000,5000,4500
2025-09-30,Amphophalus,102,Kerala,32,Ernakulam,595,5000,6000,5200
2025-09-29,Amphophalus,102,Kerala,32,Ernakulam,595,4500,5333.333333333333,4833.333333333333
2025-09-28,Amphophalus,102,Kerala,32,Ernakulam,595,4000,5000,4500
2025-09-27,Amphophalus,102,Kerala,32,Ernakulam,595,4450,5175,4750
2025-09-26,Amphophalus,102,Kerala,32,Ernakulam,595,4425,5175,4750
2025-09-25,Amphophalus,102,Kerala,32,Ernakulam,595,4375,5100,4675
2025-09-24,Amphophalus,102,Kerala,32,Ernakulam,595,4150,4975,4450
2025-09-23,Amphophalus,102,Kerala,32,Ernakulam,595,4333.333333333333,5166.666666666667,4700
2025-09-22,Amphophalus,102,Kerala,32,Ernakulam,595,4525,5250,4825
2025-09-21,Amphophalus,102,Kerala,32,Ernakulam,595,4000,5000,4500
2025-09-20,Amphophalus,102,Kerala,32,Ernakulam,595,4320,5168,4604
2025-09-19,Amphophalus,102,Kerala,32,Ernakulam,595,4100,5200,4425
2025-09-18,Amphophalus,102,Kerala,32,Ernakulam,595,4350,5450,4675
2025-09-17,Amphophalus,102,Kerala,32,Ernakulam,595,4280,5200,4620
2025-09-16,Amphophalus,102,Kerala,32,Ernakulam,595,4150,5200,4500
2025-09-15,Amphophalus,102,Kerala,32,Ernakulam,595,4332,5120,4616
2025-09-14,Amphophalus,102,Kerala,32,Ernakulam,595,4800,5500,5200
2025-09-13,Amphophalus,102,Kerala,32,Ernakulam,595,4000,5000,4500
2025-09-12,Amphophalus,102,Kerala,32,Ernakulam,595,4750,6000,5000
2025-09-11,Amphophalus,102,Kerala,32,Ernakulam,595,4533.333333333333,5566.666666666667,4766.666666666667
2025-09-10,Amphophalus,102,Kerala,32,Ernakulam,595,4600,5700,4950
2025-09-09,Amphophalus,102,Kerala,32,Ernakulam,595,4875,5725,5200
2025-09-08,Amphophalus,102,Kerala,32,Ernakulam,595,4580,5496,4848
2025-09-07,Amphophalus,102,Kerala,32,Ernakulam,595,3000,4000,3500
2025-09-06,Amphophalus,102,Kerala,32,Ernakulam,595,3500,4500,4000
2025-09-04,Amphophalus,102,Kerala,32,Ernakulam,595,4500,6000,5500
2025-09-03,Amphophalus,102,Kerala,32,Ernakulam,595,4766.666666666667,6066.666666666667,5233.333333333333
2025-09-02,Amphophalus,102,Kerala,32,Ernakulam,595,4700,6000,5000
2025-09-01,Amphophalus,102,Kerala,32,Ernakulam,595,4866.666666666667,6000,5133.333333333333
2025-08-30,Amphophalus,102,Kerala,32,Ernakulam,595,4933.333333333333,6400,5233.333333333333
2025-08-29,Amphophalus,102,Kerala,32,Ernakulam,595,4633.333333333333,6000,5033.333333333333
2025-08-28,Amphophalus,102,Kerala,32,Ernakulam,595,5600,8000,5800
2025-08-27,Amphophalus,102,Kerala,32,Ernakulam,595,4800,6000,5066.666666666667
2025-08-26,Amphophalus,102,Kerala,32,Ernakulam,595,4766.666666666667,5500,5200
2025-08-25,Amphophalus,102,Kerala,32,Ernakulam,595,4925,6125,5275
2025-08-24,Amphophalus,102,Kerala,32,Ernakulam,595,5000,6000,5500
2025-08-23,Amphophalus,102,Kerala,32,Ernakulam,595,4566.666666666667,6000,4900
2025-08-22,Amphophalus,102,Kerala,32,Ernakulam,595,4750,6500,5000
2025-08-21,Amphophalus,102,Kerala,32,Ernakulam,595,3980,7668.8,6928.8
2025-08-20,Amphophalus,102,Kerala,32,Ernakulam,595,4825,6000,5250
2025-08-19,Amphophalus,102,Kerala,32,Ernakulam,595,4875,6000,5200
2025-08-18,Amphophalus,102,Kerala,32,Ernakulam,595,5125,6350,5475
2025-08-17,Amphophalus,102,Kerala,32,Ernakulam,595,5000,6000,5500
2025-08-16,Amphophalus,102,Kerala,32,Ernakulam,595,4950,6000,5300
2025-08-15,Amphophalus,102,Kerala,32,Ernakulam,595,5500,6500,6000
2025-08-14,Amphophalus,102,Kerala,32,Ernakulam,595,4975,6250,5300
2025-08-13,Amphophalus,102,Kerala,32,Ernakulam,595,5050,6350,5450
2025-08-12,Amphophalus,102,Kerala,32,Ernakulam,595,5160,6260,5520
2025-08-11,Amphophalus,102,Kerala,32,Ernakulam,595,5450,6675,5825
2025-08-09,Amphophalus,102,Kerala,32,Ernakulam,595,6000,8000,7000
2025-08-08,Amphophalus,102,Kerala,32,Ernakulam,595,5700,7500,6266.666666666667
2025-08-07,Amphophalus,102,Kerala,32,Ernakulam,595,5280,6340,5620
2025-08-06,Amphophalus,102,Kerala,32,Ernakulam,595,5525,6925,6025
2025-08-05,Amphophalus,102,Kerala,32,Ernakulam,595,4900,5783.333333333333,5316.666666666667
2025-08-04,Amphophalus,102,Kerala,32,Ernakulam,595,5950,7075,6425
2025-08-03,Amphophalus,102,Kerala,32,Ernakulam,595,6000,7000,6500
2025-08-02,Amphophalus,102,Kerala,32,Ernakulam,595,5500,6500,6000
2025-08-01,Amphophalus,102,Kerala,32,Ernakulam,595,6025,6975,6425
2025-07-31,Amphophalus,102,Kerala,32,Ernakulam,595,6100,7250,6625
2025-07-30,Amphophalus,102,Kerala,32,Ernakulam,595,5933.333333333333,6800,6300
2025-07-29,Amphophalus,102,Kerala,32,Ernakulam,595,5925,6950,6300
2025-07-28,Amphophalus,102,Kerala,32,Ernakulam,595,5875,7200,6375
2025-07-27,Amphophalus,102,Kerala,32,Ernakulam,595,8000,10000,9000
2025-07-26,Amphophalus,102,Kerala,32,Ernakulam,595,6350,7500,6800
2025-07-25,Amphophalus,102,Kerala,32,Ernakulam,595,6325,7500,6800
2025-07-24,Amphophalus,102,Kerala,32,Ernakulam,595,5250,6100,5650
2025-07-23,Amphophalus,102,Kerala,32,Ernakulam,595,6833.333333333333,8000,7333.333333333333
2025-07-22,Amphophalus,102,Kerala,32,Ernakulam,595,6750,8000,7100
2025-07-21,Amphophalus,102,Kerala,32,Ernakulam,595,6086,7066,6486
2025-07-19,Amphophalus,102,Kerala,32,Ernakulam,595,6233.333333333333,6933.333333333333,6600
2025-07-18,Amphophalus,102,Kerala,32,Ernakulam,595,6300,7200,6650
2025-07-17,Amphophalus,102,Kerala,32,Ernakulam,595,6325,7250,6675
2025-07-16,Amphophalus,102,Kerala,32,Ernakulam,595,6375,7200,6700
2025-07-15,Amphophalus,102,Kerala,32,Ernakulam,595,6450,7500,6850
2025-07-14,Amphophalus,102,Kerala,32,Ernakulam,595,6150,7200,6525
2025-07-13,Amphophalus,102,Kerala,32,Ernakulam,595,6500,7000,6750
2025-07-11,Amphophalus,102,Kerala,32,Ernakulam,595,6666.666666666667,8000,7166.666666666667
2025-07-10,Amphophalus,102,Kerala,32,Ernakulam,595,6150,7200,6500
