date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2016-08-01,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12500,12600,12500
2016-07-29,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12300,12400,12300
2016-07-28,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12300,12400,12300
2016-07-27,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12200,12300,12300
2016-07-26,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12200,12400,12400
2016-07-25,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12200,12400,12200
2016-07-24,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12300,12400,12400
2016-07-22,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12400,12500,12500
2016-07-21,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12300,12400,12400
2016-07-20,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12400,12600,12400
2016-07-19,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12400,12500,12500
2016-07-18,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12300,12500,12400
2016-07-16,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12400,12500,12400
2016-07-15,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12400,12500,12500
2016-07-14,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12400,12500,12500
2016-07-13,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12200,12400,12400
2016-07-12,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12200,12400,12200
2016-07-11,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12200,12400,12300
2016-07-10,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12400,12600,12500
2016-07-09,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12400,12500,12400
2016-07-08,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12400,12600,12500
2016-07-07,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12200,12400,12200
2016-07-06,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12400,12500,12400
2016-07-05,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12200,12300,12200
2016-07-04,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12100,12200,12200
2016-07-03,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12000,12200,12200
2016-07-02,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12300,12400,12400
2016-07-01,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12300,12400,12300
2016-06-30,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12400,12500,12400
2016-06-29,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12400,12500,12400
2016-06-28,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12200,12400,12200
2016-06-27,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12100,12400,12200
2016-06-26,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12200,12400,12400
2016-06-25,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12000,12400,12200
2016-06-24,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12200,12400,12300
2016-06-23,Arhar (Tur/Red Gram)(Whole),49,West Bengal,19,Puruliya,340,12000,12200,12100
