date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-29,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10060,10200,10140
2025-10-27,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10080,10200,10150
2025-10-26,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10060,10180,10140
2025-10-25,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10080,10180,10140
2025-10-24,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10080,10170,10130
2025-10-23,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10120,10230,10180
2025-10-18,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10030,10180,10120
2025-10-17,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10020,10150,10100
2025-10-16,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10030,10200,10130
2025-10-15,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10000,10200,10140
2025-10-13,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10070,10200,10140
2025-10-12,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10030,10180,10120
2025-10-11,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10080,10180,10130
2025-10-06,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10080,10200,10140
2025-10-05,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10070,10180,10130
2025-10-04,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10060,10190,10120
2025-10-03,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10070,10200,10160
2025-10-02,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10100,10200,10150
2025-09-29,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10020,10150,10100
2025-09-28,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10020,10120,10070
2025-09-27,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,9940,10100,10020
2025-09-26,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10000,10100,10050
2025-09-25,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,9950,10100,10020
2025-09-24,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10000,10120,10080
2025-09-22,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10110,10250,10180
2025-09-21,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10080,10180,10120
2025-09-20,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10100,10200,10160
2025-09-19,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10060,10180,10130
2025-09-18,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10030,10180,10120
2025-09-17,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10050,10150,10110
2025-09-15,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10080,10150,10130
2025-09-14,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10050,10160,10110
2025-09-13,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10080,10170,10125
2025-09-12,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10080,10200,10120
2025-09-11,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10020,10170,10100
2025-09-10,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10050,10200,10130
2025-09-08,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10000,10120,10070
2025-09-07,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10020,10150,10100
2025-09-06,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10050,10180,10120
2025-09-05,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10050,10190,10130
2025-09-04,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10100,10180,10130
2025-09-03,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10020,10170,10100
2025-09-01,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10050,10170,10100
2025-08-31,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10050,10180,10130
2025-08-29,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10025,10150,10100
2025-08-28,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10020,10150,10100
2025-08-27,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10000,10130,10060
2025-08-23,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10020,10120,10070
2025-08-22,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10000,10100,10050
2025-08-21,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10000,10140,10080
2025-08-20,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10000,10140,10060
2025-08-18,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10020,10160,10100
2025-08-17,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10020,10120,10080
2025-08-16,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,9950,10080,10030
2025-08-14,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10000,10100,10050
2025-08-13,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,9930,10050,10000
2025-08-11,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10000,10110,10060
2025-08-10,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10000,10100,10050
2025-08-09,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,9950,10070,10020
2025-08-08,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,9960,10050,10000
2025-08-07,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10000,10120,10050
2025-08-06,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10000,10100,10040
2025-08-04,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10020,10160,10110
2025-08-03,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10000,10100,10050
2025-08-02,Arhar Dal (Tur Dal),260,Uttar Pradesh,9,Jyotiba Phule Nagar,137,10070,10170,10120
