date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-09-23,Ashgourd,83,Tripura,16,West Tripura,289,5100,5300,5200
2025-08-24,Ashgourd,83,Tripura,16,West Tripura,289,5500,5700,5600
2025-07-07,Ashgourd,83,Tripura,16,West Tripura,289,5900,6100,6000
2025-06-14,Ashgourd,83,Tripura,16,West Tripura,289,4600,4800,4700
2025-05-15,Ashgourd,83,Tripura,16,West Tripura,289,2800,3000,2900
2025-04-06,Ashgourd,83,Tripura,16,West Tripura,289,3000,3200,3100
2025-03-31,Ashgourd,83,Tripura,16,West Tripura,289,2600,2800,2700
2025-03-22,Ashgourd,83,Tripura,16,West Tripura,289,4600,4800,4700
2025-02-04,Ashgourd,83,Tripura,16,West Tripura,289,3100,3350,3250
2025-02-01,Ashgourd,83,Tripura,16,West Tripura,289,3900,4100,4000
2025-01-31,Ashgourd,83,Tripura,16,West Tripura,289,2000,2240,2150
2025-01-25,Ashgourd,83,Tripura,16,West Tripura,289,6000,8000,7000
2024-05-08,Ashgourd,83,Tripura,16,West Tripura,289,3700,4000,3800
2024-05-06,Ashgourd,83,Tripura,16,West Tripura,289,3200,3500,3400
2024-03-05,Ashgourd,83,Tripura,16,West Tripura,289,3700,4000,3800
2023-12-12,Ashgourd,83,Tripura,16,West Tripura,289,4000,4500,4200
2023-07-24,Ashgourd,83,Tripura,16,West Tripura,289,4000,5000,4500
2023-06-19,Ashgourd,83,Tripura,16,West Tripura,289,4000,6000,5000
2023-04-28,Ashgourd,83,Tripura,16,West Tripura,289,3000,4500,4000
2023-04-25,Ashgourd,83,Tripura,16,West Tripura,289,3000,5000,4000
2023-04-23,Ashgourd,83,Tripura,16,West Tripura,289,400,600,500
2023-04-20,Ashgourd,83,Tripura,16,West Tripura,289,500,700,600
2023-04-13,Ashgourd,83,Tripura,16,West Tripura,289,1400,1600,1500
2023-04-09,Ashgourd,83,Tripura,16,West Tripura,289,1200,1600,1400
2022-06-19,Ashgourd,83,Tripura,16,West Tripura,289,900,1200,1100
2022-06-16,Ashgourd,83,Tripura,16,West Tripura,289,800,1000,900
2022-06-05,Ashgourd,83,Tripura,16,West Tripura,289,1600,1800,1700
2022-05-19,Ashgourd,83,Tripura,16,West Tripura,289,1100,1300,1200
2022-05-15,Ashgourd,83,Tripura,16,West Tripura,289,800,1000,900
2022-05-12,Ashgourd,83,Tripura,16,West Tripura,289,1700,1900,1800
2022-05-08,Ashgourd,83,Tripura,16,West Tripura,289,2100,2300,2200
2022-05-01,Ashgourd,83,Tripura,16,West Tripura,289,2500,2700,2600
2022-04-28,Ashgourd,83,Tripura,16,West Tripura,289,1900,2100,2000
2021-07-19,Ashgourd,83,Tripura,16,West Tripura,289,3000,3500,3250
2021-06-20,Ashgourd,83,Tripura,16,West Tripura,289,2500,3000,2750
2021-06-17,Ashgourd,83,Tripura,16,West Tripura,289,2000,2500,2250
2021-06-10,Ashgourd,83,Tripura,16,West Tripura,289,2000,2500,2250
2021-06-09,Ashgourd,83,Tripura,16,West Tripura,289,2000,2500,2250
2021-06-08,Ashgourd,83,Tripura,16,West Tripura,289,2000,2500,2250
2021-06-07,Ashgourd,83,Tripura,16,West Tripura,289,2000,2500,2250
2021-06-06,Ashgourd,83,Tripura,16,West Tripura,289,2000,2500,2250
2021-06-03,Ashgourd,83,Tripura,16,West Tripura,289,2000,2500,2250
2021-06-02,Ashgourd,83,Tripura,16,West Tripura,289,2000,2400,2200
2021-06-01,Ashgourd,83,Tripura,16,West Tripura,289,2500,3000,2750
2021-05-29,Ashgourd,83,Tripura,16,West Tripura,289,2000,2500,2250
2021-05-27,Ashgourd,83,Tripura,16,West Tripura,289,2000,2500,2250
2021-05-25,Ashgourd,83,Tripura,16,West Tripura,289,2500,3000,2750
2021-05-24,Ashgourd,83,Tripura,16,West Tripura,289,3000,4000,3500
2021-05-23,Ashgourd,83,Tripura,16,West Tripura,289,2000,3000,2500
2021-05-21,Ashgourd,83,Tripura,16,West Tripura,289,3000,4000,3500
2021-05-20,Ashgourd,83,Tripura,16,West Tripura,289,3000,3500,3250
2021-05-19,Ashgourd,83,Tripura,16,West Tripura,289,2500,3000,2750
2021-05-18,Ashgourd,83,Tripura,16,West Tripura,289,2500,3000,2750
2021-05-17,Ashgourd,83,Tripura,16,West Tripura,289,2500,3500,3000
2021-05-16,Ashgourd,83,Tripura,16,West Tripura,289,2500,3000,2750
2021-05-15,Ashgourd,83,Tripura,16,West Tripura,289,2500,3500,3000
2021-05-14,Ashgourd,83,Tripura,16,West Tripura,289,2000,2400,2200
2021-05-13,Ashgourd,83,Tripura,16,West Tripura,289,2000,3000,2500
2021-05-12,Ashgourd,83,Tripura,16,West Tripura,289,2000,2200,2100
2021-05-11,Ashgourd,83,Tripura,16,West Tripura,289,2000,2400,2200
2021-05-10,Ashgourd,83,Tripura,16,West Tripura,289,2000,2200,2100
2021-05-09,Ashgourd,83,Tripura,16,West Tripura,289,2000,2400,2200
2021-05-08,Ashgourd,83,Tripura,16,West Tripura,289,2000,2400,2200
2021-05-07,Ashgourd,83,Tripura,16,West Tripura,289,2000,2400,2200
2021-05-06,Ashgourd,83,Tripura,16,West Tripura,289,2000,3000,2500
2021-05-05,Ashgourd,83,Tripura,16,West Tripura,289,1800,2000,1900
2021-05-04,Ashgourd,83,Tripura,16,West Tripura,289,1500,2100,1800
2021-05-03,Ashgourd,83,Tripura,16,West Tripura,289,2000,2400,2200
2021-05-01,Ashgourd,83,Tripura,16,West Tripura,289,2000,2400,2200
2021-04-27,Ashgourd,83,Tripura,16,West Tripura,289,2500,2700,2600
2021-04-23,Ashgourd,83,Tripura,16,West Tripura,289,2000,2400,2200
2021-04-20,Ashgourd,83,Tripura,16,West Tripura,289,2000,3000,2500
2020-10-25,Ashgourd,83,Tripura,16,West Tripura,289,2500,3000,2750
2020-10-22,Ashgourd,83,Tripura,16,West Tripura,289,2500,3000,2750
2020-10-20,Ashgourd,83,Tripura,16,West Tripura,289,3000,4000,3500
2020-10-19,Ashgourd,83,Tripura,16,West Tripura,289,3000,4000,3500
