date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,1900,2230,2020
2025-10-29,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,2000,2150,2100
2025-10-28,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,1980,2205,2110
2025-10-23,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,1900,2210,2000
2025-10-18,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,1920,2030,2001
2025-10-17,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,1910,2205,2005
2025-10-13,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,1971,2203,2090
2025-10-11,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,2005,2203,2150
2025-10-09,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,2201,2205,2205
2025-10-01,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,2208,2208,2208
2025-09-30,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,2206,2206,2206
2025-09-29,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,2201,2201,2201
2025-09-27,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,2060,2060,2060
2025-09-19,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,2100,2131,2131
2025-09-18,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,2161,2177,2177
2025-09-17,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,1851,2174,2151
2025-09-16,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,2191,2210,2192
2024-11-21,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,2200,2380,2300
2024-01-09,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,2000,2000,2000
2023-11-07,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,2203,2203,2203
2023-11-04,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,2000,2000,2000
2023-10-17,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,2000,2031,2031
2023-10-12,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,2010,2010,2010
2023-10-10,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Fatehabad,78,2000,2000,2000
