date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,1900,2101,1900
2025-10-29,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,2200,2350,2350
2025-10-28,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,2032,2200,2032
2025-10-27,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,2121,2200,2200
2025-10-26,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,1900,2100,1900
2025-10-25,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,2100,2262,2262
2025-10-24,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,2200,2300,2200
2025-10-23,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,2301,2301,2301
2025-10-22,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,2156,2156,2156
2025-10-21,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,2100,2200,2100
2025-10-15,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,2200,2200,2200
2025-10-12,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,2101,2101,2101
2025-10-09,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,1901,1961,1901
2025-10-08,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,2101,2200,2101
2025-10-02,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,2150,2150,2150
2025-09-20,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,2160,2160,2160
2024-10-13,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,2625,2625,2625
2024-10-06,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,2000,2500,2500
2024-05-23,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,1800,1800,1800
2023-12-09,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,4401,4901,4901
2019-10-10,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,2000,2000,2000
2019-02-14,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,3425,3581,3425
2019-02-13,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,3401,3581,3401
2017-10-12,Bajra (Pearl Millet/Cumbu),28,Haryana,6,Sonipat,76,2501,2751,2501
