date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2021-11-17,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1180,1280,1230
2021-11-16,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1170,1270,1220
2021-11-15,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1150,1250,1200
2021-11-13,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1160,1260,1210
2021-11-12,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1170,1270,1220
2021-11-11,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1160,1260,1210
2021-11-10,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1170,1270,1220
2021-11-09,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1180,1280,1230
2021-11-08,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1170,1270,1220
2021-11-06,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1160,1260,1210
2021-11-03,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1170,1270,1220
2021-11-02,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1160,1260,1210
2021-11-01,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1170,1270,1220
2021-10-30,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1180,1280,1230
2021-10-29,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1170,1270,1220
2021-10-28,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1180,1280,1230
2021-10-27,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1170,1270,1220
2021-10-26,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1180,1280,1230
2021-10-25,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1170,1270,1220
2021-10-23,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1160,1260,1210
2021-10-22,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1170,1270,1220
2021-10-21,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1160,1260,1210
2021-10-20,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1150,1250,1200
2021-10-19,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1170,1270,1220
2021-10-18,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1160,1260,1210
2021-10-16,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1140,1240,1190
2021-10-15,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1150,1250,1200
2021-10-14,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1160,1260,1210
2021-10-13,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1170,1270,1220
2021-10-12,Banana - Green,90,Uttar Pradesh,9,Farrukhabad,159,1160,1260,1210
