date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2020-03-21,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,1550,1600,1580
2020-03-05,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,1470,1490,1480
2020-03-02,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,1450,1550,1500
2020-03-01,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,1510,1530,1520
2019-08-05,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,1640,1700,1670
2019-08-03,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,1610,1700,1660
2019-08-02,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,1520,1600,1580
2019-08-01,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,1600,1660,1640
2019-07-31,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,1700,1750,1720
2019-07-09,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,1800,1850,1820
2019-07-02,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,1800,1840,1820
2018-12-13,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,1200,1330,1280
2018-12-08,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,1250,1350,1300
2018-12-05,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,1230,1330,1280
2018-12-01,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,1250,1350,1300
2018-11-26,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,1150,1250,1200
2018-11-22,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,900,1000,950
2018-11-20,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,850,950,900
2018-11-16,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,1000,1100,1050
2018-11-13,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,850,950,900
2018-11-12,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,750,850,800
2018-10-31,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,750,850,800
2018-10-30,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,770,870,820
2018-10-29,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,760,860,810
2018-10-27,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,760,860,810
2018-10-26,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,700,800,750
2018-10-25,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,760,860,810
2018-10-24,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,800,900,850
2018-10-22,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,720,825,775
2018-10-17,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,705,805,755
2018-10-16,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,700,800,750
2018-10-15,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,725,825,775
2018-10-13,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,750,850,800
2018-10-12,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,680,775,730
2018-10-11,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,750,850,800
2018-10-10,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,755,855,805
2018-10-09,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,725,825,775
2018-10-06,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,650,750,700
2018-10-05,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,675,775,725
2018-10-04,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,650,750,700
2018-10-03,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,650,750,700
2018-10-01,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,650,750,700
2018-09-30,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,700,800,750
2018-09-29,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,650,750,700
2018-09-28,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,700,800,750
2018-09-27,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,700,800,750
2018-09-26,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,700,800,750
2018-09-25,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,750,850,800
2018-09-24,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,300,400,350
2018-09-23,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,400,450,425
2018-09-22,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,665,735,700
2018-09-19,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,700,800,750
2018-09-18,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,700,800,750
2018-09-17,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,700,850,800
2018-09-15,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,700,800,750
2018-09-12,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,525,625,575
2018-09-11,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,525,625,575
2018-09-10,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,575,675,625
2018-09-09,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,400,440,420
2018-09-08,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,300,400,350
2018-09-07,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,550,650,600
2018-09-05,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,550,650,600
2018-09-04,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,575,675,625
2018-09-01,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,525,625,575
2018-08-30,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,500,600,550
2018-08-28,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,450,550,500
2018-08-27,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,400,450,425
2018-08-26,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,300,400,350
2018-08-25,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,650,825,750
2018-08-24,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,600,700,650
2018-08-23,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,625,695,660
2018-08-22,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,400,500,450
2018-08-21,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,525,625,575
2018-08-18,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,750,850,800
2018-08-16,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,650,800,725
2018-08-13,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,900,1050,1000
2018-08-11,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,300,350,325
2018-08-09,Banana - Green,90,Uttar Pradesh,9,Ghazipur,195,675,750,712.5
