date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Banana,19,Uttar Pradesh,9,Etah,201,2525,2825,2600
2025-10-29,Banana,19,Uttar Pradesh,9,Etah,201,2515,2815,2590
2025-10-28,Banana,19,Uttar Pradesh,9,Etah,201,2500,2800,2580
2025-10-27,Banana,19,Uttar Pradesh,9,Etah,201,2475,2775,2550
2025-10-26,Banana,19,Uttar Pradesh,9,Etah,201,2500,2800,2575
2025-10-25,Banana,19,Uttar Pradesh,9,Etah,201,2490,2775,2545
2025-10-24,Banana,19,Uttar Pradesh,9,Etah,201,2475,2775,2550
2025-10-23,Banana,19,Uttar Pradesh,9,Etah,201,2475,2775,2550
2025-10-22,Banana,19,Uttar Pradesh,9,Etah,201,2500,2600,2550
2025-10-21,Banana,19,Uttar Pradesh,9,Etah,201,2475,2775,2550
2025-10-19,Banana,19,Uttar Pradesh,9,Etah,201,2450,2550,2500
2025-10-18,Banana,19,Uttar Pradesh,9,Etah,201,2500,2810,2585
2025-10-17,Banana,19,Uttar Pradesh,9,Etah,201,2500,3000,2620
2025-10-16,Banana,19,Uttar Pradesh,9,Etah,201,2500,2800,2575
2025-10-15,Banana,19,Uttar Pradesh,9,Etah,201,2515,2815,2609
2025-10-14,Banana,19,Uttar Pradesh,9,Etah,201,2500,2800,2592.5
2025-10-13,Banana,19,Uttar Pradesh,9,Etah,201,2515,2815,2607.5
2025-10-12,Banana,19,Uttar Pradesh,9,Etah,201,2500,2800,2592.5
2025-10-11,Banana,19,Uttar Pradesh,9,Etah,201,2475,2775,2575
2025-10-10,Banana,19,Uttar Pradesh,9,Etah,201,2470,2580,2530
2025-10-09,Banana,19,Uttar Pradesh,9,Etah,201,2450,2550,2500
2025-10-08,Banana,19,Uttar Pradesh,9,Etah,201,2500,2700,2590
2025-10-07,Banana,19,Uttar Pradesh,9,Etah,201,2475,2675,2560
2025-10-06,Banana,19,Uttar Pradesh,9,Etah,201,2515,2715,2615
2025-10-05,Banana,19,Uttar Pradesh,9,Etah,201,2500,2700,2600
2025-10-04,Banana,19,Uttar Pradesh,9,Etah,201,2500,2700,2580
2025-10-03,Banana,19,Uttar Pradesh,9,Etah,201,2500,2700,2575
2025-10-02,Banana,19,Uttar Pradesh,9,Etah,201,2485,2690,2565
2025-10-01,Banana,19,Uttar Pradesh,9,Etah,201,2450,2550,2500
2025-09-30,Banana,19,Uttar Pradesh,9,Etah,201,2475,2775,2550
2025-09-29,Banana,19,Uttar Pradesh,9,Etah,201,2500,2800,2577.5
2025-09-28,Banana,19,Uttar Pradesh,9,Etah,201,2475,2775,2550
2025-09-27,Banana,19,Uttar Pradesh,9,Etah,201,2450,2750,2525
2025-09-26,Banana,19,Uttar Pradesh,9,Etah,201,2465,2765,2565
2025-09-25,Banana,19,Uttar Pradesh,9,Etah,201,2475,2775,2530
2025-09-24,Banana,19,Uttar Pradesh,9,Etah,201,2500,2800,2550
