date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-17,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,2300,2300,2300
2025-09-15,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,2375,2375,2375
2025-04-02,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,2025,2025,2025
2025-03-28,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1900,1900,1900
2025-03-22,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,2105,2105,2105
2025-03-21,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1955,2050,2050
2025-03-20,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,2000,2125,2125
2025-03-19,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,2000,2170,2170
2023-10-04,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1500,1500,1500
2023-06-05,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1900,1900,1900
2023-03-24,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1795,1795,1795
2022-05-20,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,2191,2191,2191
2022-03-31,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,2426,2426,2426
2022-03-28,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,2372,2372,2372
2021-03-23,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1235,1290,1235
2020-11-11,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1385,1385,1385
2020-08-10,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1350,1350,1350
2020-06-20,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1455,1455,1455
2020-05-21,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1300,1300,1300
2020-05-13,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1495,1495,1495
2020-05-01,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1480,1480,1480
2020-04-30,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1565,1565,1565
2020-04-20,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1600,1600,1600
2020-03-21,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1385,1405,1400
2020-03-20,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1305,1355,1340
2020-03-19,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1385,1385,1385
2020-03-17,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1215,1405,1375
2020-03-13,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1515,1540,1520
2019-09-30,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1799,1799,1799
2019-08-02,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1605,1605,1605
2019-05-24,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1700,1700,1700
2019-05-17,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1790,1790,1790
2019-05-01,Barley (Jau),29,Madhya Pradesh,23,Sheopur,418,1730,1730,1730
