date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2023-09-20,Beetroot,157,Punjab,3,Jalandhar,37,1800,3200,2900
2020-12-01,Beetroot,157,Punjab,3,Jalandhar,37,1000,2000,1600
2020-03-23,Beetroot,157,Punjab,3,Jalandhar,37,400,800,700
2020-03-19,Beetroot,157,Punjab,3,Jalandhar,37,800,1600,1400
2020-03-18,Beetroot,157,Punjab,3,Jalandhar,37,400,800,700
2020-03-17,Beetroot,157,Punjab,3,Jalandhar,37,800,1600,1400
2020-03-14,Beetroot,157,Punjab,3,Jalandhar,37,1200,1800,1500
2020-03-13,Beetroot,157,Punjab,3,Jalandhar,37,900,1400,1300
2020-03-10,Beetroot,157,Punjab,3,Jalandhar,37,800,1300,1000
2020-03-09,Beetroot,157,Punjab,3,Jalandhar,37,1200,1800,1500
2020-03-07,Beetroot,157,Punjab,3,Jalandhar,37,500,1000,800
2020-03-06,Beetroot,157,Punjab,3,Jalandhar,37,800,1400,1200
2020-03-05,Beetroot,157,Punjab,3,Jalandhar,37,1500,2000,1800
2020-03-03,Beetroot,157,Punjab,3,Jalandhar,37,1200,1600,1400
2020-03-02,Beetroot,157,Punjab,3,Jalandhar,37,900,1300,1200
2020-02-29,Beetroot,157,Punjab,3,Jalandhar,37,500,900,700
2020-02-28,Beetroot,157,Punjab,3,Jalandhar,37,500,1300,1000
2020-02-27,Beetroot,157,Punjab,3,Jalandhar,37,500,1300,1000
2020-02-26,Beetroot,157,Punjab,3,Jalandhar,37,600,900,800
2020-02-25,Beetroot,157,Punjab,3,Jalandhar,37,1200,1900,1600
2020-02-24,Beetroot,157,Punjab,3,Jalandhar,37,1600,2000,1800
2020-02-22,Beetroot,157,Punjab,3,Jalandhar,37,800,1600,1200
2020-02-21,Beetroot,157,Punjab,3,Jalandhar,37,500,900,800
2020-02-17,Beetroot,157,Punjab,3,Jalandhar,37,1200,1800,1600
2020-02-15,Beetroot,157,Punjab,3,Jalandhar,37,900,1500,1400
2020-02-14,Beetroot,157,Punjab,3,Jalandhar,37,1000,1600,1500
2020-02-11,Beetroot,157,Punjab,3,Jalandhar,37,600,1000,900
2020-02-06,Beetroot,157,Punjab,3,Jalandhar,37,700,1200,900
2020-01-27,Beetroot,157,Punjab,3,Jalandhar,37,900,1200,1100
2020-01-25,Beetroot,157,Punjab,3,Jalandhar,37,1000,1300,1200
2020-01-23,Beetroot,157,Punjab,3,Jalandhar,37,1200,1600,1500
2020-01-22,Beetroot,157,Punjab,3,Jalandhar,37,1000,1800,1600
2020-01-20,Beetroot,157,Punjab,3,Jalandhar,37,900,1200,1000
2020-01-16,Beetroot,157,Punjab,3,Jalandhar,37,1400,2000,1600
2020-01-13,Beetroot,157,Punjab,3,Jalandhar,37,1500,2000,1800
2020-01-11,Beetroot,157,Punjab,3,Jalandhar,37,1600,2500,2000
2020-01-10,Beetroot,157,Punjab,3,Jalandhar,37,1400,2000,1800
2020-01-06,Beetroot,157,Punjab,3,Jalandhar,37,1000,1500,1300
2020-01-04,Beetroot,157,Punjab,3,Jalandhar,37,1200,1600,1400
2020-01-02,Beetroot,157,Punjab,3,Jalandhar,37,1200,1800,1500
2019-12-31,Beetroot,157,Punjab,3,Jalandhar,37,1000,1800,1400
2019-12-30,Beetroot,157,Punjab,3,Jalandhar,37,1000,1600,1400
2019-12-28,Beetroot,157,Punjab,3,Jalandhar,37,900,1200,1000
2019-12-27,Beetroot,157,Punjab,3,Jalandhar,37,600,1340,1100
2019-12-26,Beetroot,157,Punjab,3,Jalandhar,37,900,1500,1400
2019-12-25,Beetroot,157,Punjab,3,Jalandhar,37,800,1300,1000
2019-12-24,Beetroot,157,Punjab,3,Jalandhar,37,800,1200,1000
2019-12-23,Beetroot,157,Punjab,3,Jalandhar,37,800,1400,1300
2019-12-21,Beetroot,157,Punjab,3,Jalandhar,37,1000,1500,1300
2019-12-19,Beetroot,157,Punjab,3,Jalandhar,37,1000,1600,1400
2019-12-17,Beetroot,157,Punjab,3,Jalandhar,37,800,1600,1400
2019-12-14,Beetroot,157,Punjab,3,Jalandhar,37,700,1300,1000
2019-12-13,Beetroot,157,Punjab,3,Jalandhar,37,2300,3000,2600
2019-12-12,Beetroot,157,Punjab,3,Jalandhar,37,800,1400,1200
2019-12-11,Beetroot,157,Punjab,3,Jalandhar,37,1000,2000,1500
2019-12-09,Beetroot,157,Punjab,3,Jalandhar,37,900,1300,1200
2019-12-07,Beetroot,157,Punjab,3,Jalandhar,37,1000,2000,1500
2019-12-05,Beetroot,157,Punjab,3,Jalandhar,37,400,800,600
2019-12-03,Beetroot,157,Punjab,3,Jalandhar,37,600,900,800
2019-12-02,Beetroot,157,Punjab,3,Jalandhar,37,600,1000,800
2019-11-30,Beetroot,157,Punjab,3,Jalandhar,37,800,1200,1000
2019-11-29,Beetroot,157,Punjab,3,Jalandhar,37,400,800,700
2019-11-28,Beetroot,157,Punjab,3,Jalandhar,37,600,1000,900
2019-11-27,Beetroot,157,Punjab,3,Jalandhar,37,700,1400,1300
2019-11-26,Beetroot,157,Punjab,3,Jalandhar,37,800,1200,1000
2019-11-25,Beetroot,157,Punjab,3,Jalandhar,37,1000,1500,1200
2019-11-23,Beetroot,157,Punjab,3,Jalandhar,37,1000,1300,1200
2019-11-22,Beetroot,157,Punjab,3,Jalandhar,37,600,1200,1000
2019-11-21,Beetroot,157,Punjab,3,Jalandhar,37,800,1300,1200
2019-11-18,Beetroot,157,Punjab,3,Jalandhar,37,600,1000,800
2019-11-16,Beetroot,157,Punjab,3,Jalandhar,37,600,1000,800
2019-11-13,Beetroot,157,Punjab,3,Jalandhar,37,500,1000,700
2019-11-08,Beetroot,157,Punjab,3,Jalandhar,37,1200,1500,1300
2019-11-07,Beetroot,157,Punjab,3,Jalandhar,37,1000,1300,1200
2019-11-06,Beetroot,157,Punjab,3,Jalandhar,37,900,1200,900
2019-11-04,Beetroot,157,Punjab,3,Jalandhar,37,800,1000,900
2019-11-01,Beetroot,157,Punjab,3,Jalandhar,37,600,700,600
2019-10-31,Beetroot,157,Punjab,3,Jalandhar,37,600,800,700
2019-10-30,Beetroot,157,Punjab,3,Jalandhar,37,600,900,700
2019-10-26,Beetroot,157,Punjab,3,Jalandhar,37,500,800,700
2019-10-25,Beetroot,157,Punjab,3,Jalandhar,37,900,1200,1000
2019-10-24,Beetroot,157,Punjab,3,Jalandhar,37,800,1000,900
2019-10-23,Beetroot,157,Punjab,3,Jalandhar,37,800,1200,1000
2019-10-22,Beetroot,157,Punjab,3,Jalandhar,37,600,1000,900
2019-10-21,Beetroot,157,Punjab,3,Jalandhar,37,600,1000,800
2019-10-19,Beetroot,157,Punjab,3,Jalandhar,37,600,900,700
2019-10-18,Beetroot,157,Punjab,3,Jalandhar,37,600,1000,800
2019-10-17,Beetroot,157,Punjab,3,Jalandhar,37,400,1600,900
2019-10-16,Beetroot,157,Punjab,3,Jalandhar,37,600,900,700
2019-10-15,Beetroot,157,Punjab,3,Jalandhar,37,600,800,700
2019-10-14,Beetroot,157,Punjab,3,Jalandhar,37,600,900,800
2019-10-12,Beetroot,157,Punjab,3,Jalandhar,37,700,1100,800
2019-10-11,Beetroot,157,Punjab,3,Jalandhar,37,700,1000,800
2019-10-08,Beetroot,157,Punjab,3,Jalandhar,37,600,1100,800
2019-10-07,Beetroot,157,Punjab,3,Jalandhar,37,600,900,800
2019-10-05,Beetroot,157,Punjab,3,Jalandhar,37,600,1000,800
2019-10-04,Beetroot,157,Punjab,3,Jalandhar,37,600,900,800
2019-10-03,Beetroot,157,Punjab,3,Jalandhar,37,800,1300,1200
2019-10-02,Beetroot,157,Punjab,3,Jalandhar,37,600,1200,800
2019-10-01,Beetroot,157,Punjab,3,Jalandhar,37,600,1000,800
2019-09-30,Beetroot,157,Punjab,3,Jalandhar,37,600,800,600
2019-09-28,Beetroot,157,Punjab,3,Jalandhar,37,600,800,700
2019-09-27,Beetroot,157,Punjab,3,Jalandhar,37,600,1000,800
2019-09-25,Beetroot,157,Punjab,3,Jalandhar,37,900,1300,1200
2019-09-24,Beetroot,157,Punjab,3,Jalandhar,37,900,1200,1000
2019-09-23,Beetroot,157,Punjab,3,Jalandhar,37,600,900,800
2019-09-21,Beetroot,157,Punjab,3,Jalandhar,37,800,1100,1000
2019-09-20,Beetroot,157,Punjab,3,Jalandhar,37,600,1000,800
2019-09-19,Beetroot,157,Punjab,3,Jalandhar,37,800,1600,1200
2019-09-18,Beetroot,157,Punjab,3,Jalandhar,37,800,1400,1200
2019-09-17,Beetroot,157,Punjab,3,Jalandhar,37,800,1200,1100
2019-09-16,Beetroot,157,Punjab,3,Jalandhar,37,800,1300,1000
2019-09-14,Beetroot,157,Punjab,3,Jalandhar,37,900,1200,1000
