date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6680,6725,6700
2025-10-28,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6720,6760,6740
2025-10-27,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6720,6760,6740
2025-10-26,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6725,6775,6750
2025-10-25,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6725,6775,6750
2025-10-24,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6740,6780,6760
2025-10-23,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6740,6780,6760
2025-10-21,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6725,6775,6750
2025-10-20,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6740,6780,6760
2025-10-19,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6740,6780,6760
2025-10-18,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6725,6775,6750
2025-10-17,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6597.5,6627.5,6612.5
2025-10-16,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6720,6730,6725
2025-10-14,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6710,6720,6715
2025-10-13,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6710,6720,6715
2025-10-12,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6710,6730,6720
2025-10-11,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6710,6730,6720
2025-10-10,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6480,6500,6490
2025-10-09,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6700,6720,6710
2025-10-07,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6675,6725,6700
2025-10-06,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6720,6730,6725
2025-10-05,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6720,6730,6725
2025-10-04,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6710,6720,6715
2025-10-03,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6592.5,6615,6607.5
2025-10-02,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6675,6725,6700
2025-09-30,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6700,6720,6710
2025-09-29,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6700,6720,6710
2025-09-28,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6710,6720,6715
2025-09-27,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6710,6720,6715
2025-09-26,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6675,6725,6700
2025-09-25,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6680,6710,6700
2025-09-23,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6680,6720,6700
2025-09-22,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6680,6720,6700
2025-09-21,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6660,6700,6680
2025-09-20,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6660,6700,6680
2025-09-19,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6580,6610,6595
2025-09-18,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6700,6720,6710
2025-09-16,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6675,6725,6700
2025-09-15,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6700,6730,6715
2025-09-14,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6700,6730,6715
2025-09-13,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6700,6750,6725
2025-09-12,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6580,6625,6597.5
2025-09-11,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6700,6720,6710
2025-09-09,Bengal Gram (Gram)(Whole),6,Uttar Pradesh,9,Rae Bareli,158,6680,6720,6700
