date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-03-19,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,3000,3500,3200
2025-03-09,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,3000,3500,3200
2025-03-08,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,3000,4000,3500
2025-03-05,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,2500,3000,2800
2025-03-04,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,2500,3000,2800
2025-03-01,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,2000,2200,2100
2025-02-28,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,2500,3000,2800
2025-02-26,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,4000,5000,4500
2025-02-24,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,3000,3500,3200
2025-02-23,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,3000,3200,3100
2025-02-22,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,3000,3500,3200
2025-02-21,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,3000,3500,3200
2025-02-20,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,3200,3500,3400
2025-02-19,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,3000,3500,3200
2025-02-18,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,3000,3500,3200
2025-02-17,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,3000,3200,3100
2025-02-16,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,3000,3200,3100
2025-02-15,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,3000,3200,3100
2025-02-14,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,3000,3200,3100
2025-02-11,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,3000,3500,3200
2025-02-07,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,1800,2500,2000
2025-02-05,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,2000,2500,2200
2025-02-02,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,1800,2000,1850
2025-01-27,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,1500,1800,1600
2024-02-26,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,2000,2300,2200
2024-02-25,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,2000,2500,2200
2024-02-24,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,2000,2200,2100
2024-02-19,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,2200,2500,2400
2024-02-18,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,2200,2500,2400
2024-02-16,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,2500,3000,2800
2024-02-13,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,2800,3000,2900
2024-01-09,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,2800,3000,2900
2023-03-07,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,2000,0,2500
2023-03-06,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,1000,2500,2000
2023-03-05,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,1800,3000,2000
2023-03-03,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,0,0,3000
2023-03-02,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,2500,0,3000
2023-03-01,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,0,0,3000
2023-02-27,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,2800,0,3000
2023-02-26,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,3200,3800,3600
2023-02-24,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,0,0,3800
2023-02-23,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,0,0,4000
2023-02-18,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,2500,3500,3000
2023-02-17,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,2000,4000,3000
2023-02-16,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,3000,0,3800
2023-02-13,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,2600,0,3000
2023-02-10,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,2400,0,3000
2023-02-09,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,0,0,2000
2023-02-03,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,2500,0,3000
2023-02-02,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,0,0,2500
2023-01-30,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,2000,0,3000
2023-01-29,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,0,0,2000
2023-01-21,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,2000,0,3000
2022-03-17,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,1100,1300,1200
2022-03-16,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,1100,1300,1200
2019-03-30,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1000,1000
2019-03-18,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1000,1000
2019-03-16,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1300,1300
2019-03-01,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1200,1200
2019-02-26,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1200,1200
2018-03-22,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,700,700
2018-03-18,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1000,1000
2018-03-17,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1000,1000
2018-03-14,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1000,1000
2018-03-13,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1000,1000
2018-03-07,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1000,1000
2018-03-06,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1000,1000
2018-03-05,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1000,1000
2018-03-04,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1000,1000
2018-03-02,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1000,1000
2018-03-01,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,1000,1500,1500
2018-02-27,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,900,1000,1000
2018-02-25,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,800,800
2018-02-21,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1000,1000
2018-02-20,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,900,900
2018-02-19,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,1000,1200,1200
2018-02-14,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1000,1000
2018-02-13,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1300,1300
2018-02-11,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1400,1400
2018-02-09,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1400,1400
2018-02-07,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1500,1500
2018-02-06,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,2000,2000
2018-01-26,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,1500,1800,1800
2018-01-24,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1200,1200
2018-01-22,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1500,1500
2018-01-21,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,2000,2000
2018-01-19,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1200,1200
2018-01-17,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,2000,2000
2018-01-16,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,2000,2000
2018-01-11,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,3000,3000
2018-01-09,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,2000,2000
2018-01-06,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,1500,1500
2018-01-05,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,1800,2000,2000
2017-12-10,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,1000,2000,2000
2017-12-07,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,3000,3000
2017-12-06,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,3000,3000
2017-12-05,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,,3000,3000
2017-12-04,Ber (Zizyphus/Borehannu),357,Haryana,6,Jhajjar,83,1000,,1000
