date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-08-27,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2500,2700,2500
2025-08-26,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2400,2700,2600
2025-08-23,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2700,3000,2800
2025-08-22,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2700,3000,2800
2025-08-21,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2600,2600,2600
2025-08-20,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2300,2600,2400
2025-08-18,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2600,2900,2800
2025-08-17,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2500,2800,2700
2025-08-16,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2500,2800,2700
2025-08-15,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2600,2800,2600
2025-08-13,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2000,2300,2300
2025-08-12,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2600,2800,2600
2025-08-11,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2600,2800,2600
2025-08-10,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2500,2800,2600
2025-08-07,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2400,2600,2500
2025-08-06,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2200,2500,2300
2025-08-05,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2500,2800,2600
2025-08-04,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2600,2900,2700
2025-08-03,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2600,2800,2600
2025-08-02,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2400,2700,2500
2025-08-01,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2600,2800,2600
2025-07-31,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2500,2500,2500
2025-07-30,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2200,2500,2500
2025-07-29,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2600,2800,2800
2025-07-28,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2500,2800,2800
2025-07-27,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2700,3000,2900
2025-07-25,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2300,2500,2500
2025-07-24,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2500,2800,2700
2025-07-23,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2000,2300,2300
2025-07-22,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2800,3000,3000
2025-07-21,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2700,3000,2900
2025-07-19,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2700,3000,2800
2025-07-18,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2500,2800,2600
2025-07-17,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2700,3000,2800
2025-07-16,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2300,2700,2400
2025-07-15,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2700,3000,2800
2025-07-12,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2500,2600,2600
2025-07-11,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2500,2600,2600
2025-07-10,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2500,2600,2600
2025-07-09,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2500,2600,2600
2025-07-08,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2800,3000,3000
2025-07-07,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2700,3000,3000
2025-07-05,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2500,2800,2800
2025-07-04,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2500,2700,2500
2025-07-03,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2400,2700,2700
2025-07-02,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2500,2600,2600
2025-07-01,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2500,2600,2500
2025-06-30,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3200,3500,3200
2025-06-29,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3000,3200,3200
2025-06-26,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3000,3200,3200
2025-06-25,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2500,2800,2600
2025-06-24,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3000,3300,3300
2025-06-23,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3000,3300,3300
2025-06-20,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2800,3000,2800
2025-06-19,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2900,3300,3200
2025-06-18,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2000,2300,2300
2025-06-17,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2900,3200,3200
2025-06-16,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2700,3000,2800
2025-06-15,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2900,3300,3200
2025-06-14,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2900,3300,3200
2025-06-13,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2500,2700,2600
2025-06-11,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2900,3000,2900
2025-06-09,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3400,3700,3500
2025-06-08,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3400,3700,3500
2025-06-03,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3000,3300,3300
2025-06-02,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3300,3700,3600
2025-06-01,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3400,3800,3500
2025-05-31,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3400,3800,3500
2025-05-30,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3400,3800,3500
2025-05-28,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2700,3000,2708
2025-05-27,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3200,3500,3300
2025-05-26,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3500,3800,3500
2025-05-25,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3600,3800,3600
2025-05-24,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3600,3800,3600
2025-05-23,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3600,3800,3600
2025-05-22,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3400,3600,3400
2025-05-21,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3200,3500,3200
2025-05-19,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3500,3800,3500
2025-05-17,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3500,3800,3500
2025-05-16,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3000,3000,3000
2025-05-15,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3500,4000,3600
2025-05-13,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3500,4000,3600
2025-05-09,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3800,4000,3800
2025-05-08,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3700,4000,4000
2025-05-07,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3400,3800,3800
2025-05-06,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3800,4200,4000
2025-05-05,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3900,4200,4000
2025-05-04,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3900,4300,4000
2025-05-03,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3900,4300,4000
2025-05-02,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4000,4200,4000
2025-05-01,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4000,4200,4000
2025-04-30,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3200,3500,3500
2025-04-29,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4000,4200,4000
2025-04-27,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3900,4200,4200
2025-04-26,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3900,4200,4200
2025-04-25,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3200,3500,3500
2025-04-24,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3900,4200,4200
2025-04-23,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3000,3300,3300
2025-04-22,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3800,4300,4300
2025-04-21,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4400,4500,4500
2025-04-20,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4400,4500,4500
2025-04-19,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4400,4500,4500
2025-04-18,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4500,4600,4500
2025-04-17,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4500,4600,4500
2025-04-16,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4000,4200,4000
2025-04-14,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4400,4500,4500
2025-04-13,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4500,4800,4500
2025-04-12,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4400,4600,4600
2025-04-11,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3600,4000,4000
2025-04-09,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3700,4000,4000
2025-04-08,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4300,4700,4500
2025-04-07,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4500,4800,4500
2025-04-06,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4500,4700,4700
2025-04-05,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4500,4800,4700
2025-04-04,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4500,4800,4500
2025-04-03,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,5400,5700,5600
2025-04-02,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4400,4800,4500
2025-04-01,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,5400,5600,5400
2025-03-30,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,5400,5500,5500
2025-03-29,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,5400,5500,5500
2025-03-28,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,5600,6000,5700
2025-03-27,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,5000,5000,5000
2025-03-26,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,5000,5200,5200
2025-03-25,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,5600,6000,5700
2025-03-24,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,5000,5300,5300
2025-03-21,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,5500,5800,5800
2025-03-20,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,5500,5800,5800
2025-03-19,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,5000,5300,5300
2025-03-18,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4800,5000,5000
2025-03-17,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4000,4200,4200
2025-03-13,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3800,4000,4000
2025-03-12,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3200,3500,3300
2025-03-11,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3500,3600,3600
2025-03-10,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3400,3800,3800
2025-03-06,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3200,3500,3500
2025-03-05,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2900,3000,3000
2025-03-04,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3000,3300,3300
2025-03-01,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2800,3000,2800
2025-02-28,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2800,3000,2800
2025-02-24,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2600,2900,2800
2025-02-21,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2700,3000,3000
2025-02-20,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2500,2800,2600
2025-02-19,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2500,2800,2600
2025-02-17,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2800,3000,3000
2025-02-15,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2700,3000,3000
2025-02-14,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2700,3000,3000
2025-02-13,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2000,2200,2200
2025-02-05,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2000,2200,2000
2025-01-30,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3000,3000,3000
2025-01-08,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2900,3300,3000
2025-01-07,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3200,3300,3300
2025-01-03,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,2800,3200,2800
2025-01-02,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3200,3300,3300
2024-12-31,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3000,3200,3000
2024-12-30,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3000,3200,3000
2024-12-27,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3600,4000,3600
2024-12-26,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3300,3700,3400
2024-12-24,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3500,4000,3700
2024-12-09,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4200,4600,4500
2024-12-07,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4300,4600,4500
2024-12-06,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3800,4200,3800
2024-12-05,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4200,4600,4400
2024-12-04,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3400,3700,3500
2024-12-03,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3700,4000,4000
2024-11-28,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3200,3500,3200
2024-11-27,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3300,3600,3300
2024-11-26,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3400,3700,3500
2024-11-25,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4000,4400,4300
2024-11-22,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4200,4500,4200
2024-11-21,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3800,4000,3800
2024-11-20,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4000,4200,4000
2024-11-19,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4300,4500,4300
2024-11-18,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4300,4400,4300
2024-11-17,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4300,4800,4500
2024-11-16,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4200,4700,4500
2024-11-14,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3700,4000,3800
2024-11-13,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3800,4000,3800
2024-11-11,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4400,4800,4500
2024-11-08,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3400,3800,3400
2024-11-06,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3600,4000,3600
2024-11-05,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4500,4800,4600
2024-11-04,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4300,4700,4400
2024-11-02,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4200,4600,4400
2024-10-30,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3000,3400,3400
2024-10-29,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4500,4800,4500
2024-10-24,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4500,4800,4800
2024-10-23,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3500,4000,3600
2024-10-22,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4000,4300,4000
2024-10-21,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4200,4500,4500
2024-10-18,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4000,4200,4200
2024-10-16,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3600,4000,3600
2024-10-15,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3700,4000,3800
2024-10-14,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4000,4300,4300
2024-10-13,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3800,4200,4000
2024-10-12,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3800,4200,4000
2024-10-11,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3800,4200,4000
2024-10-07,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4000,4200,4000
2024-10-05,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3000,3500,3200
2024-10-04,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3500,3800,3500
2024-10-03,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3500,3800,3500
2024-10-01,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3200,3500,3500
2024-09-30,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3000,3400,3400
2024-09-27,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3000,3400,3400
2024-09-26,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3600,4000,3600
2024-09-25,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3200,3600,3200
2024-09-23,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3700,4000,3900
2024-09-21,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3900,4300,4000
2024-09-20,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3600,4000,3800
2024-09-19,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4000,4400,4200
2024-09-18,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3400,3600,3500
2024-09-17,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4000,4400,4000
2024-09-16,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4000,4400,4000
2024-09-14,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4000,4400,4200
2024-09-13,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3800,4000,3800
2024-09-12,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4000,4400,4200
2024-09-11,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3500,4000,3500
2024-09-10,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4000,4400,4000
2024-09-09,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,4000,4400,4000
2024-09-08,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3800,4300,4200
2024-09-07,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3600,4000,3600
2024-09-06,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3800,4300,4200
2024-09-05,Bhindi (Ladies Finger),85,Assam,18,Sivasagar,311,3700,4200,4000
