date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1833.3333333333333,2266.6666666666665,1983.3333333333333
2025-10-29,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1700,1966.6666666666667,1833.3333333333333
2025-10-28,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1433.3333333333333,1833.3333333333333,1650
2025-10-27,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1566.6666666666667,1933.3333333333333,1733.3333333333333
2025-10-26,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,2000,2500,2250
2025-10-19,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1550,1950,1700
2025-10-18,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1250,1600,1375
2025-10-17,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1650,2000,1800
2025-10-16,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,2266.6666666666665,2666.6666666666665,2483.3333333333335
2025-10-15,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1700,2066.6666666666665,1850
2025-10-14,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1733.3333333333333,2133.3333333333335,1966.6666666666667
2025-10-13,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1766.6666666666667,1933.3333333333333,1850
2025-10-12,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1600,1933.3333333333333,1766.6666666666667
2025-10-11,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1766.6666666666667,1950,1858.3333333333333
2025-10-10,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1666.6666666666667,1966.6666666666667,1808.3333333333333
2025-10-09,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1700,1916.6666666666667,1791.6666666666667
2025-10-08,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1350,1700,1450
2025-10-07,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1500,1850,1600
2025-10-06,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1233.3333333333333,2000,1616.6666666666667
2025-10-05,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1316.6666666666667,1966.6666666666667,1616.6666666666667
2025-10-04,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1300,1900,1600
2025-10-03,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1433.3333333333333,1766.6666666666667,1583.3333333333333
2025-10-02,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1666.6666666666667,1933.3333333333333,1800
2025-10-01,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1533.3333333333333,1900,1716.6666666666667
2025-09-27,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1300,1600,1450
2025-09-26,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1550,1900,1775
2025-09-25,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1850,2100,1975
2025-09-24,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1750,2000,1850
2025-09-23,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1500,1950,1725
2025-09-22,Bhindi (Ladies Finger),85,Gujarat,24,Kheda,483,1600,1925,1825
