date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2017-06-23,Black pepper,38,Kerala,32,Alappuzha,598,50800,51000,50900
2017-06-22,Black pepper,38,Kerala,32,Alappuzha,598,50800,51000,50900
2017-06-13,Black pepper,38,Kerala,32,Alappuzha,598,49800,50000,49900
2017-04-12,Black pepper,38,Kerala,32,Alappuzha,598,61000,61300,61200
2017-03-01,Black pepper,38,Kerala,32,Alappuzha,598,62900,63100,63000
2017-02-28,Black pepper,38,Kerala,32,Alappuzha,598,62800,63000,62900
2017-02-07,Black pepper,38,Kerala,32,Alappuzha,598,65000,65200,65100
2017-02-02,Black pepper,38,Kerala,32,Alappuzha,598,64900,65100,65000
2017-02-01,Black pepper,38,Kerala,32,Alappuzha,598,64900,65050,65000
2017-01-20,Black pepper,38,Kerala,32,Alappuzha,598,72000,72150,72100
2017-01-12,Black pepper,38,Kerala,32,Alappuzha,598,72000,72150,72100
2017-01-10,Black pepper,38,Kerala,32,Alappuzha,598,71900,72000,71950
2017-01-09,Black pepper,38,Kerala,32,Alappuzha,598,71900,72000,71950
2017-01-06,Black pepper,38,Kerala,32,Alappuzha,598,72000,72100,72050
2017-01-05,Black pepper,38,Kerala,32,Alappuzha,598,72000,72200,72100
2016-10-07,Black pepper,38,Kerala,32,Alappuzha,598,71850,72000,71900
2016-10-03,Black pepper,38,Kerala,32,Alappuzha,598,72000,72150,72100
2016-10-01,Black pepper,38,Kerala,32,Alappuzha,598,73800,74000,73900
2016-09-09,Black pepper,38,Kerala,32,Alappuzha,598,74000,74100,74050
2016-09-08,Black pepper,38,Kerala,32,Alappuzha,598,74000,74100,74050
2016-09-07,Black pepper,38,Kerala,32,Alappuzha,598,73900,74100,74000
2016-09-06,Black pepper,38,Kerala,32,Alappuzha,598,72300,72500,72400
2016-09-03,Black pepper,38,Kerala,32,Alappuzha,598,72400,72500,72450
2016-09-01,Black pepper,38,Kerala,32,Alappuzha,598,72400,72500,72450
2016-08-30,Black pepper,38,Kerala,32,Alappuzha,598,72400,72500,72450
2016-08-29,Black pepper,38,Kerala,32,Alappuzha,598,72400,72500,72450
2016-08-25,Black pepper,38,Kerala,32,Alappuzha,598,72400,72500,72450
2016-08-23,Black pepper,38,Kerala,32,Alappuzha,598,72400,72500,72450
