date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Bottle gourd,82,Haryana,6,Faridabad,88,1000,2000,1500
2025-10-29,Bottle gourd,82,Haryana,6,Faridabad,88,1000,2000,1500
2025-10-28,Bottle gourd,82,Haryana,6,Faridabad,88,1500,2250,1850
2025-10-27,Bottle gourd,82,Haryana,6,Faridabad,88,1500,2000,1800
2025-10-26,Bottle gourd,82,Haryana,6,Faridabad,88,1250,2000,1650
2025-10-25,Bottle gourd,82,Haryana,6,Faridabad,88,1250,2100,1750
2025-10-24,Bottle gourd,82,Haryana,6,Faridabad,88,1500,2100,1800
2025-10-23,Bottle gourd,82,Haryana,6,Faridabad,88,1500,2000,1800
2025-10-22,Bottle gourd,82,Haryana,6,Faridabad,88,1500,2000,1800
2025-10-21,Bottle gourd,82,Haryana,6,Faridabad,88,1500,2350,1900
2025-10-19,Bottle gourd,82,Haryana,6,Faridabad,88,1200,2500,1850
2025-10-17,Bottle gourd,82,Haryana,6,Faridabad,88,2250,2750,2525
2025-10-16,Bottle gourd,82,Haryana,6,Faridabad,88,2150,3000,2550
2025-10-15,Bottle gourd,82,Haryana,6,Faridabad,88,2000,2750,2350
2025-10-14,Bottle gourd,82,Haryana,6,Faridabad,88,1600,2500,2025
2025-10-13,Bottle gourd,82,Haryana,6,Faridabad,88,1850,2600,2250
2025-10-12,Bottle gourd,82,Haryana,6,Faridabad,88,1500,2200,1850
2025-10-11,Bottle gourd,82,Haryana,6,Faridabad,88,1750,2500,2100
2025-10-08,Bottle gourd,82,Haryana,6,Faridabad,88,1200,2000,1600
2025-10-07,Bottle gourd,82,Haryana,6,Faridabad,88,1200,1800,1500
2025-10-06,Bottle gourd,82,Haryana,6,Faridabad,88,1100,1900,1500
2025-10-05,Bottle gourd,82,Haryana,6,Faridabad,88,1000,2000,1500
2025-10-04,Bottle gourd,82,Haryana,6,Faridabad,88,1100,1900,1500
2025-10-03,Bottle gourd,82,Haryana,6,Faridabad,88,1100,1900,1500
2025-10-02,Bottle gourd,82,Haryana,6,Faridabad,88,1500,2000,1800
2025-10-01,Bottle gourd,82,Haryana,6,Faridabad,88,1000,2000,1500
