date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-27,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,1300,1200
2025-10-25,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,1500,1200
2025-10-24,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1500,1500,1500
2025-10-16,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1150,1350,1250
2025-10-15,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,800,1400,1000
2025-10-14,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,1600,1400
2025-10-13,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1200,1600,1400
2025-10-09,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,1500,1300
2025-10-08,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,1500,1200
2025-10-07,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,850,1300,1100
2025-10-06,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1300,1800,1400
2025-10-05,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1200,1800,1300
2025-10-04,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,1500,1300
2025-10-03,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,900,1200,1100
2025-10-02,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,900,1500,1400
2025-09-30,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1200,1400,1300
2025-09-29,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1500,2200,1800
2025-09-27,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1200,1350,1250
2025-09-26,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1533.3333333333333,1766.6666666666667,1633.3333333333333
2025-09-25,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1250,1750,1550
2025-09-23,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,1500,1200
2025-09-22,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1400,1733.3333333333333,1500
2025-09-19,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1500,2200,1800
2025-09-18,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1500,2000,1800
2025-09-17,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1500,2100,1750
2025-09-16,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1900,2400,2200
2025-09-15,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1666.6666666666667,2433.3333333333335,2066.6666666666665
2025-09-14,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1400,2500,1500
2025-09-13,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,1500,1200
2025-09-12,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,2000,2400,2200
2025-09-11,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1400,1966.6666666666667,1666.6666666666667
2025-09-10,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,2200,2900,2600
2025-09-09,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1400,2066.6666666666665,1800
2025-09-08,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,2100,1550
2024-09-30,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,800,800,800
2023-12-19,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1100,1100,1100
2023-12-16,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1100,1100,1100
2023-12-15,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,1000,1000
2023-12-14,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1100,1100,1100
2023-12-13,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,1000,1000
2023-12-12,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,1000,1000
2023-12-11,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,900,900,900
2023-12-09,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,1000,1000
2023-12-08,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,900,900,900
2023-12-07,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,1000,1000
2023-12-06,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,900,900,900
2023-12-05,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1100,1100,1100
2023-12-02,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1100,1100,1100
2023-11-30,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,900,900,900
2023-11-28,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,1000,1000
2023-11-25,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,1000,1000
2023-11-24,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,1000,1000
2023-11-23,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,1000,1000
2023-11-22,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,800,800,800
2023-11-21,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,900,900,900
2023-11-20,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,1000,1000
2023-11-09,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,1000,1000
2023-11-08,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,1000,1000
2023-11-07,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,900,900,900
2023-11-06,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,1000,1000
2023-11-04,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,1000,1000
2023-11-03,Bottle gourd,82,Madhya Pradesh,23,Shivpuri,423,1000,1000,1000
