date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2024-09-22,Bottle gourd,82,Maharashtra,27,Nandurbar,497,2500,2500,2500
2023-07-26,Bottle gourd,82,Maharashtra,27,Nandurbar,497,1000,2000,1500
2023-07-22,Bottle gourd,82,Maharashtra,27,Nandurbar,497,2000,2000,2000
2023-07-13,Bottle gourd,82,Maharashtra,27,Nandurbar,497,2000,2000,2000
2023-07-06,Bottle gourd,82,Maharashtra,27,Nandurbar,497,2000,2000,2000
2023-07-05,Bottle gourd,82,Maharashtra,27,Nandurbar,497,1500,1500,1500
2022-08-21,Bottle gourd,82,Maharashtra,27,Nandurbar,497,1500,1500,1500
2022-08-13,Bottle gourd,82,Maharashtra,27,Nandurbar,497,1000,1000,1000
2022-08-01,Bottle gourd,82,Maharashtra,27,Nandurbar,497,2000,2000,2000
2022-07-31,Bottle gourd,82,Maharashtra,27,Nandurbar,497,1500,2000,1800
2022-07-30,Bottle gourd,82,Maharashtra,27,Nandurbar,497,1500,2000,1750
2022-07-23,Bottle gourd,82,Maharashtra,27,Nandurbar,497,3000,3000,3000
2022-07-21,Bottle gourd,82,Maharashtra,27,Nandurbar,497,3000,3000,3000
2021-07-06,Bottle gourd,82,Maharashtra,27,Nandurbar,497,1000,1000,1000
2021-05-16,Bottle gourd,82,Maharashtra,27,Nandurbar,497,1000,1000,1000
2021-05-02,Bottle gourd,82,Maharashtra,27,Nandurbar,497,1000,1000,1000
2021-03-30,Bottle gourd,82,Maharashtra,27,Nandurbar,497,1000,1000,1000
2021-02-26,Bottle gourd,82,Maharashtra,27,Nandurbar,497,700,700,700
2021-02-17,Bottle gourd,82,Maharashtra,27,Nandurbar,497,700,700,700
2021-02-05,Bottle gourd,82,Maharashtra,27,Nandurbar,497,1000,1000,1000
2021-02-03,Bottle gourd,82,Maharashtra,27,Nandurbar,497,1000,1000,1000
2021-02-02,Bottle gourd,82,Maharashtra,27,Nandurbar,497,1000,1000,1000
2021-01-29,Bottle gourd,82,Maharashtra,27,Nandurbar,497,1000,1000,1000
2021-01-26,Bottle gourd,82,Maharashtra,27,Nandurbar,497,1000,1000,1000
2021-01-22,Bottle gourd,82,Maharashtra,27,Nandurbar,497,1000,1000,1000
2020-10-18,Bottle gourd,82,Maharashtra,27,Nandurbar,497,1500,1500,1500
2020-09-02,Bottle gourd,82,Maharashtra,27,Nandurbar,497,1500,1500,1500
2020-08-06,Bottle gourd,82,Maharashtra,27,Nandurbar,497,1500,1500,1500
2020-08-03,Bottle gourd,82,Maharashtra,27,Nandurbar,497,1000,1000,1000
