date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2023-09-07,Brinjal,35,Bihar,10,Jamui,238,4200,4400,4300
2023-09-06,Brinjal,35,Bihar,10,Jamui,238,4400,4600,4550
2023-09-05,Brinjal,35,Bihar,10,Jamui,238,4250,4400,4350
2023-09-04,Brinjal,35,Bihar,10,Jamui,238,3200,3400,3300
2023-09-03,Brinjal,35,Bihar,10,Jamui,238,1950,3900,3850
2023-09-02,Brinjal,35,Bihar,10,Jamui,238,3700,3850,3800
2023-09-01,Brinjal,35,Bihar,10,Jamui,238,3500,3800,3650
2023-08-31,Brinjal,35,Bihar,10,Jamui,238,2350,2550,2450
2023-08-30,Brinjal,35,Bihar,10,Jamui,238,2200,2400,2300
2023-08-18,Brinjal,35,Bihar,10,Jamui,238,28000,30000,29000
2023-06-01,Brinjal,35,Bihar,10,Jamui,238,1600,1800,1700
2023-05-31,Brinjal,35,Bihar,10,Jamui,238,1800,2000,1900
2023-05-30,Brinjal,35,Bihar,10,Jamui,238,1800,2000,1900
2023-05-25,Brinjal,35,Bihar,10,Jamui,238,1900,2100,2000
2023-05-24,Brinjal,35,Bihar,10,Jamui,238,2000,2200,2100
2023-05-21,Brinjal,35,Bihar,10,Jamui,238,2300,2500,2400
2023-05-20,Brinjal,35,Bihar,10,Jamui,238,2000,2200,2100
2023-05-19,Brinjal,35,Bihar,10,Jamui,238,2100,2300,2200
2023-05-14,Brinjal,35,Bihar,10,Jamui,238,2000,2200,2100
2023-05-13,Brinjal,35,Bihar,10,Jamui,238,2300,2500,2400
2023-05-12,Brinjal,35,Bihar,10,Jamui,238,2100,2300,2200
2023-05-10,Brinjal,35,Bihar,10,Jamui,238,2200,0,2300
2023-05-09,Brinjal,35,Bihar,10,Jamui,238,2200,2400,2300
2023-05-07,Brinjal,35,Bihar,10,Jamui,238,2400,2600,2500
2023-05-06,Brinjal,35,Bihar,10,Jamui,238,2100,2300,2200
2023-05-05,Brinjal,35,Bihar,10,Jamui,238,2300,2500,2400
2023-05-04,Brinjal,35,Bihar,10,Jamui,238,2300,2500,2400
2023-05-03,Brinjal,35,Bihar,10,Jamui,238,2300,2500,2400
2023-05-02,Brinjal,35,Bihar,10,Jamui,238,2300,2500,2400
2023-04-30,Brinjal,35,Bihar,10,Jamui,238,2200,2400,2300
2023-04-29,Brinjal,35,Bihar,10,Jamui,238,2200,0,2300
2023-04-28,Brinjal,35,Bihar,10,Jamui,238,2400,2600,2500
2023-04-27,Brinjal,35,Bihar,10,Jamui,238,2300,2500,2400
2023-04-23,Brinjal,35,Bihar,10,Jamui,238,2100,2300,2200
2023-04-21,Brinjal,35,Bihar,10,Jamui,238,2100,0,2200
2023-04-20,Brinjal,35,Bihar,10,Jamui,238,2000,2100,2100
2023-04-18,Brinjal,35,Bihar,10,Jamui,238,2100,0,2200
2023-04-17,Brinjal,35,Bihar,10,Jamui,238,1800,2000,1900
2023-04-16,Brinjal,35,Bihar,10,Jamui,238,2000,2200,2100
2023-04-15,Brinjal,35,Bihar,10,Jamui,238,1600,1800,1700
2023-04-14,Brinjal,35,Bihar,10,Jamui,238,1700,0,1800
2023-04-12,Brinjal,35,Bihar,10,Jamui,238,1600,1800,1700
2023-04-11,Brinjal,35,Bihar,10,Jamui,238,1700,1800,1800
2023-04-10,Brinjal,35,Bihar,10,Jamui,238,1600,1800,1700
2023-04-09,Brinjal,35,Bihar,10,Jamui,238,1500,1700,1600
2023-04-08,Brinjal,35,Bihar,10,Jamui,238,1600,1800,1700
2023-04-07,Brinjal,35,Bihar,10,Jamui,238,1500,1700,1600
2023-04-06,Brinjal,35,Bihar,10,Jamui,238,1400,1600,1500
2023-04-05,Brinjal,35,Bihar,10,Jamui,238,1400,1600,1500
2023-04-04,Brinjal,35,Bihar,10,Jamui,238,1300,1500,1400
2023-04-03,Brinjal,35,Bihar,10,Jamui,238,1200,1400,1300
2023-03-31,Brinjal,35,Bihar,10,Jamui,238,1500,1600,1550
2023-03-30,Brinjal,35,Bihar,10,Jamui,238,1600,1700,1700
2023-03-29,Brinjal,35,Bihar,10,Jamui,238,1400,1600,1500
2023-03-28,Brinjal,35,Bihar,10,Jamui,238,1500,0,1600
2023-03-27,Brinjal,35,Bihar,10,Jamui,238,1400,0,1500
2023-03-26,Brinjal,35,Bihar,10,Jamui,238,1500,0,1600
2023-03-25,Brinjal,35,Bihar,10,Jamui,238,1400,1600,1500
2023-03-24,Brinjal,35,Bihar,10,Jamui,238,1400,1600,1500
2023-03-23,Brinjal,35,Bihar,10,Jamui,238,1300,1500,1400
2023-03-21,Brinjal,35,Bihar,10,Jamui,238,1500,1700,1600
2023-03-20,Brinjal,35,Bihar,10,Jamui,238,1600,0,1700
2023-03-19,Brinjal,35,Bihar,10,Jamui,238,1600,1800,1700
2023-03-17,Brinjal,35,Bihar,10,Jamui,238,1400,1600,1500
2023-03-16,Brinjal,35,Bihar,10,Jamui,238,1500,0,1600
2023-03-15,Brinjal,35,Bihar,10,Jamui,238,1600,1800,1700
2023-03-14,Brinjal,35,Bihar,10,Jamui,238,1500,1700,1600
2023-03-13,Brinjal,35,Bihar,10,Jamui,238,1600,0,1700
2023-03-12,Brinjal,35,Bihar,10,Jamui,238,1400,1600,1500
2023-03-11,Brinjal,35,Bihar,10,Jamui,238,1500,0,1600
2023-03-10,Brinjal,35,Bihar,10,Jamui,238,1400,1500,1500
2023-03-08,Brinjal,35,Bihar,10,Jamui,238,1650,0,1700
2023-03-07,Brinjal,35,Bihar,10,Jamui,238,1600,1700,1700
2023-03-06,Brinjal,35,Bihar,10,Jamui,238,1700,1800,1800
2023-03-05,Brinjal,35,Bihar,10,Jamui,238,1900,2000,2000
2023-03-04,Brinjal,35,Bihar,10,Jamui,238,1700,1800,1800
2023-03-03,Brinjal,35,Bihar,10,Jamui,238,1500,1700,1600
2023-03-02,Brinjal,35,Bihar,10,Jamui,238,1400,1600,1500
2023-03-01,Brinjal,35,Bihar,10,Jamui,238,1400,1600,1500
2023-02-28,Brinjal,35,Bihar,10,Jamui,238,1500,1600,1600
2023-02-26,Brinjal,35,Bihar,10,Jamui,238,1300,1400,1400
2023-02-25,Brinjal,35,Bihar,10,Jamui,238,1400,1600,1500
2023-02-24,Brinjal,35,Bihar,10,Jamui,238,1400,1600,1500
2023-02-23,Brinjal,35,Bihar,10,Jamui,238,1400,1500,1500
2023-02-21,Brinjal,35,Bihar,10,Jamui,238,1300,1500,1400
2023-02-19,Brinjal,35,Bihar,10,Jamui,238,1000,1100,1050
