date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-29,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1400,1600,1500
2025-10-25,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1300,1500,1400
2025-10-18,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1275,1400,1300
2025-10-12,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1200,1400,1300
2025-10-05,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1300,1500,1400
2025-10-03,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1400,1600,1500
2025-09-24,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1600,1800,1700
2025-09-21,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1500,1675,1600
2025-09-18,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1300,1475,1400
2025-09-17,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1500,1675,1600
2025-09-13,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1200,1400,1300
2025-09-10,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1225,1400,1300
2025-09-09,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1500,1700,1600
2025-09-08,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1200,1400,1300
2025-09-07,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1325,1500,1400
2025-09-05,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1425,1600,1500
2025-09-02,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1300,1475,1400
2025-08-29,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1400,1600,1500
2025-08-26,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1500,1675,1600
2025-08-06,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1200,1400,1300
2025-08-05,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1400,1600,1500
2025-07-30,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1400,1600,1500
2025-07-29,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1800,2000,1900
2025-07-17,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1425,1600,1500
2025-07-13,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1400,1575,1500
2025-07-10,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1600,1775,1700
2025-07-01,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1400,1575,1500
2025-06-22,Capsicum,164,Uttar Pradesh,9,Auraiya,162,1175,1300,1200
