date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2019-06-27,Carrot,153,Mizoram,15,Aizawl,283,6000,10000,8000
2019-06-26,Carrot,153,Mizoram,15,Aizawl,283,8000,12000,10000
2019-06-25,Carrot,153,Mizoram,15,Aizawl,283,8000,12000,10000
2019-06-24,Carrot,153,Mizoram,15,Aizawl,283,8000,12000,10000
2019-06-07,Carrot,153,Mizoram,15,Aizawl,283,4000,8000,6000
2019-04-01,Carrot,153,Mizoram,15,Aizawl,283,6000,10000,8000
2019-03-27,Carrot,153,Mizoram,15,Aizawl,283,6000,10000,8000
2019-03-26,Carrot,153,Mizoram,15,Aizawl,283,6000,10000,8000
2019-03-25,Carrot,153,Mizoram,15,Aizawl,283,6000,10000,8000
2019-03-15,Carrot,153,Mizoram,15,Aizawl,283,6000,10000,8000
2019-03-11,Carrot,153,Mizoram,15,Aizawl,283,6000,10000,8000
2019-03-08,Carrot,153,Mizoram,15,Aizawl,283,6000,10000,8000
2019-03-05,Carrot,153,Mizoram,15,Aizawl,283,6000,10000,8000
2018-07-31,Carrot,153,Mizoram,15,Aizawl,283,1500,2500,1750
2018-06-01,Carrot,153,Mizoram,15,Aizawl,283,3000,5000,4000
2018-04-18,Carrot,153,Mizoram,15,Aizawl,283,2500,5000,3750
2018-04-12,Carrot,153,Mizoram,15,Aizawl,283,2500,5000,3750
2018-04-11,Carrot,153,Mizoram,15,Aizawl,283,3000,5000,4000
2018-03-14,Carrot,153,Mizoram,15,Aizawl,283,2500,5000,3750
2017-03-22,Carrot,153,Mizoram,15,Aizawl,283,2000,5000,3500
2017-03-21,Carrot,153,Mizoram,15,Aizawl,283,2000,5000,3500
2017-03-09,Carrot,153,Mizoram,15,Aizawl,283,2000,5000,3500
2017-02-08,Carrot,153,Mizoram,15,Aizawl,283,2000,5000,3000
2017-02-03,Carrot,153,Mizoram,15,Aizawl,283,2000,5000,3500
2016-06-29,Carrot,153,Mizoram,15,Aizawl,283,5000,7000,6000
2016-06-22,Carrot,153,Mizoram,15,Aizawl,283,5000,7000,6000
2016-06-13,Carrot,153,Mizoram,15,Aizawl,283,5000,7000,6000
2016-04-04,Carrot,153,Mizoram,15,Aizawl,283,3000,5000,4500
2016-03-29,Carrot,153,Mizoram,15,Aizawl,283,3000,3000,3000
2016-03-15,Carrot,153,Mizoram,15,Aizawl,283,1700,1700,1700
2016-03-08,Carrot,153,Mizoram,15,Aizawl,283,1600,1600,1600
2015-12-15,Carrot,153,Mizoram,15,Aizawl,283,5000,5000,5000
2015-07-10,Carrot,153,Mizoram,15,Aizawl,283,4250,5000,4500
2015-07-01,Carrot,153,Mizoram,15,Aizawl,283,4500,5000,4700
2015-06-29,Carrot,153,Mizoram,15,Aizawl,283,5000,7000,6000
2015-06-24,Carrot,153,Mizoram,15,Aizawl,283,6000,6000,6000
2015-06-17,Carrot,153,Mizoram,15,Aizawl,283,4000,4000,4000
2015-06-02,Carrot,153,Mizoram,15,Aizawl,283,2800,2800,2800
2015-05-26,Carrot,153,Mizoram,15,Aizawl,283,1000,1750,1500
2015-01-28,Carrot,153,Mizoram,15,Aizawl,283,5500,5800,5650
