date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2020-11-23,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,1200,1200,1200
2020-11-22,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,1500,1500,1500
2020-11-21,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,1200,1200,1200
2020-11-06,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,1500,2500,2000
2020-10-30,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,2200,2200,2200
2020-10-29,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,2000,2500,2250
2020-10-26,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,3000,3000,3000
2020-10-25,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,2200,2500,2350
2020-10-24,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,3000,3500,3250
2020-10-19,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,2800,2800,2800
2020-10-18,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,3500,3500,3500
2020-10-17,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,2800,3000,2900
2020-10-16,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,2800,2800,2800
2020-10-09,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,2500,2500,2500
2020-10-08,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,3000,3000,3000
2020-09-22,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,1800,2800,2300
2020-09-21,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,2400,2600,2500
2020-09-18,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,2000,2000,2000
2020-09-17,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,2500,2500,2500
2020-09-16,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,2400,2600,2500
2020-09-14,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,1900,2100,2000
2020-09-09,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,2000,3000,2750
2020-08-31,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,2500,3000,2750
2020-08-26,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,1500,2000,1750
2020-08-25,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,3500,4000,3750
2020-08-24,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,2500,2500,2500
2020-08-20,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,2500,3000,2750
2020-08-19,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,1200,1500,1350
2020-08-18,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,1200,1200,1200
2020-08-17,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,1000,1000,1000
2020-08-15,Cauliflower,34,Madhya Pradesh,23,Narsimhapur,452,1000,1000,1000
