date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-03-29,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,1050,1090,1070
2025-03-28,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,1030,1070,1050
2025-03-27,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,1020,1060,1040
2025-03-26,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,1030,1070,1050
2025-03-25,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,1040,1080,1060
2025-03-24,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,1050,1090,1070
2025-03-22,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,1010,1050,1030
2025-03-21,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,1020,1060,1040
2025-03-20,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,1030,1070,1050
2025-03-19,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,1010,1050,1030
2025-03-18,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,1000,1040,1020
2025-03-17,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,980,1020,1000
2025-03-15,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,960,1000,980
2025-03-12,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,915,960,935
2025-03-11,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,886.6666666666666,996.6666666666666,933.3333333333334
2025-03-10,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,840,963.3333333333334,885
2025-03-09,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,835,1000,895
2025-03-08,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,823.3333333333334,966.6666666666666,886.6666666666666
2025-03-07,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,805,990,882.5
2025-03-06,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,820,956.6666666666666,880
2025-03-05,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,816.6666666666666,953.3333333333334,875
2025-03-04,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,823.3333333333334,956.6666666666666,881.6666666666666
2025-03-03,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,810,990,890
2025-03-02,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,860,910,880
2025-03-01,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,818.3333333333334,948.3333333333334,873.3333333333334
2025-02-28,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,800,970,875
2025-02-27,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,815,946.6666666666666,871.6666666666666
2025-02-26,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,795,965,865
2025-02-25,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,815,946.6666666666666,871.6666666666666
2025-02-24,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,811.6666666666666,925,865
2025-02-23,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,800,955,875
2025-02-22,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,816.6666666666666,933.3333333333334,875
2025-02-21,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,750,1000,870
2025-02-20,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,820,933.3333333333334,876.6666666666666
2025-02-19,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,840,890,862.5
2025-02-18,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,801.6666666666666,915,853.3333333333334
2025-02-17,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,800,970,875
2025-02-16,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,750,1050,875
2025-02-15,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,811.6666666666666,943.3333333333334,870
2025-02-14,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,737.5,957.5,850
2025-02-13,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,766.6666666666666,930,853.3333333333334
2025-02-11,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,740,923.3333333333334,840
2025-02-10,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,976.6666666666666,1093.3333333333333,1043.3333333333333
2025-02-09,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,1040,1100,1070
2025-02-08,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,1037.5,1085,1060
2025-02-07,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,970,1115,1067.5
2025-02-06,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,988.3333333333334,1103.3333333333333,1060
2025-02-05,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,1003.3333333333334,1123.3333333333333,1081.6666666666667
2025-02-04,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,1000,1113.3333333333333,1073.3333333333333
2025-02-03,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,900,1200,1150
2025-02-01,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,1055,1180,1145
2025-01-31,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,1057.5,1182.5,1150
2025-01-30,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,1073.3333333333333,1175,1143.3333333333333
2025-01-29,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,1090,1193.3333333333333,1156.6666666666667
2025-01-28,Cauliflower,34,Uttar Pradesh,9,Sitapur,154,1095,1198.3333333333333,1163.3333333333333
