date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-05-14,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1300,2200,1700
2025-05-13,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1000,2000,1500
2025-05-07,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1300,2200,1700
2025-05-06,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1300,2600,1800
2025-05-05,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1300,2600,1800
2025-05-03,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1500,3000,2000
2025-04-30,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1500,3000,2000
2025-04-29,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1500,3000,2000
2025-04-28,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1500,3000,2000
2025-04-26,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1500,3000,2000
2025-04-25,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1500,3500,2100
2025-04-24,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1500,3500,2100
2025-04-23,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1600,2800,2000
2025-04-22,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1800,3000,2200
2025-04-21,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1800,3000,2500
2025-04-18,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1800,3000,2500
2025-04-17,Chikoo (Sapota),71,Punjab,3,Amritsar,49,800,2700,1600
2025-04-16,Chikoo (Sapota),71,Punjab,3,Amritsar,49,800,2700,1600
2025-04-15,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1000,2500,2000
2025-04-14,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1300,2600,1800
2025-04-11,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1500,3000,2000
2025-04-10,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1500,3000,2100
2025-04-09,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1500,3100,2200
2025-04-08,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1800,3000,2300
2025-04-07,Chikoo (Sapota),71,Punjab,3,Amritsar,49,2000,3000,2500
2025-04-05,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1800,3000,2200
2025-04-04,Chikoo (Sapota),71,Punjab,3,Amritsar,49,2000,4100,3300
2025-04-03,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1900,4200,3100
2025-04-02,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1200,3600,2500
2025-04-01,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1500,4000,2800
2025-03-28,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1900,4200,3100
2025-03-27,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1900,4200,3100
2025-03-15,Chikoo (Sapota),71,Punjab,3,Amritsar,49,2500,4000,3200
2025-03-10,Chikoo (Sapota),71,Punjab,3,Amritsar,49,2000,4800,3500
2025-03-07,Chikoo (Sapota),71,Punjab,3,Amritsar,49,2600,4500,3500
2025-02-21,Chikoo (Sapota),71,Punjab,3,Amritsar,49,2100,5000,3500
2025-02-20,Chikoo (Sapota),71,Punjab,3,Amritsar,49,2000,5000,3800
2025-02-19,Chikoo (Sapota),71,Punjab,3,Amritsar,49,2000,4000,3000
2025-02-18,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1800,4100,2900
2025-02-14,Chikoo (Sapota),71,Punjab,3,Amritsar,49,2000,4200,3000
2025-02-13,Chikoo (Sapota),71,Punjab,3,Amritsar,49,2000,4300,3000
2025-02-10,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1500,5000,3000
2025-01-21,Chikoo (Sapota),71,Punjab,3,Amritsar,49,2500,5100,4000
2025-01-16,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1900,4500,3800
2025-01-15,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1500,5100,4000
2025-01-10,Chikoo (Sapota),71,Punjab,3,Amritsar,49,2000,5100,4000
2025-01-07,Chikoo (Sapota),71,Punjab,3,Amritsar,49,2000,4200,3500
2025-01-06,Chikoo (Sapota),71,Punjab,3,Amritsar,49,2000,5000,4000
2025-01-02,Chikoo (Sapota),71,Punjab,3,Amritsar,49,1800,5100,4000
