date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-09-08,Chikoo (Sapota),71,Punjab,3,Muktsar,44,7000,8000,7500
2025-06-07,Chikoo (Sapota),71,Punjab,3,Muktsar,44,2500,3500,3000
2025-06-06,Chikoo (Sapota),71,Punjab,3,Muktsar,44,3800,4200,4000
2025-06-02,Chikoo (Sapota),71,Punjab,3,Muktsar,44,2500,3000,2800
2025-05-30,Chikoo (Sapota),71,Punjab,3,Muktsar,44,4000,5000,4500
2025-05-26,Chikoo (Sapota),71,Punjab,3,Muktsar,44,3500,4500,4000
2025-05-22,Chikoo (Sapota),71,Punjab,3,Muktsar,44,1600,2000,1800
2025-05-20,Chikoo (Sapota),71,Punjab,3,Muktsar,44,4500,5000,4800
2025-05-17,Chikoo (Sapota),71,Punjab,3,Muktsar,44,1900,2500,2200
2025-05-16,Chikoo (Sapota),71,Punjab,3,Muktsar,44,1800,2200,2100
2025-05-15,Chikoo (Sapota),71,Punjab,3,Muktsar,44,3000,3500,3200
2025-05-12,Chikoo (Sapota),71,Punjab,3,Muktsar,44,2500,3500,3000
2025-05-10,Chikoo (Sapota),71,Punjab,3,Muktsar,44,1600,2100,1800
2025-05-09,Chikoo (Sapota),71,Punjab,3,Muktsar,44,1800,2200,2000
2025-05-08,Chikoo (Sapota),71,Punjab,3,Muktsar,44,2700,3150,2900
2025-05-06,Chikoo (Sapota),71,Punjab,3,Muktsar,44,1800,2300,2100
2025-05-05,Chikoo (Sapota),71,Punjab,3,Muktsar,44,3100,3850,3450
2025-05-03,Chikoo (Sapota),71,Punjab,3,Muktsar,44,2000,3000,2500
2025-05-01,Chikoo (Sapota),71,Punjab,3,Muktsar,44,3500,4500,4000
2025-04-26,Chikoo (Sapota),71,Punjab,3,Muktsar,44,2300,3000,2650
2025-04-25,Chikoo (Sapota),71,Punjab,3,Muktsar,44,2350,3050,2700
2025-04-24,Chikoo (Sapota),71,Punjab,3,Muktsar,44,2500,3000,2800
2025-04-23,Chikoo (Sapota),71,Punjab,3,Muktsar,44,2500,3500,3000
2025-04-22,Chikoo (Sapota),71,Punjab,3,Muktsar,44,2200,3000,2650
2025-04-18,Chikoo (Sapota),71,Punjab,3,Muktsar,44,2200,2900,2400
2025-04-16,Chikoo (Sapota),71,Punjab,3,Muktsar,44,2500,3500,3000
2025-04-14,Chikoo (Sapota),71,Punjab,3,Muktsar,44,3050,3750,3450
2025-04-12,Chikoo (Sapota),71,Punjab,3,Muktsar,44,3100,3800,3300
2025-04-11,Chikoo (Sapota),71,Punjab,3,Muktsar,44,3200,3600,3400
2025-04-10,Chikoo (Sapota),71,Punjab,3,Muktsar,44,2850,3650,3250
2025-04-09,Chikoo (Sapota),71,Punjab,3,Muktsar,44,3500,5000,4000
