date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-02-11,Chili Red,26,Telangana,36,Khammam,541,14850,15000,15000
2024-11-04,Chili Red,26,Telangana,36,Khammam,541,2200,2400,2300
2024-10-03,Chili Red,26,Telangana,36,Khammam,541,2200,2320,2300
2024-09-29,Chili Red,26,Telangana,36,Khammam,541,2301,2301,2301
2024-09-25,Chili Red,26,Telangana,36,Khammam,541,6000,6200,6200
2024-09-22,Chili Red,26,Telangana,36,Khammam,541,6000,6500,6300
2024-09-17,Chili Red,26,Telangana,36,Khammam,541,2300,2304,2304
2024-09-04,Chili Red,26,Telangana,36,Khammam,541,2200,2200,2200
2024-08-22,Chili Red,26,Telangana,36,Khammam,541,8000,9000,9000
2024-07-26,Chili Red,26,Telangana,36,Khammam,541,2130,2300,2300
2024-07-13,Chili Red,26,Telangana,36,Khammam,541,4080,5000,5000
2024-06-14,Chili Red,26,Telangana,36,Khammam,541,2200,2200,2200
2024-05-31,Chili Red,26,Telangana,36,Khammam,541,15000,15000,15000
2024-05-24,Chili Red,26,Telangana,36,Khammam,541,2200,2300,2200
2024-04-18,Chili Red,26,Telangana,36,Khammam,541,1750,2190,2100
2024-03-12,Chili Red,26,Telangana,36,Khammam,541,2000,2195,2100
2023-05-31,Chili Red,26,Telangana,36,Khammam,541,22000,22000,22000
2023-05-30,Chili Red,26,Telangana,36,Khammam,541,23000,23000,23000
2023-05-25,Chili Red,26,Telangana,36,Khammam,541,22500,22500,22500
2023-05-22,Chili Red,26,Telangana,36,Khammam,541,22000,22000,22000
2023-05-20,Chili Red,26,Telangana,36,Khammam,541,22000,22000,22000
2023-05-17,Chili Red,26,Telangana,36,Khammam,541,23000,23000,23000
2023-05-16,Chili Red,26,Telangana,36,Khammam,541,22000,22000,22000
2023-05-13,Chili Red,26,Telangana,36,Khammam,541,22000,22000,22000
2023-05-07,Chili Red,26,Telangana,36,Khammam,541,23500,23500,23500
2023-05-01,Chili Red,26,Telangana,36,Khammam,541,20000,20000,20000
2023-04-30,Chili Red,26,Telangana,36,Khammam,541,20000,20000,20000
2023-04-28,Chili Red,26,Telangana,36,Khammam,541,22000,22000,22000
2023-04-27,Chili Red,26,Telangana,36,Khammam,541,22000,22000,22000
2023-04-25,Chili Red,26,Telangana,36,Khammam,541,19000,19000,19000
2023-04-24,Chili Red,26,Telangana,36,Khammam,541,25000,25000,25000
2023-04-23,Chili Red,26,Telangana,36,Khammam,541,25000,25000,25000
2023-04-19,Chili Red,26,Telangana,36,Khammam,541,10000,11000,10500
2023-04-15,Chili Red,26,Telangana,36,Khammam,541,20000,25000,23000
2023-04-08,Chili Red,26,Telangana,36,Khammam,541,25000,25000,25000
2023-04-03,Chili Red,26,Telangana,36,Khammam,541,22000,22000,22000
2023-03-29,Chili Red,26,Telangana,36,Khammam,541,23000,23000,23000
2023-03-27,Chili Red,26,Telangana,36,Khammam,541,22000,22000,22000
2023-03-14,Chili Red,26,Telangana,36,Khammam,541,16710,16710,16710
2023-03-08,Chili Red,26,Telangana,36,Khammam,541,18700,18700,18700
2023-03-05,Chili Red,26,Telangana,36,Khammam,541,22000,22000,22000
2023-03-03,Chili Red,26,Telangana,36,Khammam,541,17000,17000,17000
2023-02-06,Chili Red,26,Telangana,36,Khammam,541,12000,13000,12500
2023-01-24,Chili Red,26,Telangana,36,Khammam,541,10000,11000,10500
2022-11-20,Chili Red,26,Telangana,36,Khammam,541,5000,6000,5500
2022-10-13,Chili Red,26,Telangana,36,Khammam,541,9500,10000,9500
2022-05-31,Chili Red,26,Telangana,36,Khammam,541,18500,18500,18500
2022-05-24,Chili Red,26,Telangana,36,Khammam,541,10000,12000,11000
2022-05-09,Chili Red,26,Telangana,36,Khammam,541,10000,11000,10500
2022-05-08,Chili Red,26,Telangana,36,Khammam,541,19400,19400,19400
2022-05-05,Chili Red,26,Telangana,36,Khammam,541,22700,22700,22700
2022-04-30,Chili Red,26,Telangana,36,Khammam,541,19500,19500,19500
2022-04-29,Chili Red,26,Telangana,36,Khammam,541,19200,19200,19200
2022-04-28,Chili Red,26,Telangana,36,Khammam,541,4500,4500,4500
2022-04-26,Chili Red,26,Telangana,36,Khammam,541,18600,18600,18600
2022-04-25,Chili Red,26,Telangana,36,Khammam,541,19600,19600,19600
2022-04-24,Chili Red,26,Telangana,36,Khammam,541,19600,19600,19600
2022-04-22,Chili Red,26,Telangana,36,Khammam,541,19600,19600,19600
2022-04-20,Chili Red,26,Telangana,36,Khammam,541,18800,18800,18800
2022-04-19,Chili Red,26,Telangana,36,Khammam,541,19500,19500,19500
2022-04-18,Chili Red,26,Telangana,36,Khammam,541,19500,19500,19500
2022-04-17,Chili Red,26,Telangana,36,Khammam,541,19500,19500,19500
2022-04-16,Chili Red,26,Telangana,36,Khammam,541,19500,19500,19500
2022-04-15,Chili Red,26,Telangana,36,Khammam,541,19500,19500,19500
2022-04-14,Chili Red,26,Telangana,36,Khammam,541,19500,19500,19500
2022-04-13,Chili Red,26,Telangana,36,Khammam,541,19500,19500,19500
2022-04-08,Chili Red,26,Telangana,36,Khammam,541,19500,19500,19500
2022-04-07,Chili Red,26,Telangana,36,Khammam,541,14300,14800,14550
2022-04-06,Chili Red,26,Telangana,36,Khammam,541,14300,14800,14550
2022-04-05,Chili Red,26,Telangana,36,Khammam,541,14300,14800,14550
2022-04-02,Chili Red,26,Telangana,36,Khammam,541,19500,19500,19500
2022-04-01,Chili Red,26,Telangana,36,Khammam,541,19500,19500,19500
2022-03-31,Chili Red,26,Telangana,36,Khammam,541,19500,19500,19500
2022-03-30,Chili Red,26,Telangana,36,Khammam,541,19500,19500,19500
2022-03-29,Chili Red,26,Telangana,36,Khammam,541,14750,15250,15000
2022-03-28,Chili Red,26,Telangana,36,Khammam,541,14750,15250,15000
2022-03-27,Chili Red,26,Telangana,36,Khammam,541,10000,11000,10500
2022-03-23,Chili Red,26,Telangana,36,Khammam,541,19500,19500,19500
2022-03-20,Chili Red,26,Telangana,36,Khammam,541,19700,19700,19700
2022-03-19,Chili Red,26,Telangana,36,Khammam,541,14250,14750,14500
2022-03-18,Chili Red,26,Telangana,36,Khammam,541,10000,11000,10500
2022-03-17,Chili Red,26,Telangana,36,Khammam,541,10000,11000,10500
2022-03-16,Chili Red,26,Telangana,36,Khammam,541,14350,14850,14600
2022-03-15,Chili Red,26,Telangana,36,Khammam,541,10000,11000,10500
2022-03-14,Chili Red,26,Telangana,36,Khammam,541,10000,11000,10500
2022-03-13,Chili Red,26,Telangana,36,Khammam,541,10000,11000,10500
2022-03-12,Chili Red,26,Telangana,36,Khammam,541,19400,19400,19400
2022-03-11,Chili Red,26,Telangana,36,Khammam,541,14750,15250,15000
2022-03-10,Chili Red,26,Telangana,36,Khammam,541,10000,11000,10500
2022-03-09,Chili Red,26,Telangana,36,Khammam,541,14750,15250,15000
2022-03-08,Chili Red,26,Telangana,36,Khammam,541,14050,14550,14300
2022-03-07,Chili Red,26,Telangana,36,Khammam,541,10000,11000,10500
2022-03-05,Chili Red,26,Telangana,36,Khammam,541,18500,18500,18500
2022-03-03,Chili Red,26,Telangana,36,Khammam,541,10000,11000,10500
2022-03-02,Chili Red,26,Telangana,36,Khammam,541,10000,11000,10500
2022-03-01,Chili Red,26,Telangana,36,Khammam,541,10000,11000,10500
2019-08-14,Chili Red,26,Telangana,36,Khammam,541,8600,10200,9500
2019-08-04,Chili Red,26,Telangana,36,Khammam,541,8600,10200,9000
2019-07-28,Chili Red,26,Telangana,36,Khammam,541,8590,10290,9500
2019-07-27,Chili Red,26,Telangana,36,Khammam,541,8500,9700,9200
2019-07-23,Chili Red,26,Telangana,36,Khammam,541,9000,10560,9450
2019-07-21,Chili Red,26,Telangana,36,Khammam,541,9300,10200,9800
2019-07-19,Chili Red,26,Telangana,36,Khammam,541,9500,10500,10000
2019-07-17,Chili Red,26,Telangana,36,Khammam,541,7500,10500,8500
2019-07-16,Chili Red,26,Telangana,36,Khammam,541,9000,10000,9500
2019-07-15,Chili Red,26,Telangana,36,Khammam,541,9500,11200,10600
2019-07-14,Chili Red,26,Telangana,36,Khammam,541,9000,11500,10200
2019-07-13,Chili Red,26,Telangana,36,Khammam,541,8000,11800,9500
2019-06-17,Chili Red,26,Telangana,36,Khammam,541,7100,7500,7300
2019-06-08,Chili Red,26,Telangana,36,Khammam,541,7300,8400,8100
2019-06-07,Chili Red,26,Telangana,36,Khammam,541,6700,8200,7300
2019-06-06,Chili Red,26,Telangana,36,Khammam,541,7500,8500,8000
2019-05-11,Chili Red,26,Telangana,36,Khammam,541,8500,8500,8500
2019-05-07,Chili Red,26,Telangana,36,Khammam,541,8500,8500,8500
2019-05-01,Chili Red,26,Telangana,36,Khammam,541,8500,8500,8500
2019-04-30,Chili Red,26,Telangana,36,Khammam,541,8500,8500,8500
2019-04-28,Chili Red,26,Telangana,36,Khammam,541,8500,8500,8500
2019-04-25,Chili Red,26,Telangana,36,Khammam,541,8500,8500,8500
2019-04-21,Chili Red,26,Telangana,36,Khammam,541,9000,9000,9000
2019-04-20,Chili Red,26,Telangana,36,Khammam,541,8500,8500,8500
2019-04-19,Chili Red,26,Telangana,36,Khammam,541,8500,8500,8500
2019-04-18,Chili Red,26,Telangana,36,Khammam,541,8500,8500,8500
2019-04-16,Chili Red,26,Telangana,36,Khammam,541,8500,8500,8500
2019-04-15,Chili Red,26,Telangana,36,Khammam,541,9500,9500,9500
2019-04-12,Chili Red,26,Telangana,36,Khammam,541,9000,9000,9000
2019-04-10,Chili Red,26,Telangana,36,Khammam,541,8500,8500,8500
2019-04-07,Chili Red,26,Telangana,36,Khammam,541,8500,8500,8500
2019-04-06,Chili Red,26,Telangana,36,Khammam,541,9000,9000,9000
2019-04-05,Chili Red,26,Telangana,36,Khammam,541,8500,8500,8500
2019-04-02,Chili Red,26,Telangana,36,Khammam,541,8500,8500,8500
2019-04-01,Chili Red,26,Telangana,36,Khammam,541,8500,8500,8500
2019-03-30,Chili Red,26,Telangana,36,Khammam,541,8200,8500,8500
2019-03-29,Chili Red,26,Telangana,36,Khammam,541,7200,7500,7500
2019-03-27,Chili Red,26,Telangana,36,Khammam,541,9000,9500,9000
2019-03-26,Chili Red,26,Telangana,36,Khammam,541,8500,8500,8500
2019-03-24,Chili Red,26,Telangana,36,Khammam,541,8022,8500,8500
2019-03-23,Chili Red,26,Telangana,36,Khammam,541,8500,8500,8500
2019-03-21,Chili Red,26,Telangana,36,Khammam,541,9500,9500,9500
2019-03-20,Chili Red,26,Telangana,36,Khammam,541,9000,9500,9500
2019-03-19,Chili Red,26,Telangana,36,Khammam,541,9300,9500,9500
2019-03-18,Chili Red,26,Telangana,36,Khammam,541,8000,8500,8500
2019-03-15,Chili Red,26,Telangana,36,Khammam,541,8500,8500,8500
2019-03-14,Chili Red,26,Telangana,36,Khammam,541,8000,8000,8000
2019-03-13,Chili Red,26,Telangana,36,Khammam,541,8000,8000,8000
2019-03-12,Chili Red,26,Telangana,36,Khammam,541,7000,7000,7000
2019-03-06,Chili Red,26,Telangana,36,Khammam,541,8500,8500,8500
2019-03-04,Chili Red,26,Telangana,36,Khammam,541,8000,8000,8000
2019-03-03,Chili Red,26,Telangana,36,Khammam,541,8300,8800,8500
2019-02-27,Chili Red,26,Telangana,36,Khammam,541,8900,9000,9000
2019-02-22,Chili Red,26,Telangana,36,Khammam,541,3200,3200,3200
