date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2016-03-08,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,2400,2700,2600
2016-02-24,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,,,2200
2016-01-20,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,,,1200
2016-01-16,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,,,950
2016-01-12,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,,,780
2016-01-11,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,,,850
2016-01-07,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,,,800
2016-01-06,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,,,725
2015-12-19,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,,,850
2015-10-03,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,,,1750
2015-09-09,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,2600,3050,2800
2015-09-08,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,2250,2750,2550
2015-09-07,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,4050,4200,4150
2015-08-14,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,1750,1850,1800
2015-08-12,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,1850,2000,1900
2015-08-06,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,1800,2100,2050
2015-08-04,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,2450,2650,2600
2015-07-07,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,2200,2600,2450
2015-06-11,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,950,1100,1000
2015-06-10,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,1300,1450,1350
2015-05-15,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,1400,1600,1500
2015-04-30,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,1450,1650,1500
2015-04-27,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,1750,2000,1800
2015-04-25,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,1700,1900,1850
2015-04-15,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,2600,2700,2680
2015-04-08,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,2700,2850,2800
2015-04-07,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,3000,3400,3200
2015-04-06,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,2750,3000,2800
2015-03-30,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,3250,3650,3500
2015-03-25,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,3250,3450,3400
2015-03-23,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,3250,3600,3400
2015-03-19,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,3000,3300,3250
2015-03-18,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,3050,3300,3200
2015-03-16,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,2850,3200,3000
2015-03-11,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,2600,2900,2850
2015-03-10,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,2550,2800,2700
2015-02-26,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,2200,2500,2400
2015-02-24,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,2050,2300,2250
2015-02-20,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,2000,2200,2150
2015-02-19,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,1850,2100,2000
2015-02-18,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,1950,2150,2000
2015-02-17,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,1600,1900,1800
2015-02-13,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,1800,1900,1850
2015-02-12,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,1800,1900,1820
2015-02-11,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,1750,1900,1800
2015-02-10,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,1700,1850,1750
2015-02-06,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,1700,1850,1750
2015-01-21,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,1550,1700,1650
2015-01-20,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,1350,1600,1500
2015-01-17,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,1400,1500,1450
2015-01-08,Chilli Capsicum,88,Uttar Pradesh,9,Mainpuri,148,2000,2100,2050
