date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Cluster beans,80,Kerala,32,Thrissur,594,4500,4500,4500
2025-10-29,Cluster beans,80,Kerala,32,Thrissur,594,5250,5650,5650
2025-10-28,Cluster beans,80,Kerala,32,Thrissur,594,5000,5666.666666666667,5666.666666666667
2025-10-27,Cluster beans,80,Kerala,32,Thrissur,594,4866.666666666667,5666.666666666667,5666.666666666667
2025-10-26,Cluster beans,80,Kerala,32,Thrissur,594,4500,4500,4500
2025-10-25,Cluster beans,80,Kerala,32,Thrissur,594,5750,6250,6250
2025-10-24,Cluster beans,80,Kerala,32,Thrissur,594,4500,4500,4500
2025-10-23,Cluster beans,80,Kerala,32,Thrissur,594,5700,6250,6250
2025-10-22,Cluster beans,80,Kerala,32,Thrissur,594,4900,5500,5500
2025-10-21,Cluster beans,80,Kerala,32,Thrissur,594,4500,5000,5000
2025-10-18,Cluster beans,80,Kerala,32,Thrissur,594,5000,5500,5500
2025-10-17,Cluster beans,80,Kerala,32,Thrissur,594,5000,5500,5500
2025-10-16,Cluster beans,80,Kerala,32,Thrissur,594,5500,6000,6000
2025-10-15,Cluster beans,80,Kerala,32,Thrissur,594,5500,6000,6000
2025-10-14,Cluster beans,80,Kerala,32,Thrissur,594,5500,5950,5950
2025-10-13,Cluster beans,80,Kerala,32,Thrissur,594,5500,6000,6000
2025-10-11,Cluster beans,80,Kerala,32,Thrissur,594,4500,5000,5000
2025-10-10,Cluster beans,80,Kerala,32,Thrissur,594,5000,6000,6000
2025-10-09,Cluster beans,80,Kerala,32,Thrissur,594,5000,5850,5850
2025-10-08,Cluster beans,80,Kerala,32,Thrissur,594,5250,5800,5800
2025-10-07,Cluster beans,80,Kerala,32,Thrissur,594,3500,3900,3750
2025-10-06,Cluster beans,80,Kerala,32,Thrissur,594,4400,5000,5000
2025-10-04,Cluster beans,80,Kerala,32,Thrissur,594,6166.666666666667,6666.666666666667,6666.666666666667
2025-10-03,Cluster beans,80,Kerala,32,Thrissur,594,5500,6500,6500
2025-10-02,Cluster beans,80,Kerala,32,Thrissur,594,4000,4000,4000
2025-09-30,Cluster beans,80,Kerala,32,Thrissur,594,3600,4500,4300
2025-09-29,Cluster beans,80,Kerala,32,Thrissur,594,4000,4000,4000
2025-09-27,Cluster beans,80,Kerala,32,Thrissur,594,4000,4000,4000
2025-09-26,Cluster beans,80,Kerala,32,Thrissur,594,4500,5000,5000
2025-09-25,Cluster beans,80,Kerala,32,Thrissur,594,4500,5000,5000
2025-09-24,Cluster beans,80,Kerala,32,Thrissur,594,4400,4800,4800
2025-09-23,Cluster beans,80,Kerala,32,Thrissur,594,3800,4400,4400
2025-09-22,Cluster beans,80,Kerala,32,Thrissur,594,3800,4400,4400
2025-09-20,Cluster beans,80,Kerala,32,Thrissur,594,4400,5900,5900
2025-09-19,Cluster beans,80,Kerala,32,Thrissur,594,4150,4550,4550
2025-09-18,Cluster beans,80,Kerala,32,Thrissur,594,4100,4666.666666666667,4666.666666666667
2025-09-17,Cluster beans,80,Kerala,32,Thrissur,594,3500,4500,4500
2025-09-16,Cluster beans,80,Kerala,32,Thrissur,594,3000,3700,3700
2025-09-15,Cluster beans,80,Kerala,32,Thrissur,594,3000,4400,4400
2025-09-13,Cluster beans,80,Kerala,32,Thrissur,594,3000,4000,4000
2025-09-12,Cluster beans,80,Kerala,32,Thrissur,594,3000,4000,4000
2025-09-11,Cluster beans,80,Kerala,32,Thrissur,594,4000,5000,5000
2025-09-10,Cluster beans,80,Kerala,32,Thrissur,594,4000,5000,5000
2025-09-08,Cluster beans,80,Kerala,32,Thrissur,594,4800,6000,6000
2025-09-03,Cluster beans,80,Kerala,32,Thrissur,594,5150,5750,5750
2025-09-02,Cluster beans,80,Kerala,32,Thrissur,594,5300,5800,5800
2025-09-01,Cluster beans,80,Kerala,32,Thrissur,594,4750,5550,5550
2025-08-30,Cluster beans,80,Kerala,32,Thrissur,594,4000,4000,4000
2025-08-29,Cluster beans,80,Kerala,32,Thrissur,594,5000,5250,5250
2025-08-26,Cluster beans,80,Kerala,32,Thrissur,594,6400,7000,7000
2025-08-25,Cluster beans,80,Kerala,32,Thrissur,594,5866.666666666667,6433.333333333333,6433.333333333333
2025-08-23,Cluster beans,80,Kerala,32,Thrissur,594,5166.666666666667,5666.666666666667,5666.666666666667
2025-08-22,Cluster beans,80,Kerala,32,Thrissur,594,5000,5500,5500
2025-08-21,Cluster beans,80,Kerala,32,Thrissur,594,5500,6500,6500
2025-08-20,Cluster beans,80,Kerala,32,Thrissur,594,5750,6750,6750
2025-08-19,Cluster beans,80,Kerala,32,Thrissur,594,6000,6800,6800
2025-08-18,Cluster beans,80,Kerala,32,Thrissur,594,5750,6500,6400
2025-08-16,Cluster beans,80,Kerala,32,Thrissur,594,4000,5000,5000
2025-08-14,Cluster beans,80,Kerala,32,Thrissur,594,4466.666666666667,5133.333333333333,5133.333333333333
2025-08-13,Cluster beans,80,Kerala,32,Thrissur,594,4500,5000,5000
2025-08-12,Cluster beans,80,Kerala,32,Thrissur,594,4900,5500,5500
2025-08-11,Cluster beans,80,Kerala,32,Thrissur,594,5150,5750,5750
2025-08-09,Cluster beans,80,Kerala,32,Thrissur,594,4750,5500,5500
2025-08-08,Cluster beans,80,Kerala,32,Thrissur,594,4650,5500,5500
2025-08-07,Cluster beans,80,Kerala,32,Thrissur,594,6250,6750,6750
2025-08-06,Cluster beans,80,Kerala,32,Thrissur,594,5500,5750,5750
2025-08-05,Cluster beans,80,Kerala,32,Thrissur,594,6833.333333333333,7666.666666666667,7666.666666666667
2025-08-04,Cluster beans,80,Kerala,32,Thrissur,594,7000,7500,7500
2025-08-02,Cluster beans,80,Kerala,32,Thrissur,594,7000,7500,7500
2025-08-01,Cluster beans,80,Kerala,32,Thrissur,594,7000,7500,7500
2025-07-31,Cluster beans,80,Kerala,32,Thrissur,594,6000,6000,6000
2025-07-30,Cluster beans,80,Kerala,32,Thrissur,594,5000,5000,5000
2025-07-29,Cluster beans,80,Kerala,32,Thrissur,594,5000,5500,5500
2025-07-28,Cluster beans,80,Kerala,32,Thrissur,594,4500,4850,4850
2025-07-26,Cluster beans,80,Kerala,32,Thrissur,594,5250,5500,5500
2025-07-25,Cluster beans,80,Kerala,32,Thrissur,594,5900,6300,6300
2025-07-24,Cluster beans,80,Kerala,32,Thrissur,594,4500,4500,4500
2025-07-23,Cluster beans,80,Kerala,32,Thrissur,594,4366.666666666667,4866.666666666667,4866.666666666667
2025-07-22,Cluster beans,80,Kerala,32,Thrissur,594,4250,4500,4500
2025-07-21,Cluster beans,80,Kerala,32,Thrissur,594,4900,5500,5500
2025-07-19,Cluster beans,80,Kerala,32,Thrissur,594,6000,6500,6500
2025-07-18,Cluster beans,80,Kerala,32,Thrissur,594,5500,6000,6000
2025-07-17,Cluster beans,80,Kerala,32,Thrissur,594,6250,6750,6750
2025-07-16,Cluster beans,80,Kerala,32,Thrissur,594,6750,7250,7250
2025-07-15,Cluster beans,80,Kerala,32,Thrissur,594,6500,7500,7500
2025-07-14,Cluster beans,80,Kerala,32,Thrissur,594,6250,7250,7250
2025-07-12,Cluster beans,80,Kerala,32,Thrissur,594,6250,7250,7250
2025-07-11,Cluster beans,80,Kerala,32,Thrissur,594,6750,7750,7750
2025-07-10,Cluster beans,80,Kerala,32,Thrissur,594,7500,7500,7500
2025-07-09,Cluster beans,80,Kerala,32,Thrissur,594,3500,3500,3500
2025-07-08,Cluster beans,80,Kerala,32,Thrissur,594,7250,7750,7750
2025-07-07,Cluster beans,80,Kerala,32,Thrissur,594,7250,7750,7750
2025-07-05,Cluster beans,80,Kerala,32,Thrissur,594,6500,7000,7000
2025-07-04,Cluster beans,80,Kerala,32,Thrissur,594,7000,7000,7000
2025-07-03,Cluster beans,80,Kerala,32,Thrissur,594,6250,6900,6650
2025-07-02,Cluster beans,80,Kerala,32,Thrissur,594,5500,6000,6000
2025-07-01,Cluster beans,80,Kerala,32,Thrissur,594,3000,3000,3000
2025-06-30,Cluster beans,80,Kerala,32,Thrissur,594,5000,5000,5000
2025-06-28,Cluster beans,80,Kerala,32,Thrissur,594,5500,7000,7000
2025-06-27,Cluster beans,80,Kerala,32,Thrissur,594,5000,6500,6500
2025-06-26,Cluster beans,80,Kerala,32,Thrissur,594,4500,4500,4500
2025-06-25,Cluster beans,80,Kerala,32,Thrissur,594,5750,6250,6250
2025-06-24,Cluster beans,80,Kerala,32,Thrissur,594,8500,9000,8500
2025-06-23,Cluster beans,80,Kerala,32,Thrissur,594,6000,6500,6500
2025-06-21,Cluster beans,80,Kerala,32,Thrissur,594,6000,7000,7000
2025-06-20,Cluster beans,80,Kerala,32,Thrissur,594,6000,8000,8000
2025-06-19,Cluster beans,80,Kerala,32,Thrissur,594,5750,7000,7000
2025-06-18,Cluster beans,80,Kerala,32,Thrissur,594,4400,5000,5000
2025-06-17,Cluster beans,80,Kerala,32,Thrissur,594,6000,7000,7000
2025-06-16,Cluster beans,80,Kerala,32,Thrissur,594,5000,5500,5500
2025-06-14,Cluster beans,80,Kerala,32,Thrissur,594,6000,7000,7000
2025-06-13,Cluster beans,80,Kerala,32,Thrissur,594,5750,6750,6750
2025-06-12,Cluster beans,80,Kerala,32,Thrissur,594,6500,7700,7700
2025-06-11,Cluster beans,80,Kerala,32,Thrissur,594,7500,8500,8500
2025-06-10,Cluster beans,80,Kerala,32,Thrissur,594,8000,9000,9000
2025-06-09,Cluster beans,80,Kerala,32,Thrissur,594,7000,7500,7500
2025-06-05,Cluster beans,80,Kerala,32,Thrissur,594,10500,12000,12000
2025-06-04,Cluster beans,80,Kerala,32,Thrissur,594,11000,11000,11000
2025-06-03,Cluster beans,80,Kerala,32,Thrissur,594,9000,10000,10000
2025-06-02,Cluster beans,80,Kerala,32,Thrissur,594,9000,10000,10000
2025-05-31,Cluster beans,80,Kerala,32,Thrissur,594,9000,9500,9500
2025-05-30,Cluster beans,80,Kerala,32,Thrissur,594,9000,9500,9500
2025-05-29,Cluster beans,80,Kerala,32,Thrissur,594,8500,9500,9500
2025-05-28,Cluster beans,80,Kerala,32,Thrissur,594,7500,8000,8000
2025-05-27,Cluster beans,80,Kerala,32,Thrissur,594,8250,9000,9000
2025-05-26,Cluster beans,80,Kerala,32,Thrissur,594,9000,10000,10000
2025-05-24,Cluster beans,80,Kerala,32,Thrissur,594,6250,7000,6750
2025-05-23,Cluster beans,80,Kerala,32,Thrissur,594,8000,9000,9000
2025-05-22,Cluster beans,80,Kerala,32,Thrissur,594,7250,7750,7750
2025-05-21,Cluster beans,80,Kerala,32,Thrissur,594,6000,6500,6500
2025-05-20,Cluster beans,80,Kerala,32,Thrissur,594,7500,8750,8750
2025-05-19,Cluster beans,80,Kerala,32,Thrissur,594,7000,7000,7000
2025-05-17,Cluster beans,80,Kerala,32,Thrissur,594,8500,9000,9000
2025-05-16,Cluster beans,80,Kerala,32,Thrissur,594,7500,8000,7500
2025-05-15,Cluster beans,80,Kerala,32,Thrissur,594,7000,8000,8000
2025-05-14,Cluster beans,80,Kerala,32,Thrissur,594,8000,8000,8000
2025-05-13,Cluster beans,80,Kerala,32,Thrissur,594,8000,9000,9000
2025-05-12,Cluster beans,80,Kerala,32,Thrissur,594,8000,9000,9000
2025-05-11,Cluster beans,80,Kerala,32,Thrissur,594,9000,10000,10000
2025-05-10,Cluster beans,80,Kerala,32,Thrissur,594,8000,9000,9000
2025-05-09,Cluster beans,80,Kerala,32,Thrissur,594,5500,6000,6000
2025-05-08,Cluster beans,80,Kerala,32,Thrissur,594,5500,6000,6000
2025-05-07,Cluster beans,80,Kerala,32,Thrissur,594,7000,8000,8000
2025-05-06,Cluster beans,80,Kerala,32,Thrissur,594,6400,7000,7000
2025-05-05,Cluster beans,80,Kerala,32,Thrissur,594,6000,7000,6500
2025-05-03,Cluster beans,80,Kerala,32,Thrissur,594,5000,5500,5500
2025-05-02,Cluster beans,80,Kerala,32,Thrissur,594,4750,5750,5750
2025-04-30,Cluster beans,80,Kerala,32,Thrissur,594,6000,6500,6500
2025-04-29,Cluster beans,80,Kerala,32,Thrissur,594,6000,6500,6500
2025-04-28,Cluster beans,80,Kerala,32,Thrissur,594,6000,6500,6500
2025-04-27,Cluster beans,80,Kerala,32,Thrissur,594,4800,5000,5000
2025-04-26,Cluster beans,80,Kerala,32,Thrissur,594,5150,5750,5750
2025-04-25,Cluster beans,80,Kerala,32,Thrissur,594,4750,5250,5250
2025-04-24,Cluster beans,80,Kerala,32,Thrissur,594,6000,7000,7000
2025-04-23,Cluster beans,80,Kerala,32,Thrissur,594,5500,6250,6250
2025-04-22,Cluster beans,80,Kerala,32,Thrissur,594,5400,6500,6450
2025-04-21,Cluster beans,80,Kerala,32,Thrissur,594,5400,6500,6500
2025-04-20,Cluster beans,80,Kerala,32,Thrissur,594,4800,5000,5000
2025-04-19,Cluster beans,80,Kerala,32,Thrissur,594,6000,7000,6750
2025-04-18,Cluster beans,80,Kerala,32,Thrissur,594,6500,8000,8000
2025-04-17,Cluster beans,80,Kerala,32,Thrissur,594,7000,7750,7750
2025-04-16,Cluster beans,80,Kerala,32,Thrissur,594,6000,7000,6600
2025-04-13,Cluster beans,80,Kerala,32,Thrissur,594,8000,9000,9000
2025-04-12,Cluster beans,80,Kerala,32,Thrissur,594,7500,8500,8500
2025-04-10,Cluster beans,80,Kerala,32,Thrissur,594,7000,8000,8000
2025-04-09,Cluster beans,80,Kerala,32,Thrissur,594,8000,9000,9000
2025-04-08,Cluster beans,80,Kerala,32,Thrissur,594,6750,7250,7250
2025-04-07,Cluster beans,80,Kerala,32,Thrissur,594,6500,7000,6500
2025-04-05,Cluster beans,80,Kerala,32,Thrissur,594,8500,10000,10000
2025-04-04,Cluster beans,80,Kerala,32,Thrissur,594,9000,10000,9500
2025-04-03,Cluster beans,80,Kerala,32,Thrissur,594,7000,8000,8000
2025-04-02,Cluster beans,80,Kerala,32,Thrissur,594,7750,8500,8500
2025-04-01,Cluster beans,80,Kerala,32,Thrissur,594,12000,14000,13000
2025-03-29,Cluster beans,80,Kerala,32,Thrissur,594,4800,5000,4900
2025-03-28,Cluster beans,80,Kerala,32,Thrissur,594,4800,5000,4900
2025-03-27,Cluster beans,80,Kerala,32,Thrissur,594,4800,5000,4900
2025-03-26,Cluster beans,80,Kerala,32,Thrissur,594,6500,7500,7500
2025-03-25,Cluster beans,80,Kerala,32,Thrissur,594,6000,7000,7000
2025-03-24,Cluster beans,80,Kerala,32,Thrissur,594,4500,5000,5000
2025-03-22,Cluster beans,80,Kerala,32,Thrissur,594,6450,7000,7000
2025-03-20,Cluster beans,80,Kerala,32,Thrissur,594,5650,6500,6500
2025-03-19,Cluster beans,80,Kerala,32,Thrissur,594,4800,5000,5000
2025-03-18,Cluster beans,80,Kerala,32,Thrissur,594,5600,6000,6000
2025-03-17,Cluster beans,80,Kerala,32,Thrissur,594,6000,6500,6500
2025-03-16,Cluster beans,80,Kerala,32,Thrissur,594,6000,6500,6500
2025-03-15,Cluster beans,80,Kerala,32,Thrissur,594,6750,7650,7650
2025-03-14,Cluster beans,80,Kerala,32,Thrissur,594,3800,4000,4000
2025-03-13,Cluster beans,80,Kerala,32,Thrissur,594,6050,7400,7400
2025-03-12,Cluster beans,80,Kerala,32,Thrissur,594,3800,4000,4000
2025-03-11,Cluster beans,80,Kerala,32,Thrissur,594,4300,5000,5000
2025-03-10,Cluster beans,80,Kerala,32,Thrissur,594,6500,6800,6800
2025-03-06,Cluster beans,80,Kerala,32,Thrissur,594,4900,5500,5500
2025-03-05,Cluster beans,80,Kerala,32,Thrissur,594,4400,5000,5000
2025-03-04,Cluster beans,80,Kerala,32,Thrissur,594,4650,5250,5250
2025-03-02,Cluster beans,80,Kerala,32,Thrissur,594,4800,5000,5000
2025-03-01,Cluster beans,80,Kerala,32,Thrissur,594,4400,5000,5000
2025-02-28,Cluster beans,80,Kerala,32,Thrissur,594,4300,5000,5000
2025-02-27,Cluster beans,80,Kerala,32,Thrissur,594,4300,5000,5000
2025-02-26,Cluster beans,80,Kerala,32,Thrissur,594,4800,5000,5000
2025-02-25,Cluster beans,80,Kerala,32,Thrissur,594,5000,6000,6000
2025-02-24,Cluster beans,80,Kerala,32,Thrissur,594,4700,5300,5300
2025-02-23,Cluster beans,80,Kerala,32,Thrissur,594,4800,5000,5000
2025-02-22,Cluster beans,80,Kerala,32,Thrissur,594,5150,5750,5750
2025-02-21,Cluster beans,80,Kerala,32,Thrissur,594,3900,4500,4500
2025-02-20,Cluster beans,80,Kerala,32,Thrissur,594,1800,2000,1900
2025-02-19,Cluster beans,80,Kerala,32,Thrissur,594,5500,6000,5500
2025-02-18,Cluster beans,80,Kerala,32,Thrissur,594,3400,4000,3950
2025-02-17,Cluster beans,80,Kerala,32,Thrissur,594,3400,4000,3950
2025-02-15,Cluster beans,80,Kerala,32,Thrissur,594,4750,5650,5600
2025-02-14,Cluster beans,80,Kerala,32,Thrissur,594,4250,5250,5250
2025-02-13,Cluster beans,80,Kerala,32,Thrissur,594,3950,5000,4750
2025-02-12,Cluster beans,80,Kerala,32,Thrissur,594,4450,5400,5350
2025-02-11,Cluster beans,80,Kerala,32,Thrissur,594,4800,5800,5550
2025-02-10,Cluster beans,80,Kerala,32,Thrissur,594,4500,4800,4700
2025-02-08,Cluster beans,80,Kerala,32,Thrissur,594,4250,5000,5000
2025-02-07,Cluster beans,80,Kerala,32,Thrissur,594,5500,6500,6500
2025-02-06,Cluster beans,80,Kerala,32,Thrissur,594,4750,5650,5600
2025-02-05,Cluster beans,80,Kerala,32,Thrissur,594,4250,5250,5250
2025-02-04,Cluster beans,80,Kerala,32,Thrissur,594,3250,3900,3800
2025-02-03,Cluster beans,80,Kerala,32,Thrissur,594,4000,4700,4633.333333333333
2025-02-01,Cluster beans,80,Kerala,32,Thrissur,594,4500,4800,4700
2025-01-31,Cluster beans,80,Kerala,32,Thrissur,594,4500,4800,4700
2025-01-30,Cluster beans,80,Kerala,32,Thrissur,594,5250,6200,6150
2025-01-29,Cluster beans,80,Kerala,32,Thrissur,594,4150,4650,4600
2025-01-28,Cluster beans,80,Kerala,32,Thrissur,594,4250,5400,5400
2025-01-27,Cluster beans,80,Kerala,32,Thrissur,594,4250,5400,5350
