date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-03-17,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,5500
2025-02-26,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-02-24,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-02-23,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-02-19,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-02-14,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-02-11,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-02-10,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-02-09,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-02-05,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-02-03,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-02-02,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-02-01,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-01-31,Coconut,138,Himachal Pradesh,2,Solan,31,5000,7000,6000
2025-01-29,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-01-28,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,5500
2025-01-27,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-01-26,Coconut,138,Himachal Pradesh,2,Solan,31,6000,6500,6000
2025-01-25,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-01-24,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-01-23,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-01-22,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-01-20,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-01-19,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-01-18,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-01-17,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,5500
2025-01-16,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-01-15,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-01-13,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,5500
2025-01-12,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,5500
2025-01-11,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-01-10,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-01-09,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-01-08,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,5500
2025-01-06,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,5500
2025-01-05,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,5500
2025-01-04,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,6000
2025-01-03,Coconut,138,Himachal Pradesh,2,Solan,31,5000,6000,5500
