date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2023-12-06,Coconut Seed,112,Kerala,32,Wayanad,590,2000,2200,2100
2023-11-23,Coconut Seed,112,Kerala,32,Wayanad,590,2000,2100,2100
2023-11-22,Coconut Seed,112,Kerala,32,Wayanad,590,2000,2100,2100
2023-11-06,Coconut Seed,112,Kerala,32,Wayanad,590,2000,2100,2100
2023-11-04,Coconut Seed,112,Kerala,32,Wayanad,590,2000,2100,2100
2023-10-31,Coconut Seed,112,Kerala,32,Wayanad,590,2000,2100,2100
2023-10-28,Coconut Seed,112,Kerala,32,Wayanad,590,2000,2100,2100
2023-10-24,Coconut Seed,112,Kerala,32,Wayanad,590,2000,2100,2000
2023-10-21,Coconut Seed,112,Kerala,32,Wayanad,590,2000,2100,2100
2023-10-20,Coconut Seed,112,Kerala,32,Wayanad,590,2000,2200,2200
2023-10-19,Coconut Seed,112,Kerala,32,Wayanad,590,2000,2200,2200
2023-10-17,Coconut Seed,112,Kerala,32,Wayanad,590,1800,2000,2000
2023-10-13,Coconut Seed,112,Kerala,32,Wayanad,590,1800,1900,1900
2023-10-11,Coconut Seed,112,Kerala,32,Wayanad,590,2000,2200,2100
2023-10-10,Coconut Seed,112,Kerala,32,Wayanad,590,2000,2200,2100
2023-10-09,Coconut Seed,112,Kerala,32,Wayanad,590,2100,2200,2200
2023-10-08,Coconut Seed,112,Kerala,32,Wayanad,590,2000,2100,2100
2023-10-07,Coconut Seed,112,Kerala,32,Wayanad,590,2000,2100,2100
2023-10-06,Coconut Seed,112,Kerala,32,Wayanad,590,2000,2100,2100
2023-10-04,Coconut Seed,112,Kerala,32,Wayanad,590,2200,2400,2400
2023-10-03,Coconut Seed,112,Kerala,32,Wayanad,590,2200,2300,2300
2023-09-30,Coconut Seed,112,Kerala,32,Wayanad,590,2000,2300,2200
2023-09-29,Coconut Seed,112,Kerala,32,Wayanad,590,2200,2300,2300
2023-09-28,Coconut Seed,112,Kerala,32,Wayanad,590,2200,2400,2300
2023-09-27,Coconut Seed,112,Kerala,32,Wayanad,590,2100,2200,2200
2023-09-26,Coconut Seed,112,Kerala,32,Wayanad,590,2100,2300,2300
2023-09-22,Coconut Seed,112,Kerala,32,Wayanad,590,2000,2300,2300
2023-09-21,Coconut Seed,112,Kerala,32,Wayanad,590,2200,2300,2300
2023-09-18,Coconut Seed,112,Kerala,32,Wayanad,590,2100,2300,2200
2023-09-17,Coconut Seed,112,Kerala,32,Wayanad,590,2100,2300,2300
2023-09-16,Coconut Seed,112,Kerala,32,Wayanad,590,2200,2400,2300
2023-09-15,Coconut Seed,112,Kerala,32,Wayanad,590,2000,2400,2300
2023-09-14,Coconut Seed,112,Kerala,32,Wayanad,590,2200,2600,2400
2023-09-12,Coconut Seed,112,Kerala,32,Wayanad,590,2300,2500,2400
2023-09-07,Coconut Seed,112,Kerala,32,Wayanad,590,2400,2600,2500
2023-09-05,Coconut Seed,112,Kerala,32,Wayanad,590,2000,2600,2400
2023-09-04,Coconut Seed,112,Kerala,32,Wayanad,590,2400,2600,2500
2023-09-02,Coconut Seed,112,Kerala,32,Wayanad,590,2500,2700,2600
2023-09-01,Coconut Seed,112,Kerala,32,Wayanad,590,2500,2700,2600
2023-08-31,Coconut Seed,112,Kerala,32,Wayanad,590,2400,2600,2500
2023-08-26,Coconut Seed,112,Kerala,32,Wayanad,590,2400,2800,2600
2023-08-04,Coconut Seed,112,Kerala,32,Wayanad,590,17000,17100,17050
2023-07-31,Coconut Seed,112,Kerala,32,Wayanad,590,1800,1900,1850
2023-03-08,Coconut Seed,112,Kerala,32,Wayanad,590,1900,2000,1950
2023-02-27,Coconut Seed,112,Kerala,32,Wayanad,590,4400,4500,4450
2023-02-25,Coconut Seed,112,Kerala,32,Wayanad,590,3600,3700,3650
2023-02-23,Coconut Seed,112,Kerala,32,Wayanad,590,6700,6800,6750
2023-02-20,Coconut Seed,112,Kerala,32,Wayanad,590,5900,6000,5950
2023-02-17,Coconut Seed,112,Kerala,32,Wayanad,590,6400,6500,6450
2023-02-15,Coconut Seed,112,Kerala,32,Wayanad,590,5800,5900,5850
2023-02-10,Coconut Seed,112,Kerala,32,Wayanad,590,5800,5900,5850
2023-02-08,Coconut Seed,112,Kerala,32,Wayanad,590,6400,6500,6450
2023-02-07,Coconut Seed,112,Kerala,32,Wayanad,590,6800,6900,6800
2023-02-06,Coconut Seed,112,Kerala,32,Wayanad,590,6800,6900,6850
2023-02-03,Coconut Seed,112,Kerala,32,Wayanad,590,5800,5900,5850
2023-02-02,Coconut Seed,112,Kerala,32,Wayanad,590,6800,6900,6850
2023-01-27,Coconut Seed,112,Kerala,32,Wayanad,590,5500,6500,5550
2023-01-25,Coconut Seed,112,Kerala,32,Wayanad,590,6000,6100,6050
2023-01-21,Coconut Seed,112,Kerala,32,Wayanad,590,5800,5900,5850
2023-01-20,Coconut Seed,112,Kerala,32,Wayanad,590,6400,6500,6450
2023-01-16,Coconut Seed,112,Kerala,32,Wayanad,590,6800,6900,6850
2023-01-12,Coconut Seed,112,Kerala,32,Wayanad,590,5900,6000,5950
2023-01-11,Coconut Seed,112,Kerala,32,Wayanad,590,6500,6600,6550
2023-01-10,Coconut Seed,112,Kerala,32,Wayanad,590,3600,3700,3650
2023-01-09,Coconut Seed,112,Kerala,32,Wayanad,590,6200,6400,6300
2023-01-07,Coconut Seed,112,Kerala,32,Wayanad,590,6300,6400,6350
