date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Colacasia,318,Haryana,6,Kurukshetra,72,3000,3000,3000
2025-10-29,Colacasia,318,Haryana,6,Kurukshetra,72,1000,3000,1500
2025-10-28,Colacasia,318,Haryana,6,Kurukshetra,72,2250,2250,2250
2025-10-25,Colacasia,318,Haryana,6,Kurukshetra,72,2000,3000,2200
2025-10-24,Colacasia,318,Haryana,6,Kurukshetra,72,2000,2250,2100
2025-10-22,Colacasia,318,Haryana,6,Kurukshetra,72,3000,3000,3000
2025-10-21,Colacasia,318,Haryana,6,Kurukshetra,72,1800,3200,2500
2025-10-19,Colacasia,318,Haryana,6,Kurukshetra,72,1600,2000,1800
2025-10-18,Colacasia,318,Haryana,6,Kurukshetra,72,1900,3000,2250
2025-10-17,Colacasia,318,Haryana,6,Kurukshetra,72,2000,3000,2500
2025-10-16,Colacasia,318,Haryana,6,Kurukshetra,72,1800,2500,2000
2025-10-15,Colacasia,318,Haryana,6,Kurukshetra,72,1750,2500,2000
2025-10-14,Colacasia,318,Haryana,6,Kurukshetra,72,1650,2500,2300
2025-10-13,Colacasia,318,Haryana,6,Kurukshetra,72,1750,2250,2000
2025-10-11,Colacasia,318,Haryana,6,Kurukshetra,72,1833.3333333333333,2666.6666666666665,2066.6666666666665
2025-10-10,Colacasia,318,Haryana,6,Kurukshetra,72,1666.6666666666667,2000,1833.3333333333333
2025-10-09,Colacasia,318,Haryana,6,Kurukshetra,72,1500,2500,2000
2025-10-08,Colacasia,318,Haryana,6,Kurukshetra,72,1500,2300,2100
2025-10-07,Colacasia,318,Haryana,6,Kurukshetra,72,1200,2000,1600
2025-10-06,Colacasia,318,Haryana,6,Kurukshetra,72,1750,2300,2000
2025-10-05,Colacasia,318,Haryana,6,Kurukshetra,72,1500,2000,1800
2025-10-04,Colacasia,318,Haryana,6,Kurukshetra,72,1333.3333333333333,1666.6666666666667,1500
2025-10-03,Colacasia,318,Haryana,6,Kurukshetra,72,1333.3333333333333,1800,1566.6666666666667
2025-10-02,Colacasia,318,Haryana,6,Kurukshetra,72,1833.3333333333333,1966.6666666666667,1900
2025-10-01,Colacasia,318,Haryana,6,Kurukshetra,72,1466.6666666666667,1800,1633.3333333333333
2025-09-30,Colacasia,318,Haryana,6,Kurukshetra,72,1233.3333333333333,2166.6666666666665,1766.6666666666667
2025-09-29,Colacasia,318,Haryana,6,Kurukshetra,72,1100,2400,1850
