date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-14,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,500,800,650
2025-10-12,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,500,800,650
2025-09-24,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,500,800,650
2025-09-22,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,500,800,650
2025-09-13,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,500,800,500
2025-08-25,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,700,1100,900
2025-08-17,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,500,1000,750
2025-08-14,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,700,1100,900
2025-08-13,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,500,1000,750
2025-08-12,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,750,1200,975
2025-08-11,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,1250,1075
2025-08-10,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,750,1200,975
2025-08-09,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,1000,1300,1100
2025-08-08,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,500,1000,750
2025-08-07,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,1000,1600,1275
2025-08-06,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,700,1150,925
2025-08-05,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,450,1000,750
2025-08-04,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,900,1500,1300
2025-08-03,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,1000,1600,1200
2025-08-02,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,900,1600,1100
2025-08-01,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,725,1250,975
2025-07-31,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,1000,1700,1500
2025-07-30,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,1000,1500,1300
2025-07-29,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,1000,1500,1300
2025-07-28,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,900,1600,1100
2025-07-27,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,1000,1500,1200
2025-07-26,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,1200,1600,1500
2025-07-25,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,1150,950
2025-07-24,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,766.6666666666666,1066.6666666666667,900
2025-07-23,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,850,1250,1050
2025-07-22,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,1300,1800,1500
2025-07-21,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,1200,1600,1400
2025-07-20,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,800,800
2025-07-02,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,450,800,500
2025-07-01,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,1800,2800,2100
2025-06-30,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,1800,3000,2600
2025-06-29,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,1600,2700,2000
2025-06-26,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,1500,3100,2500
2025-06-25,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,1600,3200,2600
2025-06-24,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,1750,2800,2400
2025-06-23,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,2000,3100,2600
2025-06-22,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,1600,3000,2600
2025-06-21,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,1700,3100,2700
2025-06-20,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,1800,3200,2800
2025-06-19,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,2000,3600,2900
2025-06-18,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,2200,3500,2800
2025-06-17,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,2100,3000,2500
2025-06-16,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,2000,2700,2000
2025-06-15,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,1225,2050,1550
2025-06-14,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,1800,2500,2000
2025-06-13,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,2000,3000,2500
2025-06-12,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,2400,3500,2800
2025-06-11,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,2400,3500,3000
2025-06-09,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,2200,3600,3100
2025-06-08,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,2300,3500,3000
2025-06-07,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,2400,3800,3000
2025-06-06,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,2600,3500,3000
2025-06-05,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,2500,4000,3800
2025-06-04,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,2000,3700,3200
2025-06-03,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,1800,3500,3000
2025-06-02,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,2000,3800,3200
2025-05-21,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,1500,1500,1500
2023-12-16,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1800
2023-12-15,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-12-14,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-12-13,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-12-12,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-12-11,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-12-10,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-12-09,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-12-08,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-12-07,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-12-06,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-12-05,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-12-03,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-12-02,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-12-01,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-11-30,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1800
2023-11-29,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-11-28,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-11-27,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-11-26,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-11-25,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-11-24,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-11-23,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-11-22,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-11-21,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-11-20,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-11-19,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-11-18,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-11-10,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-11-09,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-11-07,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-11-06,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-11-04,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-11-02,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-11-01,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-10-31,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-10-28,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-10-27,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-10-26,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-10-24,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-10-20,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-10-19,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-10-18,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-10-13,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-10-12,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-10-11,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-10-10,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-10-08,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-10-07,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
2023-10-05,Colacasia,318,Madhya Pradesh,23,Khandwa (East Nimar),466,800,2500,1500
