date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2021-11-30,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1270,1360,1300
2021-11-29,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1250,1350,1300
2021-11-27,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1200,1320,1270
2021-11-26,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1100,1200,1150
2021-11-25,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,980,1080,1030
2021-11-23,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1000,1100,1050
2021-11-22,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1050,1160,1100
2021-11-20,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1070,1150,1100
2021-11-17,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1080,1200,1140
2021-11-16,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1100,1200,1130
2021-11-15,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1070,1200,1120
2021-11-12,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1070,1180,1100
2021-11-11,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1050,1230,1100
2021-11-10,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,850,1000,920
2021-11-09,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,840,940,900
2021-11-08,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,850,950,900
2021-11-05,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,820,960,870
2021-11-03,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,840,950,890
2021-11-02,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,830,940,880
2021-11-01,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,820,920,870
2021-10-30,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,840,1000,900
2021-10-29,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,860,1000,920
2021-10-28,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,850,1000,940
2021-10-27,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,900,1000,950
2021-10-26,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,900,1000,950
2021-10-25,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,950,1100,1000
2021-10-23,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,870,970,900
2021-10-22,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,880,1000,920
2021-10-21,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,900,1000,940
2021-10-18,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,900,1000,960
2021-10-16,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1000,1100,1050
2021-10-13,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,950,1030,1000
2021-10-12,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,940,1040,1000
2021-10-11,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,950,1050,1000
2021-10-08,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1000,1110,1060
2021-10-07,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1050,1180,1100
2021-10-06,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1000,1100,1050
2021-10-05,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1100,1200,1150
2021-10-04,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,900,1000,940
2021-09-30,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,900,1020,960
2021-09-29,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,900,990,940
2021-09-28,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,890,980,950
2021-09-27,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,880,1000,920
2021-09-25,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,900,1050,950
2021-09-24,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,840,920,880
2021-09-23,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,850,900,870
2021-09-22,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,860,920,880
2021-09-21,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,870,930,890
2021-09-20,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,850,960,900
2021-09-18,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,820,980,890
2021-09-17,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,800,1000,900
2021-09-16,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,850,950,880
2021-09-15,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,830,930,860
2021-09-14,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,800,920,870
2021-09-13,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,800,900,850
2021-09-11,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,820,890,840
2021-09-10,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,800,900,860
2021-09-09,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,810,900,840
2021-09-08,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,800,900,860
2021-09-07,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,800,900,840
2021-09-06,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,820,890,860
2021-09-04,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,800,900,850
2021-09-03,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,840,930,880
2021-09-02,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,860,950,900
2021-08-31,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,870,970,920
2021-08-28,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,900,1000,950
2021-08-27,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,800,1000,900
2021-08-26,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,820,1040,930
2021-08-25,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,850,1050,950
2021-08-24,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,820,1060,950
2021-08-23,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,850,1050,950
2021-08-21,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,830,1000,900
2021-08-19,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,800,1000,900
2021-08-18,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,860,950,900
2021-08-17,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,900,1100,1000
2021-08-16,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,940,1050,1000
2021-08-14,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,940,1050,980
2021-08-13,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,900,1050,950
2021-08-12,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,850,950,900
2021-08-11,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,900,1000,950
2021-08-10,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1140,1250,1200
2021-08-09,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1180,1270,1220
2021-08-07,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1100,1300,1200
2021-08-06,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1150,1300,1200
2021-08-05,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1160,1250,1200
2021-08-04,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1200,1300,1250
2021-08-03,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1180,1300,1230
2021-08-02,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1200,1300,1250
2021-07-31,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1150,1250,1200
2021-07-30,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1200,1300,1240
2021-07-29,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1200,1300,1250
2021-07-28,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1100,1300,1200
2021-07-27,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1100,1300,1200
2021-07-22,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1100,1200,1150
2021-07-20,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1000,1200,1100
2021-07-19,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1000,1300,1200
2021-07-17,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,900,1100,1050
2021-07-16,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,700,900,800
2021-07-15,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,800,1000,900
2021-07-14,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,800,1100,1000
2021-07-13,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,600,900,800
2021-07-12,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1300,1550,1500
2021-07-10,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1300,1600,1400
2021-07-09,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1350,1600,1500
2021-07-08,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1300,1600,1500
2021-07-06,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1500,1750,1600
2021-07-05,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1400,1700,1500
2021-07-02,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1300,1550,1375
2021-06-30,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1350,1600,1500
2021-06-29,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1300,1650,1500
2021-06-23,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1400,1700,1600
2021-06-22,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1150,1400,1300
2021-06-18,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1400,1600,1550
2021-06-17,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1300,1500,1400
2021-06-16,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1250,1500,1400
2021-06-15,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1400,1650,1500
2021-06-14,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1300,1600,1450
2021-06-12,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1400,1600,1500
2021-06-11,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1400,1700,1600
2021-06-10,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1600,1750,1650
2021-06-09,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1300,1650,1450
2021-06-08,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1300,1600,1400
2021-06-07,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1500,1700,1650
2021-06-05,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1500,1650,1600
2021-06-04,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1500,1700,1600
2021-06-03,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1700,1850,1800
2021-06-02,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1700,1800,1750
2021-05-28,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1800,2100,2000
2021-05-27,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1600,1800,1700
2021-05-25,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1600,1850,1700
2021-05-24,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1650,1800,1750
2021-05-22,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1650,1900,1800
2021-05-21,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1650,1900,1800
2021-05-20,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1800,2000,1850
2021-05-19,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1800,2000,1900
2021-05-18,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1800,2100,2000
2021-05-17,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2000,2300,2200
2021-05-14,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1900,2100,2000
2021-05-13,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2000,2450,2300
2021-05-12,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2000,2300,2100
2021-05-10,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2000,2500,2250
2021-05-08,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2200,2500,2400
2021-05-07,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1800,2250,2000
2021-05-06,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2000,2200,2100
2021-05-03,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2100,2400,2300
2021-04-30,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2100,2500,2300
2021-04-28,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2300,2500,2400
2021-04-27,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2000,2300,2200
2021-04-26,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2000,2500,2300
2021-04-23,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2300,2500,2400
2021-04-22,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2300,2600,2500
2021-04-19,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,3300,3600,3500
2021-04-10,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2800,3300,3000
2021-04-09,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,3300,3500,3400
2021-04-08,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,3400,3750,3500
2021-04-07,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2500,3000,2800
2021-04-03,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2800,3050,3000
2021-04-02,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2800,3100,2900
2021-03-31,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,3000,3500,3300
2021-03-30,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,3400,3650,3500
2021-03-27,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2800,3100,3000
2021-03-26,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2600,3100,2800
2021-03-25,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2200,2500,2300
2021-03-24,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2000,2300,2100
2021-03-23,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2200,2400,2300
2021-03-20,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2400,2650,2550
2021-03-18,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2100,2500,2300
2020-08-24,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1700,2350,2210
2020-08-21,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1400,1550,1500
2020-08-19,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1200,1400,1235
2020-08-18,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1400,1750,1500
2020-08-17,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1400,1850,1600
2020-08-14,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,750,1050,812
2020-08-13,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,900,1200,950
2020-08-07,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,800,900,850
2020-08-05,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,700,1000,800
2020-08-04,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1500,1700,1600
2020-08-01,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1000,1300,1200
2020-07-31,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1000,1300,1150
2020-07-30,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,800,1000,900
2020-07-29,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,850,1000,900
2020-07-28,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,900,1050,1000
2020-07-27,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1200,1450,1300
2020-07-25,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1000,1300,1200
2020-07-24,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,900,1100,1000
2020-07-23,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,850,1000,900
2020-07-22,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,900,1100,1000
2020-07-18,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2000,2300,2100
2020-07-17,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2100,2400,2200
2020-07-16,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2000,2500,2200
2020-07-15,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1800,2300,2000
2020-07-14,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1800,2300,2000
2020-07-13,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1800,2300,2000
2020-07-09,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1300,1450,1326
2020-07-08,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1700,1950,1800
2020-07-07,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1600,2000,1900
2020-07-06,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1700,1900,1800
2020-07-03,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1900,2200,2100
2020-06-30,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2000,2500,2300
2020-06-29,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2000,2300,2200
2020-06-27,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1800,2100,2000
2020-06-26,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1700,2200,2000
2020-06-25,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1800,2100,2000
2020-05-29,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1600,1900,1700
2020-05-28,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1600,1900,1800
2020-05-27,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1700,2000,1800
2020-05-26,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1800,2000,1900
2020-05-23,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2100,2400,2200
2020-05-22,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2200,2500,2350
2020-03-31,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,3900,4100,4000
2020-03-30,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,4000,4200,4100
2020-03-28,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,4400,4650,4500
2019-09-13,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1700,1900,1800
2019-09-12,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2000,2200,2100
2019-09-11,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1800,2100,2000
2019-09-10,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2100,2300,2200
2019-09-09,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1900,2100,2000
2019-09-07,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2200,2300,2250
2019-09-06,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2100,2400,2200
2019-09-05,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2000,2100,2050
2019-09-04,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2000,2200,2100
2019-09-03,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2000,2200,2100
2019-09-02,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1800,2100,2000
2019-08-31,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2000,2200,2150
2019-08-30,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2000,2200,2100
2019-08-29,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2000,2100,2050
2019-08-28,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1800,2000,1900
2019-08-27,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1900,2100,2000
2019-08-26,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1700,1900,1800
2019-08-24,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1500,1700,1600
2019-08-23,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1400,1700,1600
2019-08-22,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1600,1800,1700
2019-08-21,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1400,1600,1500
2019-08-20,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1300,1600,1400
2019-08-19,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1200,1500,1350
2019-08-17,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1600,1800,1700
2019-08-16,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1800,2000,1900
2019-08-14,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1700,1900,1800
2019-08-13,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1800,1900,1850
2019-08-09,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1400,1600,1500
2019-08-08,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1600,1800,1700
2019-08-07,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1600,1900,1800
2019-08-06,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1000,1300,1200
2019-08-05,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1000,1300,1200
2019-08-03,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1000,1300,1100
2019-08-02,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1100,1300,1200
2019-08-01,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1100,1300,1200
2019-07-31,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1200,1400,1300
2019-07-30,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1100,1300,1200
2019-07-29,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1300,1500,1400
2019-07-27,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1500,1700,1600
2019-07-26,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1500,1700,1600
2019-07-25,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1700,1900,1800
2019-07-24,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1300,1500,1400
2019-07-23,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1800,2000,1900
2019-07-22,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1600,1900,1800
2019-07-20,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1600,1800,1700
2019-07-19,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1700,1900,1800
2019-07-18,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1900,2100,2000
2019-07-17,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1600,1900,1800
2019-07-15,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1900,2100,2000
2019-07-13,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1900,2300,2050
2019-07-12,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2000,2200,2100
2019-07-11,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2200,2500,2350
2019-07-10,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2200,2400,2300
2019-07-09,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2200,2500,2350
2019-07-08,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2200,2300,2250
2019-07-06,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,1800,2000,1900
2019-06-22,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2200,2400,2300
2019-06-21,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2000,2400,2200
2019-06-20,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2200,2400,2300
2019-06-19,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2400,2600,2500
2019-06-15,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2200,2400,2300
2019-06-14,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2200,2500,2400
2019-06-13,Colacasia,318,Uttar Pradesh,9,Mahamaya Nagar,144,2200,2400,2300
