date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Cucumber (Kheera),159,Haryana,6,Hisar,80,1966.6666666666667,2500,2266.6666666666665
2025-10-29,Cucumber (Kheera),159,Haryana,6,Hisar,80,2000,2500,2266.6666666666665
2025-10-28,Cucumber (Kheera),159,Haryana,6,Hisar,80,1833.3333333333333,2500,2166.6666666666665
2025-10-27,Cucumber (Kheera),159,Haryana,6,Hisar,80,1833.3333333333333,2500,2166.6666666666665
2025-10-26,Cucumber (Kheera),159,Haryana,6,Hisar,80,1666.6666666666667,2566.6666666666665,2233.3333333333335
2025-10-25,Cucumber (Kheera),159,Haryana,6,Hisar,80,1566.6666666666667,2133.3333333333335,1966.6666666666667
2025-10-24,Cucumber (Kheera),159,Haryana,6,Hisar,80,2033.3333333333333,3033.3333333333335,2533.3333333333335
2025-10-23,Cucumber (Kheera),159,Haryana,6,Hisar,80,2250,4000,3000
2025-10-22,Cucumber (Kheera),159,Haryana,6,Hisar,80,2000,3166.6666666666665,2500
2025-10-21,Cucumber (Kheera),159,Haryana,6,Hisar,80,2466.6666666666665,3300,2866.6666666666665
2025-10-20,Cucumber (Kheera),159,Haryana,6,Hisar,80,1966.6666666666667,2966.6666666666665,2466.6666666666665
2025-10-19,Cucumber (Kheera),159,Haryana,6,Hisar,80,2250,4000,3000
2025-10-18,Cucumber (Kheera),159,Haryana,6,Hisar,80,1800,2633.3333333333335,2266.6666666666665
2025-10-17,Cucumber (Kheera),159,Haryana,6,Hisar,80,1966.6666666666667,2966.6666666666665,2466.6666666666665
2025-10-16,Cucumber (Kheera),159,Haryana,6,Hisar,80,1850,3350,2675
2025-10-15,Cucumber (Kheera),159,Haryana,6,Hisar,80,1533.3333333333333,2633.3333333333335,2133.3333333333335
2025-10-14,Cucumber (Kheera),159,Haryana,6,Hisar,80,1633.3333333333333,2466.6666666666665,2066.6666666666665
