date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2024-11-24,Cucumber (Kheera),159,Odisha,21,Khordha,386,2700,3400,3100
2024-11-10,Cucumber (Kheera),159,Odisha,21,Khordha,386,2900,3700,3300
2024-11-06,Cucumber (Kheera),159,Odisha,21,Khordha,386,2700,3400,3100
2024-10-27,Cucumber (Kheera),159,Odisha,21,Khordha,386,2700,3400,3100
2024-10-25,Cucumber (Kheera),159,Odisha,21,Khordha,386,4000,4500,4300
2024-10-23,Cucumber (Kheera),159,Odisha,21,Khordha,386,2000,3000,2500
2024-10-13,Cucumber (Kheera),159,Odisha,21,Khordha,386,2000,3000,2500
2024-10-09,Cucumber (Kheera),159,Odisha,21,Khordha,386,2500,3000,2700
2024-10-04,Cucumber (Kheera),159,Odisha,21,Khordha,386,3000,3500,3300
2024-09-29,Cucumber (Kheera),159,Odisha,21,Khordha,386,4000,5000,4500
2024-09-27,Cucumber (Kheera),159,Odisha,21,Khordha,386,2000,3000,2500
2024-09-18,Cucumber (Kheera),159,Odisha,21,Khordha,386,2500,3000,2800
2024-09-15,Cucumber (Kheera),159,Odisha,21,Khordha,386,2000,3000,2500
2024-09-13,Cucumber (Kheera),159,Odisha,21,Khordha,386,2000,3000,2500
2024-09-11,Cucumber (Kheera),159,Odisha,21,Khordha,386,2500,3500,2800
2024-09-06,Cucumber (Kheera),159,Odisha,21,Khordha,386,4000,5000,4500
2024-09-05,Cucumber (Kheera),159,Odisha,21,Khordha,386,2000,3000,2500
2024-09-01,Cucumber (Kheera),159,Odisha,21,Khordha,386,4000,5000,4500
2024-08-30,Cucumber (Kheera),159,Odisha,21,Khordha,386,4000,6000,5000
2024-08-28,Cucumber (Kheera),159,Odisha,21,Khordha,386,5000,6000,5500
2024-08-25,Cucumber (Kheera),159,Odisha,21,Khordha,386,5000,6000,5500
2024-08-23,Cucumber (Kheera),159,Odisha,21,Khordha,386,4000,6000,5000
2024-08-21,Cucumber (Kheera),159,Odisha,21,Khordha,386,4000,6000,5000
2024-08-18,Cucumber (Kheera),159,Odisha,21,Khordha,386,6000,8000,7000
2024-08-16,Cucumber (Kheera),159,Odisha,21,Khordha,386,6000,8000,7000
2024-08-14,Cucumber (Kheera),159,Odisha,21,Khordha,386,6000,8000,7000
2024-08-12,Cucumber (Kheera),159,Odisha,21,Khordha,386,6000,7000,6500
2024-08-11,Cucumber (Kheera),159,Odisha,21,Khordha,386,6000,8000,7000
2024-08-09,Cucumber (Kheera),159,Odisha,21,Khordha,386,4000,5000,4500
2024-08-07,Cucumber (Kheera),159,Odisha,21,Khordha,386,4000,6000,5000
2024-08-04,Cucumber (Kheera),159,Odisha,21,Khordha,386,6000,7000,6500
2024-07-31,Cucumber (Kheera),159,Odisha,21,Khordha,386,5000,6000,5500
2024-07-28,Cucumber (Kheera),159,Odisha,21,Khordha,386,5000,6000,5500
2024-07-26,Cucumber (Kheera),159,Odisha,21,Khordha,386,3000,4000,3500
2024-07-24,Cucumber (Kheera),159,Odisha,21,Khordha,386,3000,4000,3500
2024-07-21,Cucumber (Kheera),159,Odisha,21,Khordha,386,4000,6000,5000
2024-07-19,Cucumber (Kheera),159,Odisha,21,Khordha,386,4000,6000,5000
2024-07-17,Cucumber (Kheera),159,Odisha,21,Khordha,386,3000,4000,3500
2024-07-14,Cucumber (Kheera),159,Odisha,21,Khordha,386,5000,6000,5500
2024-07-10,Cucumber (Kheera),159,Odisha,21,Khordha,386,3000,4000,3500
2024-07-07,Cucumber (Kheera),159,Odisha,21,Khordha,386,6000,8000,7000
2024-07-05,Cucumber (Kheera),159,Odisha,21,Khordha,386,5000,6000,5500
2024-07-03,Cucumber (Kheera),159,Odisha,21,Khordha,386,4000,6000,5000
2024-06-30,Cucumber (Kheera),159,Odisha,21,Khordha,386,5000,7000,6000
2024-06-28,Cucumber (Kheera),159,Odisha,21,Khordha,386,4000,6000,5000
2024-06-26,Cucumber (Kheera),159,Odisha,21,Khordha,386,4000,6000,5000
2024-06-21,Cucumber (Kheera),159,Odisha,21,Khordha,386,5000,7000,6000
2024-06-19,Cucumber (Kheera),159,Odisha,21,Khordha,386,2500,4000,3000
2024-06-12,Cucumber (Kheera),159,Odisha,21,Khordha,386,6000,8000,7000
2024-06-07,Cucumber (Kheera),159,Odisha,21,Khordha,386,4500,5500,5000
2024-05-31,Cucumber (Kheera),159,Odisha,21,Khordha,386,4500,5500,5000
2024-05-29,Cucumber (Kheera),159,Odisha,21,Khordha,386,4500,5500,5000
2024-05-26,Cucumber (Kheera),159,Odisha,21,Khordha,386,2000,3000,2500
2024-05-22,Cucumber (Kheera),159,Odisha,21,Khordha,386,2200,3000,2600
2024-05-21,Cucumber (Kheera),159,Odisha,21,Khordha,386,2500,3500,3000
2024-05-17,Cucumber (Kheera),159,Odisha,21,Khordha,386,2200,2800,2500
2024-05-15,Cucumber (Kheera),159,Odisha,21,Khordha,386,2200,3000,2500
2024-05-10,Cucumber (Kheera),159,Odisha,21,Khordha,386,7000,8000,7500
2024-05-08,Cucumber (Kheera),159,Odisha,21,Khordha,386,3000,4000,3500
