date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,3000,3600,3600
2025-10-29,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,3275,4000,4000
2025-10-28,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,3350,4000,4000
2025-10-27,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,2780,3300,3300
2025-10-26,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,2725,3250,3250
2025-10-24,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,2875,3375,3375
2025-10-23,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,3000,3560,3560
2025-10-22,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,2800,3320,3320
2025-10-21,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,2800,3320,3320
2025-10-20,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,2725,3250,3250
2025-10-19,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,2750,3250,3250
2025-10-18,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,2875,3450,3450
2025-10-17,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,3375,4000,4000
2025-10-16,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,3240,3800,3800
2025-10-15,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,2750,3300,3300
2025-10-14,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,2700,3240,3240
2025-10-13,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,2875,3400,3400
2025-10-12,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,3125,3650,3650
2025-10-10,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,3000,3600,3600
2025-10-09,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,3125,3650,3650
2025-10-08,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,2740,3220,3220
2025-10-07,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,3100,3720,3720
2025-10-06,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,3250,3900,3900
2025-10-05,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,2750,3300,3300
2025-10-03,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,3420,4000,4000
2025-10-02,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,3000,3550,3550
2025-09-30,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,3150,4500,4500
2025-09-29,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,3000,3600,3600
2025-09-28,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,2875,3450,3450
2025-09-27,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,2725,3250,3250
2025-09-26,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,3000,3560,3560
2025-09-25,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,2750,3250,3250
2025-09-24,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,2440,2940,2940
2025-09-23,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,2640,3180,3180
2025-09-22,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,2520,3100,3100
2025-09-21,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,2875,3400,3400
2025-09-20,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,2875,3400,3400
2025-09-19,Cucumber (Kheera),159,Tamil Nadu,33,Tiruvannamalai,606,2740,3300,3300
