date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2017-07-19,Dry Chillies,132,Assam,18,Dhubri,301,4300,4600,4500
2017-06-09,Dry Chillies,132,Assam,18,Dhubri,301,4500,5000,4700
2017-06-05,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-05-29,Dry Chillies,132,Assam,18,Dhubri,301,6000,6150,6100
2017-05-26,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-05-25,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-05-22,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-05-19,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-05-13,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-05-10,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-05-09,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-05-07,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-04-28,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-04-27,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-04-25,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-04-24,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-04-20,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-04-17,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-04-12,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-04-06,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-03-25,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-03-23,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-03-21,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-03-17,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-03-11,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-03-08,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-03-06,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-03-02,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-02-27,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-02-20,Dry Chillies,132,Assam,18,Dhubri,301,5000,6000,5500
2017-02-14,Dry Chillies,132,Assam,18,Dhubri,301,5000,6000,5500
2017-02-10,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-02-09,Dry Chillies,132,Assam,18,Dhubri,301,6000,7200,7100
2017-02-06,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-02-03,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-01-31,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-01-28,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-01-18,Dry Chillies,132,Assam,18,Dhubri,301,6000,6300,6100
2017-01-16,Dry Chillies,132,Assam,18,Dhubri,301,6000,6300,6100
2017-01-12,Dry Chillies,132,Assam,18,Dhubri,301,6000,6300,6100
2017-01-07,Dry Chillies,132,Assam,18,Dhubri,301,6000,6200,6100
2017-01-06,Dry Chillies,132,Assam,18,Dhubri,301,6000,6500,6300
2017-01-04,Dry Chillies,132,Assam,18,Dhubri,301,6300,6500,6300
2017-01-02,Dry Chillies,132,Assam,18,Dhubri,301,6000,6500,6300
2016-12-28,Dry Chillies,132,Assam,18,Dhubri,301,7000,7300,7100
2016-12-27,Dry Chillies,132,Assam,18,Dhubri,301,7000,7300,7100
2016-12-25,Dry Chillies,132,Assam,18,Dhubri,301,7000,7300,7100
2016-12-22,Dry Chillies,132,Assam,18,Dhubri,301,7000,7300,7200
2016-12-20,Dry Chillies,132,Assam,18,Dhubri,301,7000,7400,7200
2016-12-15,Dry Chillies,132,Assam,18,Dhubri,301,7000,7400,7200
2016-12-13,Dry Chillies,132,Assam,18,Dhubri,301,7000,7500,7200
2016-12-12,Dry Chillies,132,Assam,18,Dhubri,301,6400,6800,6500
2016-12-08,Dry Chillies,132,Assam,18,Dhubri,301,6400,6800,6500
2016-12-05,Dry Chillies,132,Assam,18,Dhubri,301,6200,7000,6400
2016-12-03,Dry Chillies,132,Assam,18,Dhubri,301,6400,7000,6700
2016-11-30,Dry Chillies,132,Assam,18,Dhubri,301,5000,6000,5500
2016-11-29,Dry Chillies,132,Assam,18,Dhubri,301,7000,7300,7200
2016-11-18,Dry Chillies,132,Assam,18,Dhubri,301,7200,7500,7400
2016-11-16,Dry Chillies,132,Assam,18,Dhubri,301,7200,7400,7300
2016-11-11,Dry Chillies,132,Assam,18,Dhubri,301,7000,7400,7200
2016-11-10,Dry Chillies,132,Assam,18,Dhubri,301,7000,7400,7200
2016-11-09,Dry Chillies,132,Assam,18,Dhubri,301,7000,7400,7200
2016-11-07,Dry Chillies,132,Assam,18,Dhubri,301,7000,7300,7200
2016-11-05,Dry Chillies,132,Assam,18,Dhubri,301,7000,7400,7200
2016-11-04,Dry Chillies,132,Assam,18,Dhubri,301,7000,7400,7200
2016-10-28,Dry Chillies,132,Assam,18,Dhubri,301,7000,7400,7200
2016-10-27,Dry Chillies,132,Assam,18,Dhubri,301,7000,7400,7200
2016-10-04,Dry Chillies,132,Assam,18,Dhubri,301,7050,7080,7060
2016-10-01,Dry Chillies,132,Assam,18,Dhubri,301,7050,7200,7100
2016-09-15,Dry Chillies,132,Assam,18,Dhubri,301,7000,7200,7100
2016-09-09,Dry Chillies,132,Assam,18,Dhubri,301,7000,7200,7100
2016-09-08,Dry Chillies,132,Assam,18,Dhubri,301,7200,7300,7250
2016-09-01,Dry Chillies,132,Assam,18,Dhubri,301,7200,7300,7250
2016-08-17,Dry Chillies,132,Assam,18,Dhubri,301,7000,7300,7200
2016-08-13,Dry Chillies,132,Assam,18,Dhubri,301,7000,7300,7200
2016-08-09,Dry Chillies,132,Assam,18,Dhubri,301,7000,7300,7200
2016-07-20,Dry Chillies,132,Assam,18,Dhubri,301,7350,7400,7400
2016-07-18,Dry Chillies,132,Assam,18,Dhubri,301,7350,7400,7400
2016-07-15,Dry Chillies,132,Assam,18,Dhubri,301,7300,7400,7400
2016-07-13,Dry Chillies,132,Assam,18,Dhubri,301,7360,7400,7380
2016-07-11,Dry Chillies,132,Assam,18,Dhubri,301,7360,7420,7400
2016-07-08,Dry Chillies,132,Assam,18,Dhubri,301,7360,7400,7380
2016-07-06,Dry Chillies,132,Assam,18,Dhubri,301,7300,7450,7400
2016-06-28,Dry Chillies,132,Assam,18,Dhubri,301,7350,7410,7400
2016-06-23,Dry Chillies,132,Assam,18,Dhubri,301,7360,7400,7400
2016-06-21,Dry Chillies,132,Assam,18,Dhubri,301,7350,7400,7400
2016-06-20,Dry Chillies,132,Assam,18,Dhubri,301,7300,7450,7400
2016-06-16,Dry Chillies,132,Assam,18,Dhubri,301,8200,8300,8300
2016-06-13,Dry Chillies,132,Assam,18,Dhubri,301,8200,8300,8250
2016-06-10,Dry Chillies,132,Assam,18,Dhubri,301,8200,8350,8300
2016-06-08,Dry Chillies,132,Assam,18,Dhubri,301,2200,2350,2300
2016-06-07,Dry Chillies,132,Assam,18,Dhubri,301,8300,8450,8400
2016-06-06,Dry Chillies,132,Assam,18,Dhubri,301,8300,8450,8400
2016-06-04,Dry Chillies,132,Assam,18,Dhubri,301,2800,2950,2900
2016-06-02,Dry Chillies,132,Assam,18,Dhubri,301,8200,8350,8300
2016-05-31,Dry Chillies,132,Assam,18,Dhubri,301,1500,1600,1550
2016-05-23,Dry Chillies,132,Assam,18,Dhubri,301,8100,8300,8200
2016-04-26,Dry Chillies,132,Assam,18,Dhubri,301,7000,7150,7100
2016-04-19,Dry Chillies,132,Assam,18,Dhubri,301,7000,8000,7050
2016-04-16,Dry Chillies,132,Assam,18,Dhubri,301,6800,7000,6900
2015-11-17,Dry Chillies,132,Assam,18,Dhubri,301,5000,7000,6500
2015-11-13,Dry Chillies,132,Assam,18,Dhubri,301,5000,7000,6500
2015-11-12,Dry Chillies,132,Assam,18,Dhubri,301,5500,7000,6500
2015-11-06,Dry Chillies,132,Assam,18,Dhubri,301,5500,7000,6500
2015-11-05,Dry Chillies,132,Assam,18,Dhubri,301,5000,7000,6500
2015-11-04,Dry Chillies,132,Assam,18,Dhubri,301,5000,7000,6500
2015-09-30,Dry Chillies,132,Assam,18,Dhubri,301,4000,6000,5500
2015-09-29,Dry Chillies,132,Assam,18,Dhubri,301,4000,6000,5400
2015-06-11,Dry Chillies,132,Assam,18,Dhubri,301,2500,5600,2800
2015-05-21,Dry Chillies,132,Assam,18,Dhubri,301,2500,4500,2800
2015-05-19,Dry Chillies,132,Assam,18,Dhubri,301,2500,5200,3500
2015-05-16,Dry Chillies,132,Assam,18,Dhubri,301,2500,5000,4500
2015-05-14,Dry Chillies,132,Assam,18,Dhubri,301,2500,5000,3500
2015-05-08,Dry Chillies,132,Assam,18,Dhubri,301,2500,5700,3500
