date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Garlic,25,Maharashtra,27,Chandrapur,509,4000,8000,6500
2025-10-29,Garlic,25,Maharashtra,27,Chandrapur,509,5800,8000,6500
2025-10-24,Garlic,25,Maharashtra,27,Chandrapur,509,6500,10000,8000
2025-10-20,Garlic,25,Maharashtra,27,Chandrapur,509,4500,10000,7000
2025-10-18,Garlic,25,Maharashtra,27,Chandrapur,509,7000,10000,9500
2025-10-17,Garlic,25,Maharashtra,27,Chandrapur,509,6000,10500,7000
2025-10-15,Garlic,25,Maharashtra,27,Chandrapur,509,6000,10500,8000
2025-10-14,Garlic,25,Maharashtra,27,Chandrapur,509,6000,10500,8000
2025-10-13,Garlic,25,Maharashtra,27,Chandrapur,509,7000,11000,8500
2025-10-09,Garlic,25,Maharashtra,27,Chandrapur,509,6500,7500,7000
2025-10-08,Garlic,25,Maharashtra,27,Chandrapur,509,6000,7000,6500
2025-10-03,Garlic,25,Maharashtra,27,Chandrapur,509,4000,7700,7500
2025-10-01,Garlic,25,Maharashtra,27,Chandrapur,509,5000,7000,6000
2025-09-30,Garlic,25,Maharashtra,27,Chandrapur,509,5000,9000,8000
2025-09-29,Garlic,25,Maharashtra,27,Chandrapur,509,6500,11200,8000
2025-09-27,Garlic,25,Maharashtra,27,Chandrapur,509,6200,11200,8000
2025-09-25,Garlic,25,Maharashtra,27,Chandrapur,509,6000,7000,6500
2025-09-24,Garlic,25,Maharashtra,27,Chandrapur,509,6700,7500,7000
2025-09-23,Garlic,25,Maharashtra,27,Chandrapur,509,6000,8000,7000
2025-09-22,Garlic,25,Maharashtra,27,Chandrapur,509,6000,8000,7000
2025-09-18,Garlic,25,Maharashtra,27,Chandrapur,509,7000,9000,8000
2025-09-15,Garlic,25,Maharashtra,27,Chandrapur,509,8000,8000,8000
2025-09-12,Garlic,25,Maharashtra,27,Chandrapur,509,7000,9000,8000
2025-09-11,Garlic,25,Maharashtra,27,Chandrapur,509,6000,9000,8000
2025-09-09,Garlic,25,Maharashtra,27,Chandrapur,509,6000,9000,8000
2025-09-08,Garlic,25,Maharashtra,27,Chandrapur,509,7500,9000,8000
2025-09-06,Garlic,25,Maharashtra,27,Chandrapur,509,6000,9000,8000
2025-09-03,Garlic,25,Maharashtra,27,Chandrapur,509,5000,9000,8000
2025-08-26,Garlic,25,Maharashtra,27,Chandrapur,509,6000,10500,8000
2025-08-25,Garlic,25,Maharashtra,27,Chandrapur,509,8000,8500,8200
2025-08-23,Garlic,25,Maharashtra,27,Chandrapur,509,6000,9000,8000
2025-08-22,Garlic,25,Maharashtra,27,Chandrapur,509,7000,9000,8000
2025-08-21,Garlic,25,Maharashtra,27,Chandrapur,509,7000,9000,8000
2025-08-20,Garlic,25,Maharashtra,27,Chandrapur,509,7000,10000,8000
2025-08-19,Garlic,25,Maharashtra,27,Chandrapur,509,7000,10000,8000
2025-08-18,Garlic,25,Maharashtra,27,Chandrapur,509,7000,8000,7500
2025-08-16,Garlic,25,Maharashtra,27,Chandrapur,509,7000,8300,8000
2025-08-14,Garlic,25,Maharashtra,27,Chandrapur,509,6500,8500,7000
2025-08-13,Garlic,25,Maharashtra,27,Chandrapur,509,7000,9000,8000
2025-08-12,Garlic,25,Maharashtra,27,Chandrapur,509,7000,9500,8500
2025-08-11,Garlic,25,Maharashtra,27,Chandrapur,509,7000,9200,8000
2025-08-08,Garlic,25,Maharashtra,27,Chandrapur,509,8000,8000,8000
2025-08-07,Garlic,25,Maharashtra,27,Chandrapur,509,6500,9000,8000
2025-08-06,Garlic,25,Maharashtra,27,Chandrapur,509,6500,9000,8000
2025-08-04,Garlic,25,Maharashtra,27,Chandrapur,509,6500,9000,8000
2025-08-02,Garlic,25,Maharashtra,27,Chandrapur,509,7000,9000,8000
2025-08-01,Garlic,25,Maharashtra,27,Chandrapur,509,7000,9000,8000
2025-07-31,Garlic,25,Maharashtra,27,Chandrapur,509,7000,9000,8000
2025-07-30,Garlic,25,Maharashtra,27,Chandrapur,509,6000,9000,8000
2025-07-28,Garlic,25,Maharashtra,27,Chandrapur,509,6800,8000,7500
2025-07-24,Garlic,25,Maharashtra,27,Chandrapur,509,6000,8500,8000
2025-07-23,Garlic,25,Maharashtra,27,Chandrapur,509,6000,8500,8000
2025-07-22,Garlic,25,Maharashtra,27,Chandrapur,509,6500,10000,8500
2025-07-21,Garlic,25,Maharashtra,27,Chandrapur,509,7000,9500,9000
2025-07-19,Garlic,25,Maharashtra,27,Chandrapur,509,7000,9500,9000
2025-07-18,Garlic,25,Maharashtra,27,Chandrapur,509,7000,9500,9000
2025-07-16,Garlic,25,Maharashtra,27,Chandrapur,509,6000,11000,8500
2025-07-14,Garlic,25,Maharashtra,27,Chandrapur,509,6000,11000,9000
2025-07-11,Garlic,25,Maharashtra,27,Chandrapur,509,5000,9800,7000
