date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-29,Garlic,25,Odisha,21,Baleshwar,377,4500,5100,4800
2025-10-28,Garlic,25,Odisha,21,Baleshwar,377,3000,5000,4000
2025-10-27,Garlic,25,Odisha,21,Baleshwar,377,4000,5000,4500
2025-10-26,Garlic,25,Odisha,21,Baleshwar,377,5000,6000,5500
2025-10-25,Garlic,25,Odisha,21,Baleshwar,377,4300,5000,4500
2025-10-24,Garlic,25,Odisha,21,Baleshwar,377,4500,5500,5000
2025-10-10,Garlic,25,Odisha,21,Baleshwar,377,5300,6000,5500
2025-10-06,Garlic,25,Odisha,21,Baleshwar,377,4500,5500,5000
2025-10-05,Garlic,25,Odisha,21,Baleshwar,377,3500,5000,4000
2025-10-04,Garlic,25,Odisha,21,Baleshwar,377,5000,6000,5500
2025-10-03,Garlic,25,Odisha,21,Baleshwar,377,4300,5000,4500
2025-10-01,Garlic,25,Odisha,21,Baleshwar,377,6300,7000,6500
2025-09-28,Garlic,25,Odisha,21,Baleshwar,377,4300,5000,4500
2025-09-27,Garlic,25,Odisha,21,Baleshwar,377,5500,6500,6000
2025-09-24,Garlic,25,Odisha,21,Baleshwar,377,6500,7500,7000
2025-09-23,Garlic,25,Odisha,21,Baleshwar,377,7300,8000,7500
2025-09-22,Garlic,25,Odisha,21,Baleshwar,377,6500,7500,7000
2025-09-21,Garlic,25,Odisha,21,Baleshwar,377,6500,7500,7000
2025-09-20,Garlic,25,Odisha,21,Baleshwar,377,7000,8000,7500
2025-09-19,Garlic,25,Odisha,21,Baleshwar,377,7500,8000,7800
2025-09-18,Garlic,25,Odisha,21,Baleshwar,377,7500,8000,7800
2025-09-17,Garlic,25,Odisha,21,Baleshwar,377,7300,8000,7500
2025-09-16,Garlic,25,Odisha,21,Baleshwar,377,7000,8000,7500
2025-09-15,Garlic,25,Odisha,21,Baleshwar,377,7300,8000,7500
2025-09-14,Garlic,25,Odisha,21,Baleshwar,377,7500,8500,8000
2025-09-13,Garlic,25,Odisha,21,Baleshwar,377,7500,8500,8000
2025-09-12,Garlic,25,Odisha,21,Baleshwar,377,5800,6500,6000
2025-09-11,Garlic,25,Odisha,21,Baleshwar,377,5800,6500,6000
