date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-29,Garlic,25,Tripura,16,North Tripura,292,7900,8000,7950
2025-10-28,Garlic,25,Tripura,16,North Tripura,292,7900,8000,7950
2025-10-24,Garlic,25,Tripura,16,North Tripura,292,7400,7500,7450
2025-10-15,Garlic,25,Tripura,16,North Tripura,292,7400,7500,7450
2025-10-14,Garlic,25,Tripura,16,North Tripura,292,7400,7500,7450
2025-09-14,Garlic,25,Tripura,16,North Tripura,292,7800,8000,7900
2025-09-12,Garlic,25,Tripura,16,North Tripura,292,7800,8000,7900
2025-09-07,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-08-29,Garlic,25,Tripura,16,North Tripura,292,8800,9000,8900
2025-08-27,Garlic,25,Tripura,16,North Tripura,292,8800,9000,8900
2025-08-26,Garlic,25,Tripura,16,North Tripura,292,8800,9000,8900
2025-08-20,Garlic,25,Tripura,16,North Tripura,292,8800,9000,8900
2025-08-12,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-08-10,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-08-06,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-08-04,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-08-01,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-07-30,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-07-28,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-07-27,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-07-25,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-07-20,Garlic,25,Tripura,16,North Tripura,292,10000,10200,10100
2025-07-13,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-07-09,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-07-06,Garlic,25,Tripura,16,North Tripura,292,10000,10200,10100
2025-07-02,Garlic,25,Tripura,16,North Tripura,292,10000,10200,10100
2025-07-01,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-06-29,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-06-26,Garlic,25,Tripura,16,North Tripura,292,11800,12000,11900
2025-06-24,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-06-22,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-06-20,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-06-19,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-06-18,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-06-17,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-06-15,Garlic,25,Tripura,16,North Tripura,292,14300,14500,14400
2025-06-11,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-06-10,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-06-09,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-06-08,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-06-06,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-06-04,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-06-03,Garlic,25,Tripura,16,North Tripura,292,13300,13500,13400
2025-05-28,Garlic,25,Tripura,16,North Tripura,292,4800,5000,4900
2025-05-25,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-05-23,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-05-21,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-05-20,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-05-18,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-05-17,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-05-16,Garlic,25,Tripura,16,North Tripura,292,7800,8000,7900
2025-05-14,Garlic,25,Tripura,16,North Tripura,292,7800,8000,7900
2025-04-30,Garlic,25,Tripura,16,North Tripura,292,14800,15000,14900
2025-04-27,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-04-23,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-04-20,Garlic,25,Tripura,16,North Tripura,292,9800,10000,9900
2025-04-18,Garlic,25,Tripura,16,North Tripura,292,11800,12000,11900
2025-04-16,Garlic,25,Tripura,16,North Tripura,292,11800,12000,11900
2025-04-15,Garlic,25,Tripura,16,North Tripura,292,11800,12000,11900
2025-04-13,Garlic,25,Tripura,16,North Tripura,292,11800,12000,11900
