date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-29,Ginger (Green),103,Maharashtra,27,Amravati,503,3500,6500,5000
2025-10-28,Ginger (Green),103,Maharashtra,27,Amravati,503,3000,6000,4500
2025-10-27,Ginger (Green),103,Maharashtra,27,Amravati,503,4000,6000,5000
2025-10-26,Ginger (Green),103,Maharashtra,27,Amravati,503,3000,6000,4500
2025-10-18,Ginger (Green),103,Maharashtra,27,Amravati,503,4000,6000,5000
2025-10-17,Ginger (Green),103,Maharashtra,27,Amravati,503,5000,6000,5500
2025-10-15,Ginger (Green),103,Maharashtra,27,Amravati,503,4000,6000,5000
2025-10-14,Ginger (Green),103,Maharashtra,27,Amravati,503,3000,6000,4500
2025-10-13,Ginger (Green),103,Maharashtra,27,Amravati,503,4000,6000,5000
2025-10-12,Ginger (Green),103,Maharashtra,27,Amravati,503,4000,6000,5000
2025-10-08,Ginger (Green),103,Maharashtra,27,Amravati,503,3000,6000,4500
2025-10-07,Ginger (Green),103,Maharashtra,27,Amravati,503,3000,5000,4000
2025-10-06,Ginger (Green),103,Maharashtra,27,Amravati,503,3000,5000,4000
2025-10-04,Ginger (Green),103,Maharashtra,27,Amravati,503,3000,5000,4000
2025-10-03,Ginger (Green),103,Maharashtra,27,Amravati,503,3200,5200,4200
2025-10-01,Ginger (Green),103,Maharashtra,27,Amravati,503,5000,6000,5500
2025-09-30,Ginger (Green),103,Maharashtra,27,Amravati,503,4000,7000,5500
2025-09-29,Ginger (Green),103,Maharashtra,27,Amravati,503,5000,6000,5500
2025-09-28,Ginger (Green),103,Maharashtra,27,Amravati,503,5500,6500,6000
2025-09-26,Ginger (Green),103,Maharashtra,27,Amravati,503,5000,6000,5500
2025-09-24,Ginger (Green),103,Maharashtra,27,Amravati,503,3500,5500,4500
2025-09-23,Ginger (Green),103,Maharashtra,27,Amravati,503,3000,5000,4000
2025-09-22,Ginger (Green),103,Maharashtra,27,Amravati,503,3500,7500,5500
2025-09-21,Ginger (Green),103,Maharashtra,27,Amravati,503,3000,6000,4500
2025-09-20,Ginger (Green),103,Maharashtra,27,Amravati,503,3000,6500,4750
2025-09-19,Ginger (Green),103,Maharashtra,27,Amravati,503,3000,6000,4500
2025-09-17,Ginger (Green),103,Maharashtra,27,Amravati,503,3000,6000,4500
2025-09-16,Ginger (Green),103,Maharashtra,27,Amravati,503,2500,5500,4000
2025-09-15,Ginger (Green),103,Maharashtra,27,Amravati,503,3000,7000,5000
2025-09-14,Ginger (Green),103,Maharashtra,27,Amravati,503,4000,7000,5500
2025-09-13,Ginger (Green),103,Maharashtra,27,Amravati,503,3000,6000,4500
