date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-06-25,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,1900,1950,1925
2025-06-22,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,1900,1950,1915
2025-06-15,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,3950,4050,4000
2025-05-07,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,3900,4000,3965
2025-03-19,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,3600,3700,3660
2025-01-24,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,3350,3450,3400
2025-01-17,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,3400,3500,3435
2025-01-03,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,3800,3850,3820
2025-01-02,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,3800,3900,3850
2024-12-13,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,4400,4550,4475
2024-10-15,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,4900,5000,4960
2024-10-14,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,4800,5000,4900
2024-10-11,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,4800,4900,4850
2024-09-09,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,5400,5600,5500
2024-07-09,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,10000,10100,10045
2024-06-07,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,8600,8700,8635
2024-05-16,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,8200,8300,8225
2024-05-14,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,8100,8300,8200
2024-05-12,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,8100,8300,8210
2024-05-04,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7900,8050,7970
2024-05-03,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7900,8050,7975
2024-04-30,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7800,8000,7900
2024-04-26,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7800,7900,7860
2024-04-25,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7800,7950,7875
2024-04-19,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7800,8000,7920
2024-04-15,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7700,7900,7800
2024-04-12,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7700,7900,7820
2024-04-10,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7700,7900,7800
2024-04-09,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7700,7800,7750
2024-03-29,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7300,7450,7375
2024-03-20,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7200,7350,7275
2024-03-19,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7200,7400,7300
2024-03-16,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7200,7300,7250
2024-03-15,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7150,7350,7275
2024-03-12,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7200,7300,7260
2024-03-11,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7100,7300,7225
2024-03-10,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7100,7300,7220
2024-03-09,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7100,7300,7225
2024-03-08,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7100,7300,7225
2024-03-07,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7200,7300,7250
2024-03-06,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7100,7300,7220
2024-03-05,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7100,7250,7185
2024-02-28,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7100,7300,7200
2024-02-27,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7100,7300,7140
2024-02-26,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7100,7200,7150
2024-02-25,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7000,7200,7100
2024-02-24,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7000,7200,7100
2024-02-21,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,6900,7100,7025
2024-02-15,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,7000,7150,7085
2024-02-05,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,2200,2300,2240
2024-02-02,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,6900,7100,7000
2024-01-30,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,6800,7000,6925
2024-01-19,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,6800,6900,6850
2024-01-16,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,6800,7000,6920
2024-01-15,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,6800,7000,6900
2024-01-14,Ginger (Green),103,Uttar Pradesh,9,Moradabad,135,6800,7000,6900
