date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-29,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,5000,4000
2025-10-28,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,3400,3200
2025-10-27,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,3400,3200
2025-10-15,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,4000,3250
2025-10-14,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,4000,3500
2025-10-13,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,3500,3300
2025-09-16,Ginger (Green),103,Uttarakhand,5,Nainital,66,3500,3900,3750
2025-09-10,Ginger (Green),103,Uttarakhand,5,Nainital,66,4000,6000,5000
2025-09-09,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,4000,3500
2025-09-08,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,4000,3500
2025-09-06,Ginger (Green),103,Uttarakhand,5,Nainital,66,6000,7000,6500
2025-09-03,Ginger (Green),103,Uttarakhand,5,Nainital,66,3500,4000,3800
2025-08-20,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,4000,3500
2025-08-14,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,4000,3500
2025-08-06,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,4500,3600
2025-07-28,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,4000,3500
2025-07-25,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,4000,3500
2025-07-21,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,4000,3500
2025-07-15,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,4000,3500
2025-07-14,Ginger (Green),103,Uttarakhand,5,Nainital,66,4000,5000,4500
2025-07-07,Ginger (Green),103,Uttarakhand,5,Nainital,66,3800,4000,3900
2025-06-10,Ginger (Green),103,Uttarakhand,5,Nainital,66,3500,4500,4000
2025-06-05,Ginger (Green),103,Uttarakhand,5,Nainital,66,3500,5000,4300
2025-05-28,Ginger (Green),103,Uttarakhand,5,Nainital,66,3500,4000,3800
2025-05-22,Ginger (Green),103,Uttarakhand,5,Nainital,66,4000,4500,4300
2025-05-19,Ginger (Green),103,Uttarakhand,5,Nainital,66,3550,4250,3900
2025-05-16,Ginger (Green),103,Uttarakhand,5,Nainital,66,5000,6000,5500
2025-05-14,Ginger (Green),103,Uttarakhand,5,Nainital,66,3500,4500,4000
2025-05-08,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,4500,3600
2025-05-07,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,4500,3600
2025-05-06,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,4000,3500
2025-05-05,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,4500,4000
2025-04-30,Ginger (Green),103,Uttarakhand,5,Nainital,66,4000,4500,4200
2025-04-29,Ginger (Green),103,Uttarakhand,5,Nainital,66,4000,4400,4200
2025-04-28,Ginger (Green),103,Uttarakhand,5,Nainital,66,3500,4500,4000
2025-04-24,Ginger (Green),103,Uttarakhand,5,Nainital,66,5500,6500,6000
2025-04-23,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,5000,4000
2025-04-22,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,5000,4000
2025-04-21,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,5000,4000
2025-04-09,Ginger (Green),103,Uttarakhand,5,Nainital,66,3500,6000,4800
2025-04-08,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,8000,6000
2025-04-04,Ginger (Green),103,Uttarakhand,5,Nainital,66,3800,4000,3900
2025-04-02,Ginger (Green),103,Uttarakhand,5,Nainital,66,3500,4000,3800
2025-03-27,Ginger (Green),103,Uttarakhand,5,Nainital,66,3800,4000,3900
2025-03-24,Ginger (Green),103,Uttarakhand,5,Nainital,66,3600,4000,3800
2025-03-19,Ginger (Green),103,Uttarakhand,5,Nainital,66,3500,4000,3800
2025-03-17,Ginger (Green),103,Uttarakhand,5,Nainital,66,3500,3700,3600
2025-03-12,Ginger (Green),103,Uttarakhand,5,Nainital,66,3050,3350,3200
2025-03-07,Ginger (Green),103,Uttarakhand,5,Nainital,66,3500,4500,4000
2025-03-06,Ginger (Green),103,Uttarakhand,5,Nainital,66,3500,4000,3800
2025-03-03,Ginger (Green),103,Uttarakhand,5,Nainital,66,3400,3600,3500
2025-02-28,Ginger (Green),103,Uttarakhand,5,Nainital,66,3400,3600,3500
2025-02-27,Ginger (Green),103,Uttarakhand,5,Nainital,66,3400,3600,3500
2025-02-25,Ginger (Green),103,Uttarakhand,5,Nainital,66,8500,9000,8800
2025-02-24,Ginger (Green),103,Uttarakhand,5,Nainital,66,7500,8500,8000
2025-02-21,Ginger (Green),103,Uttarakhand,5,Nainital,66,3300,3500,3400
2025-02-19,Ginger (Green),103,Uttarakhand,5,Nainital,66,3300,3500,3400
2025-02-18,Ginger (Green),103,Uttarakhand,5,Nainital,66,4000,5000,4500
2025-02-07,Ginger (Green),103,Uttarakhand,5,Nainital,66,8500,9000,8800
2025-02-06,Ginger (Green),103,Uttarakhand,5,Nainital,66,3400,3600,3500
2025-01-31,Ginger (Green),103,Uttarakhand,5,Nainital,66,7000,7500,7200
2025-01-28,Ginger (Green),103,Uttarakhand,5,Nainital,66,5600,6000,5800
2025-01-27,Ginger (Green),103,Uttarakhand,5,Nainital,66,5000,6000,5500
2025-01-22,Ginger (Green),103,Uttarakhand,5,Nainital,66,5800,6200,6000
2025-01-21,Ginger (Green),103,Uttarakhand,5,Nainital,66,6000,6400,6200
2025-01-20,Ginger (Green),103,Uttarakhand,5,Nainital,66,6000,6400,6200
2025-01-17,Ginger (Green),103,Uttarakhand,5,Nainital,66,6000,6200,6100
2025-01-16,Ginger (Green),103,Uttarakhand,5,Nainital,66,6000,6400,6200
2025-01-13,Ginger (Green),103,Uttarakhand,5,Nainital,66,1600,2000,1800
2025-01-09,Ginger (Green),103,Uttarakhand,5,Nainital,66,4150,4500,4300
2025-01-08,Ginger (Green),103,Uttarakhand,5,Nainital,66,3800,4600,4400
2025-01-07,Ginger (Green),103,Uttarakhand,5,Nainital,66,4400,4750,4600
2025-01-03,Ginger (Green),103,Uttarakhand,5,Nainital,66,6000,7500,6500
2025-01-02,Ginger (Green),103,Uttarakhand,5,Nainital,66,6000,6500,6200
2024-12-31,Ginger (Green),103,Uttarakhand,5,Nainital,66,6500,7000,6800
2024-12-27,Ginger (Green),103,Uttarakhand,5,Nainital,66,6000,7000,6500
2024-12-13,Ginger (Green),103,Uttarakhand,5,Nainital,66,6500,7500,7000
2024-12-12,Ginger (Green),103,Uttarakhand,5,Nainital,66,6500,7500,7000
2024-12-11,Ginger (Green),103,Uttarakhand,5,Nainital,66,6500,7500,7000
2024-12-05,Ginger (Green),103,Uttarakhand,5,Nainital,66,8000,8500,8300
2024-11-23,Ginger (Green),103,Uttarakhand,5,Nainital,66,3300,3500,3400
2024-11-21,Ginger (Green),103,Uttarakhand,5,Nainital,66,5600,5950,5775
2024-11-20,Ginger (Green),103,Uttarakhand,5,Nainital,66,2600,3000,2800
2024-11-18,Ginger (Green),103,Uttarakhand,5,Nainital,66,5300,6000,5625
2024-11-14,Ginger (Green),103,Uttarakhand,5,Nainital,66,7500,8500,8000
2024-11-13,Ginger (Green),103,Uttarakhand,5,Nainital,66,7900,8500,8200
2024-11-11,Ginger (Green),103,Uttarakhand,5,Nainital,66,7000,8200,7500
2024-11-07,Ginger (Green),103,Uttarakhand,5,Nainital,66,7000,8500,7700
2024-10-26,Ginger (Green),103,Uttarakhand,5,Nainital,66,4500,5000,4750
2024-10-25,Ginger (Green),103,Uttarakhand,5,Nainital,66,5750,7250,6500
2024-10-24,Ginger (Green),103,Uttarakhand,5,Nainital,66,5500,6000,5750
2024-10-22,Ginger (Green),103,Uttarakhand,5,Nainital,66,6000,8000,7000
2024-10-16,Ginger (Green),103,Uttarakhand,5,Nainital,66,7000,7600,7300
2024-10-11,Ginger (Green),103,Uttarakhand,5,Nainital,66,5000,7000,6000
2024-10-09,Ginger (Green),103,Uttarakhand,5,Nainital,66,6000,8000,7000
2024-10-07,Ginger (Green),103,Uttarakhand,5,Nainital,66,6000,7500,6500
2024-09-05,Ginger (Green),103,Uttarakhand,5,Nainital,66,8000,9000,8500
2024-01-18,Ginger (Green),103,Uttarakhand,5,Nainital,66,6000,8000,7000
2023-12-20,Ginger (Green),103,Uttarakhand,5,Nainital,66,8000,10000,9000
2023-12-15,Ginger (Green),103,Uttarakhand,5,Nainital,66,4000,8000,6000
2023-12-14,Ginger (Green),103,Uttarakhand,5,Nainital,66,2000,3000,2500
2023-12-13,Ginger (Green),103,Uttarakhand,5,Nainital,66,3000,5000,4000
