date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2024-12-24,Grapes,22,Tripura,16,West Tripura,289,4700,5000,4900
2020-11-27,Grapes,22,Tripura,16,West Tripura,289,23000,24000,23500
2020-11-26,Grapes,22,Tripura,16,West Tripura,289,12000,13000,12500
2020-11-24,Grapes,22,Tripura,16,West Tripura,289,23000,24000,23500
2020-11-23,Grapes,22,Tripura,16,West Tripura,289,24000,25000,24500
2020-11-22,Grapes,22,Tripura,16,West Tripura,289,24000,25000,24500
2020-11-21,Grapes,22,Tripura,16,West Tripura,289,25000,26000,25500
2020-11-20,Grapes,22,Tripura,16,West Tripura,289,25000,26000,25500
2020-11-19,Grapes,22,Tripura,16,West Tripura,289,25000,26000,25500
2020-11-18,Grapes,22,Tripura,16,West Tripura,289,25000,26000,25500
2020-11-16,Grapes,22,Tripura,16,West Tripura,289,25000,26000,25800
2020-11-15,Grapes,22,Tripura,16,West Tripura,289,20000,21000,20500
2020-11-14,Grapes,22,Tripura,16,West Tripura,289,24000,25000,24500
2020-11-13,Grapes,22,Tripura,16,West Tripura,289,20000,21000,20500
2020-11-12,Grapes,22,Tripura,16,West Tripura,289,24000,25000,24500
2020-11-11,Grapes,22,Tripura,16,West Tripura,289,24000,25000,24500
2020-11-09,Grapes,22,Tripura,16,West Tripura,289,25000,26000,25500
2020-11-08,Grapes,22,Tripura,16,West Tripura,289,25000,26000,25800
2020-11-06,Grapes,22,Tripura,16,West Tripura,289,25000,26000,25500
2020-11-05,Grapes,22,Tripura,16,West Tripura,289,30000,31000,30500
2020-11-04,Grapes,22,Tripura,16,West Tripura,289,35000,36000,35500
2020-11-03,Grapes,22,Tripura,16,West Tripura,289,34000,35000,34500
2020-11-02,Grapes,22,Tripura,16,West Tripura,289,35000,36000,35500
2020-10-30,Grapes,22,Tripura,16,West Tripura,289,35000,37000,36000
2020-10-29,Grapes,22,Tripura,16,West Tripura,289,30000,32000,31000
2020-10-28,Grapes,22,Tripura,16,West Tripura,289,16000,17000,16500
2020-10-27,Grapes,22,Tripura,16,West Tripura,289,16000,17000,16500
2020-10-26,Grapes,22,Tripura,16,West Tripura,289,15000,16000,15500
2020-10-25,Grapes,22,Tripura,16,West Tripura,289,15000,17000,16000
2020-10-23,Grapes,22,Tripura,16,West Tripura,289,16000,17000,16500
2020-10-22,Grapes,22,Tripura,16,West Tripura,289,15000,16000,15500
2020-10-21,Grapes,22,Tripura,16,West Tripura,289,14000,15000,14500
2020-10-20,Grapes,22,Tripura,16,West Tripura,289,14000,15000,14500
2020-10-19,Grapes,22,Tripura,16,West Tripura,289,13000,15000,14000
2020-10-18,Grapes,22,Tripura,16,West Tripura,289,14000,15000,14500
2020-10-16,Grapes,22,Tripura,16,West Tripura,289,15000,16000,15500
2020-10-15,Grapes,22,Tripura,16,West Tripura,289,15000,16000,15500
2020-10-14,Grapes,22,Tripura,16,West Tripura,289,15000,17000,16000
2020-10-13,Grapes,22,Tripura,16,West Tripura,289,17000,19000,18000
2020-10-12,Grapes,22,Tripura,16,West Tripura,289,17000,18000,17500
2020-10-11,Grapes,22,Tripura,16,West Tripura,289,17000,19000,18000
2020-10-10,Grapes,22,Tripura,16,West Tripura,289,17000,19000,18000
2020-10-09,Grapes,22,Tripura,16,West Tripura,289,19000,20000,19500
2020-10-08,Grapes,22,Tripura,16,West Tripura,289,19000,20000,19500
2020-10-05,Grapes,22,Tripura,16,West Tripura,289,14000,15000,14500
2020-10-04,Grapes,22,Tripura,16,West Tripura,289,18000,20000,19000
2020-10-02,Grapes,22,Tripura,16,West Tripura,289,18000,20000,19000
2020-09-28,Grapes,22,Tripura,16,West Tripura,289,18000,20000,19000
2020-09-25,Grapes,22,Tripura,16,West Tripura,289,20000,22000,21000
2020-09-23,Grapes,22,Tripura,16,West Tripura,289,18000,20000,19000
2020-09-21,Grapes,22,Tripura,16,West Tripura,289,20000,22000,21000
2020-09-20,Grapes,22,Tripura,16,West Tripura,289,18000,20000,19000
2020-09-19,Grapes,22,Tripura,16,West Tripura,289,18000,20000,19000
2020-09-18,Grapes,22,Tripura,16,West Tripura,289,19000,21000,20000
2020-09-17,Grapes,22,Tripura,16,West Tripura,289,20000,21000,20500
2020-09-16,Grapes,22,Tripura,16,West Tripura,289,20000,22000,21000
2020-09-15,Grapes,22,Tripura,16,West Tripura,289,17000,18000,17500
2020-09-14,Grapes,22,Tripura,16,West Tripura,289,18000,20000,18500
2020-09-13,Grapes,22,Tripura,16,West Tripura,289,18000,20000,19000
