date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-26,Green Chilli,87,Haryana,6,Bhiwani,81,2500,5000,2750
2025-10-25,Green Chilli,87,Haryana,6,Bhiwani,81,5000,6000,5500
2025-10-24,Green Chilli,87,Haryana,6,Bhiwani,81,3000,6000,4500
2025-10-23,Green Chilli,87,Haryana,6,Bhiwani,81,3000,6000,4500
2025-10-18,Green Chilli,87,Haryana,6,Bhiwani,81,3000,6000,4500
2025-10-15,Green Chilli,87,Haryana,6,Bhiwani,81,3000,4000,3500
2025-10-08,Green Chilli,87,Haryana,6,Bhiwani,81,2300,5000,3650
2025-10-07,Green Chilli,87,Haryana,6,Bhiwani,81,2200,5000,3600
2025-10-06,Green Chilli,87,Haryana,6,Bhiwani,81,2000,3000,2500
2025-10-03,Green Chilli,87,Haryana,6,Bhiwani,81,3000,6000,4500
2025-10-02,Green Chilli,87,Haryana,6,Bhiwani,81,2000,2200,2100
2025-09-29,Green Chilli,87,Haryana,6,Bhiwani,81,2200,4000,3100
2025-09-26,Green Chilli,87,Haryana,6,Bhiwani,81,2500,4000,3250
2025-09-24,Green Chilli,87,Haryana,6,Bhiwani,81,1600,4000,2800
2025-09-23,Green Chilli,87,Haryana,6,Bhiwani,81,3000,4000,3500
2025-09-21,Green Chilli,87,Haryana,6,Bhiwani,81,2000,4000,3000
2025-09-20,Green Chilli,87,Haryana,6,Bhiwani,81,1600,5000,3300
2025-09-19,Green Chilli,87,Haryana,6,Bhiwani,81,2000,4000,3000
2025-09-18,Green Chilli,87,Haryana,6,Bhiwani,81,2000,4000,3000
2025-09-17,Green Chilli,87,Haryana,6,Bhiwani,81,1500,4000,2750
2025-09-15,Green Chilli,87,Haryana,6,Bhiwani,81,2200,4000,3100
2025-09-13,Green Chilli,87,Haryana,6,Bhiwani,81,2900,3000,2950
2025-09-12,Green Chilli,87,Haryana,6,Bhiwani,81,2500,4000,3250
2025-09-11,Green Chilli,87,Haryana,6,Bhiwani,81,1800,2500,2150
2025-09-10,Green Chilli,87,Haryana,6,Bhiwani,81,1600,4000,3300
2025-09-09,Green Chilli,87,Haryana,6,Bhiwani,81,1600,6000,3800
2025-09-08,Green Chilli,87,Haryana,6,Bhiwani,81,1600,6000,3800
2025-09-07,Green Chilli,87,Haryana,6,Bhiwani,81,1600,5000,3300
2025-09-06,Green Chilli,87,Haryana,6,Bhiwani,81,2500,6000,4250
2025-09-05,Green Chilli,87,Haryana,6,Bhiwani,81,2000,4000,3000
2025-09-04,Green Chilli,87,Haryana,6,Bhiwani,81,1800,4000,2900
2025-09-03,Green Chilli,87,Haryana,6,Bhiwani,81,1800,4000,2900
2025-09-02,Green Chilli,87,Haryana,6,Bhiwani,81,2500,5000,3750
2025-09-01,Green Chilli,87,Haryana,6,Bhiwani,81,2500,3000,2750
2025-08-31,Green Chilli,87,Haryana,6,Bhiwani,81,3500,7500,5500
2025-08-29,Green Chilli,87,Haryana,6,Bhiwani,81,1500,5000,3250
2025-08-28,Green Chilli,87,Haryana,6,Bhiwani,81,2000,6000,4000
2025-08-27,Green Chilli,87,Haryana,6,Bhiwani,81,2000,6000,4000
2025-08-24,Green Chilli,87,Haryana,6,Bhiwani,81,2000,5500,3750
2025-08-23,Green Chilli,87,Haryana,6,Bhiwani,81,3000,6000,4500
2025-08-22,Green Chilli,87,Haryana,6,Bhiwani,81,4000,5000,4500
2025-08-21,Green Chilli,87,Haryana,6,Bhiwani,81,3500,4800,4150
2025-08-18,Green Chilli,87,Haryana,6,Bhiwani,81,2000,5000,3500
2025-08-14,Green Chilli,87,Haryana,6,Bhiwani,81,4000,6500,5250
2025-08-13,Green Chilli,87,Haryana,6,Bhiwani,81,3000,6000,4500
2025-08-10,Green Chilli,87,Haryana,6,Bhiwani,81,4000,8000,6000
2025-08-09,Green Chilli,87,Haryana,6,Bhiwani,81,3000,4500,3750
2025-08-08,Green Chilli,87,Haryana,6,Bhiwani,81,2000,5000,3500
2025-08-05,Green Chilli,87,Haryana,6,Bhiwani,81,2500,5000,3750
2025-08-04,Green Chilli,87,Haryana,6,Bhiwani,81,3800,4000,3900
2025-08-03,Green Chilli,87,Haryana,6,Bhiwani,81,1500,1600,1550
2025-08-02,Green Chilli,87,Haryana,6,Bhiwani,81,2800,5000,3900
2025-08-01,Green Chilli,87,Haryana,6,Bhiwani,81,6000,7000,6500
2025-07-31,Green Chilli,87,Haryana,6,Bhiwani,81,4000,5000,4500
2025-07-30,Green Chilli,87,Haryana,6,Bhiwani,81,2000,8000,5000
2025-07-25,Green Chilli,87,Haryana,6,Bhiwani,81,6900,7000,6950
2025-07-24,Green Chilli,87,Haryana,6,Bhiwani,81,6000,8000,7000
2025-07-23,Green Chilli,87,Haryana,6,Bhiwani,81,3000,7000,5000
2025-07-22,Green Chilli,87,Haryana,6,Bhiwani,81,3900,4000,3950
2025-07-21,Green Chilli,87,Haryana,6,Bhiwani,81,3000,5000,4000
2025-07-18,Green Chilli,87,Haryana,6,Bhiwani,81,4000,8000,6000
2025-07-17,Green Chilli,87,Haryana,6,Bhiwani,81,4000,8000,6000
2025-07-15,Green Chilli,87,Haryana,6,Bhiwani,81,3000,4200,3600
2025-07-13,Green Chilli,87,Haryana,6,Bhiwani,81,4000,5000,4500
2025-07-12,Green Chilli,87,Haryana,6,Bhiwani,81,3500,8000,5750
2025-07-09,Green Chilli,87,Haryana,6,Bhiwani,81,3000,4000,3500
2025-07-08,Green Chilli,87,Haryana,6,Bhiwani,81,2500,3200,2850
2025-07-07,Green Chilli,87,Haryana,6,Bhiwani,81,2500,3000,2750
2025-07-06,Green Chilli,87,Haryana,6,Bhiwani,81,2000,3000,2500
2025-07-05,Green Chilli,87,Haryana,6,Bhiwani,81,3000,6000,4500
2025-07-04,Green Chilli,87,Haryana,6,Bhiwani,81,2000,4000,3000
2025-07-02,Green Chilli,87,Haryana,6,Bhiwani,81,2000,3000,2500
2025-07-01,Green Chilli,87,Haryana,6,Bhiwani,81,2000,4000,3000
2025-06-23,Green Chilli,87,Haryana,6,Bhiwani,81,1400,3500,2450
2025-06-21,Green Chilli,87,Haryana,6,Bhiwani,81,1000,3000,2000
2025-06-20,Green Chilli,87,Haryana,6,Bhiwani,81,1000,2000,1500
2025-06-19,Green Chilli,87,Haryana,6,Bhiwani,81,1500,2000,1750
2025-06-17,Green Chilli,87,Haryana,6,Bhiwani,81,1000,2000,1500
2025-06-16,Green Chilli,87,Haryana,6,Bhiwani,81,1000,3000,2000
2025-06-15,Green Chilli,87,Haryana,6,Bhiwani,81,1000,2000,1500
2025-06-14,Green Chilli,87,Haryana,6,Bhiwani,81,500,1500,1000
2025-06-13,Green Chilli,87,Haryana,6,Bhiwani,81,1000,1200,1100
2025-06-11,Green Chilli,87,Haryana,6,Bhiwani,81,1000,2000,1500
2025-06-10,Green Chilli,87,Haryana,6,Bhiwani,81,1400,1500,1450
2025-06-06,Green Chilli,87,Haryana,6,Bhiwani,81,1000,2500,1750
2025-06-05,Green Chilli,87,Haryana,6,Bhiwani,81,1400,1500,1450
2025-06-04,Green Chilli,87,Haryana,6,Bhiwani,81,1000,1500,1250
2025-06-03,Green Chilli,87,Haryana,6,Bhiwani,81,1000,2000,1500
2025-06-02,Green Chilli,87,Haryana,6,Bhiwani,81,1000,2500,1750
2025-05-30,Green Chilli,87,Haryana,6,Bhiwani,81,1200,2500,1850
2025-05-29,Green Chilli,87,Haryana,6,Bhiwani,81,1800,2400,2100
2025-05-28,Green Chilli,87,Haryana,6,Bhiwani,81,1500,2000,1750
2025-05-26,Green Chilli,87,Haryana,6,Bhiwani,81,1500,3000,2250
2025-05-25,Green Chilli,87,Haryana,6,Bhiwani,81,2000,3000,2500
2025-05-24,Green Chilli,87,Haryana,6,Bhiwani,81,1500,2200,1850
2025-05-23,Green Chilli,87,Haryana,6,Bhiwani,81,1500,2000,1750
2025-05-22,Green Chilli,87,Haryana,6,Bhiwani,81,1000,2000,1500
2025-05-21,Green Chilli,87,Haryana,6,Bhiwani,81,1500,2500,2000
2025-05-20,Green Chilli,87,Haryana,6,Bhiwani,81,1200,2000,1600
2025-05-19,Green Chilli,87,Haryana,6,Bhiwani,81,1500,3000,2250
2025-05-18,Green Chilli,87,Haryana,6,Bhiwani,81,2900,3000,2950
2025-05-17,Green Chilli,87,Haryana,6,Bhiwani,81,1500,3000,2250
2025-05-16,Green Chilli,87,Haryana,6,Bhiwani,81,1200,2000,1600
2025-05-15,Green Chilli,87,Haryana,6,Bhiwani,81,1500,3000,2250
2025-05-14,Green Chilli,87,Haryana,6,Bhiwani,81,1200,3000,2100
2025-05-13,Green Chilli,87,Haryana,6,Bhiwani,81,1500,1800,1650
2025-05-12,Green Chilli,87,Haryana,6,Bhiwani,81,1000,3000,2000
2025-05-11,Green Chilli,87,Haryana,6,Bhiwani,81,1000,2000,1500
2025-05-10,Green Chilli,87,Haryana,6,Bhiwani,81,1200,2000,1600
2025-05-09,Green Chilli,87,Haryana,6,Bhiwani,81,1200,3000,2100
2025-05-08,Green Chilli,87,Haryana,6,Bhiwani,81,1200,2000,1600
2025-05-07,Green Chilli,87,Haryana,6,Bhiwani,81,1000,3000,2000
2025-05-06,Green Chilli,87,Haryana,6,Bhiwani,81,1500,3000,2250
2025-05-05,Green Chilli,87,Haryana,6,Bhiwani,81,1500,3000,2250
2025-05-04,Green Chilli,87,Haryana,6,Bhiwani,81,1500,3000,2250
2025-05-03,Green Chilli,87,Haryana,6,Bhiwani,81,1500,3000,2250
2025-05-02,Green Chilli,87,Haryana,6,Bhiwani,81,1500,4000,2750
2025-05-01,Green Chilli,87,Haryana,6,Bhiwani,81,2000,4500,3250
2025-04-30,Green Chilli,87,Haryana,6,Bhiwani,81,1900,2000,1950
2025-04-24,Green Chilli,87,Haryana,6,Bhiwani,81,1400,3000,2200
2025-04-23,Green Chilli,87,Haryana,6,Bhiwani,81,1500,1800,1650
2025-04-22,Green Chilli,87,Haryana,6,Bhiwani,81,1000,2500,1750
2025-04-19,Green Chilli,87,Haryana,6,Bhiwani,81,1500,2500,2000
2025-04-18,Green Chilli,87,Haryana,6,Bhiwani,81,600,2000,1300
2025-04-17,Green Chilli,87,Haryana,6,Bhiwani,81,1500,3000,2250
2025-04-16,Green Chilli,87,Haryana,6,Bhiwani,81,1500,2000,1750
2025-04-13,Green Chilli,87,Haryana,6,Bhiwani,81,2000,2500,2250
2025-04-12,Green Chilli,87,Haryana,6,Bhiwani,81,1500,3000,2250
2025-04-11,Green Chilli,87,Haryana,6,Bhiwani,81,1500,3000,2250
2025-04-10,Green Chilli,87,Haryana,6,Bhiwani,81,2500,3000,2750
2025-04-09,Green Chilli,87,Haryana,6,Bhiwani,81,3000,4000,3500
2025-04-08,Green Chilli,87,Haryana,6,Bhiwani,81,900,3000,1950
2025-04-07,Green Chilli,87,Haryana,6,Bhiwani,81,2200,3000,2600
2025-04-06,Green Chilli,87,Haryana,6,Bhiwani,81,2200,3000,2600
2025-04-05,Green Chilli,87,Haryana,6,Bhiwani,81,1000,4000,2500
2025-04-04,Green Chilli,87,Haryana,6,Bhiwani,81,3000,4000,3500
2025-04-03,Green Chilli,87,Haryana,6,Bhiwani,81,2000,4000,3000
2025-04-02,Green Chilli,87,Haryana,6,Bhiwani,81,2000,4000,3000
2025-04-01,Green Chilli,87,Haryana,6,Bhiwani,81,3500,4000,3750
2025-03-30,Green Chilli,87,Haryana,6,Bhiwani,81,2000,4000,3000
2025-03-29,Green Chilli,87,Haryana,6,Bhiwani,81,2500,4000,3250
2025-03-28,Green Chilli,87,Haryana,6,Bhiwani,81,3000,5000,4000
2025-03-27,Green Chilli,87,Haryana,6,Bhiwani,81,2500,5000,3750
2025-03-26,Green Chilli,87,Haryana,6,Bhiwani,81,2500,5000,3750
2025-03-24,Green Chilli,87,Haryana,6,Bhiwani,81,2800,4000,3400
2025-03-23,Green Chilli,87,Haryana,6,Bhiwani,81,4000,5000,4500
2025-03-22,Green Chilli,87,Haryana,6,Bhiwani,81,3000,5000,4000
2025-03-21,Green Chilli,87,Haryana,6,Bhiwani,81,4000,5000,4500
2025-03-19,Green Chilli,87,Haryana,6,Bhiwani,81,2500,5500,4000
2025-03-18,Green Chilli,87,Haryana,6,Bhiwani,81,2200,6000,4100
2025-03-17,Green Chilli,87,Haryana,6,Bhiwani,81,2500,5000,3750
2025-03-16,Green Chilli,87,Haryana,6,Bhiwani,81,3000,3500,3250
2025-03-15,Green Chilli,87,Haryana,6,Bhiwani,81,2200,6000,4100
2025-03-12,Green Chilli,87,Haryana,6,Bhiwani,81,2500,6000,4250
2025-03-11,Green Chilli,87,Haryana,6,Bhiwani,81,2200,5000,3600
2025-03-10,Green Chilli,87,Haryana,6,Bhiwani,81,2000,5000,3500
2025-03-09,Green Chilli,87,Haryana,6,Bhiwani,81,2500,5220,3860
2025-03-08,Green Chilli,87,Haryana,6,Bhiwani,81,2400,5000,3700
2025-03-07,Green Chilli,87,Haryana,6,Bhiwani,81,2200,5000,3600
2025-03-06,Green Chilli,87,Haryana,6,Bhiwani,81,2500,7000,4750
2025-03-05,Green Chilli,87,Haryana,6,Bhiwani,81,2500,6000,4250
2025-03-04,Green Chilli,87,Haryana,6,Bhiwani,81,2500,7000,4750
2025-03-03,Green Chilli,87,Haryana,6,Bhiwani,81,2500,5000,3750
2025-03-02,Green Chilli,87,Haryana,6,Bhiwani,81,2500,5000,3750
2025-03-01,Green Chilli,87,Haryana,6,Bhiwani,81,2000,5000,3500
2025-02-28,Green Chilli,87,Haryana,6,Bhiwani,81,2500,5000,3750
2025-02-27,Green Chilli,87,Haryana,6,Bhiwani,81,2500,4500,3500
