date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-28,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1300,1900,1500
2025-10-26,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1550,2150,1850
2025-10-25,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1400,2300,1850
2025-10-24,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1500,2400,1950
2025-10-23,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,2000,3000,2357
2025-10-22,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1500,2200,1850
2025-10-19,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1400,1800,1600
2025-10-18,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1450,1850,1650
2025-10-17,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1340,1870,1540
2025-10-16,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1550,2300,1925
2025-10-15,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,2500,2500,2500
2025-10-14,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1775,2575,2203
2025-10-13,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1700,2250,1933.5
2025-10-12,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1200,1600,1416
2025-10-11,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1400,1800,1544
2025-10-10,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1400,1800,1601
2025-10-09,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1400,1850,1625.5
2025-10-08,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1340,1930,1648.5
2025-10-07,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1350,1925,1595
2025-10-06,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1350,2050,1610.5
2025-10-05,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1290,1850,1560
2025-10-04,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1305,2002.5,1619.5
2025-10-03,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1370,1690,1521.5
2025-10-02,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1400,1810,1650
2025-10-01,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1230,1370,1310
2025-09-30,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1200,1800,1500
2025-09-29,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1400,1490,1445
2025-09-28,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1000,1600,1187.5
2025-09-27,Green Chilli,87,Madhya Pradesh,23,Jhabua,464,1025,1540,1173.5
