date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1400,2500,1950
2025-10-29,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2000,3000,2500
2025-10-28,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1000,2000,1500
2025-10-27,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2650,3500,3075
2025-10-26,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2166.6666666666665,4166.666666666667,3166.6666666666665
2025-10-24,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3500,4250,3875
2025-10-23,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2500,5000,3750
2025-10-20,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2500,3500,3000
2025-10-19,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2750,4000,3375
2025-10-18,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2666.6666666666665,4166.666666666667,3416.6666666666665
2025-10-17,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2000,3850,2950
2025-10-16,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2750,3750,3125
2025-10-15,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3166.6666666666665,4666.666666666667,3916.6666666666665
2025-10-14,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2500,4000,3300
2025-10-13,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3250,5050,4150
2025-10-12,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3000,3500,3250
2025-10-10,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2750,3500,3125
2025-10-09,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3000,3750,3375
2025-10-08,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2666.6666666666665,4500,3500
2025-10-07,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2833.3333333333335,4666.666666666667,3700
2025-10-06,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2750,4000,3375
2025-10-04,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2500,4250,3375
2025-10-03,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2750,3750,3125
2025-10-02,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2833.3333333333335,4500,3650
2025-10-01,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2750,3000,2875
2025-09-30,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3000,6000,4500
2025-09-29,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3250,5000,4125
2025-09-28,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2000,3000,2500
2025-09-27,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2333.3333333333335,3500,2916.6666666666665
2025-09-26,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2250,3000,2625
2025-09-25,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2000,2750,2400
2025-09-24,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2500,3000,2775
2025-09-23,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2000,4000,2975
2025-09-22,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3000,3500,3250
2025-09-21,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2166.6666666666665,3166.6666666666665,2666.6666666666665
2025-09-20,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2050,3250,2650
2025-09-19,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1750,3000,2375
2025-09-18,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2333.3333333333335,3166.6666666666665,2733.3333333333335
2025-09-17,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2500,3333.3333333333335,2916.6666666666665
2025-09-16,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2500,3750,3125
2025-09-15,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2400,3250,2825
2025-09-14,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1766.6666666666667,4366.666666666667,3083.3333333333335
2025-09-13,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2000,2500,2225
2025-09-12,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1500,2750,2125
2025-09-11,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2500,3000,2775
2025-09-10,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2250,3000,2645
2025-09-09,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1750,4250,3000
2025-09-08,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2333.3333333333335,4166.666666666667,3250
2025-09-07,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2750,3500,3125
2025-09-06,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2500,3750,3125
2025-09-05,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2000,4000,3000
2025-09-04,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1500,2750,2125
2025-09-03,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1466.6666666666667,4166.666666666667,2816.6666666666665
2025-09-02,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1000,2500,1750
2025-09-01,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1800,2500,2200
2025-08-31,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2000,4333.333333333333,3166.6666666666665
2025-08-30,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2500,3000,2750
2025-08-29,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2250,3250,2725
2025-08-28,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2000,3833.3333333333335,2916.6666666666665
2025-08-27,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2000,4033.3333333333335,3000
2025-08-26,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2000,4000,3000
2025-08-25,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2500,3500,3000
2025-08-24,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2750,4500,3600
2025-08-23,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2233.3333333333335,4833.333333333333,3533.3333333333335
2025-08-22,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2750,4250,3500
2025-08-21,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3000,4500,3750
2025-08-20,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3000,4500,3750
2025-08-19,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3500,5500,4500
2025-08-18,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,4000,5000,4500
2025-08-17,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3575,7125,5337.5
2025-08-16,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,7000,8550,7750
2025-08-15,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3500,4500,4000
2025-08-14,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3000,4500,3750
2025-08-13,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,4000,5666.666666666667,4750
2025-08-12,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2333.3333333333335,6300,4233.333333333333
2025-08-11,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3000,4000,3500
2025-08-10,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3166.6666666666665,5000,4066.6666666666665
2025-08-09,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2500,4250,3375
2025-08-08,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2500,4500,3500
2025-08-07,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2500,4500,3500
2025-08-06,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3333.3333333333335,4533.333333333333,3933.3333333333335
2025-08-05,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2833.3333333333335,5000,3916.6666666666665
2025-08-04,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3000,4250,3625
2025-08-03,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3250,4500,3900
2025-08-02,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3000,4666.666666666667,3816.6666666666665
2025-08-01,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3000,4000,3500
2025-07-31,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2375,4875,3750
2025-07-30,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3166.6666666666665,5166.666666666667,4083.3333333333335
2025-07-29,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3500,5500,4500
2025-07-28,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3000,6166.666666666667,4583.333333333333
2025-07-27,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,4666.666666666667,6333.333333333333,5500
2025-07-26,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3000,7000,5000
2025-07-25,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,4000,6000,5000
2025-07-24,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,4250,5750,5000
2025-07-23,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,4000,6166.666666666667,5083.333333333333
2025-07-22,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,6000,7000,6500
2025-07-21,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,4250,5750,5000
2025-07-20,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,4750,6750,5750
2025-07-19,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,4500,6500,5500
2025-07-18,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,6000,8333.333333333334,7166.666666666667
2025-07-17,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,5000,8833.333333333334,6583.333333333333
2025-07-16,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3666.6666666666665,7000,5250
2025-07-15,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2750,7750,5250
2025-07-14,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2750,5800,4275
2025-07-13,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2000,6000,4000
2025-07-12,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,4500,6000,5250
2025-07-11,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,4500,7500,6000
2025-07-10,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,4200,6833.333333333333,5350
2025-07-09,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3600,5333.333333333333,4383.333333333333
2025-07-08,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2333.3333333333335,4366.666666666667,3183.3333333333335
2025-07-07,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,3000,4000,3500
2025-07-06,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2500,4500,3500
2025-07-05,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2250,4000,3125
2025-07-04,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2250,3500,2925
2025-07-03,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2250,3500,2875
2025-07-01,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2000,3500,2500
2025-06-30,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2000,3750,2875
2025-06-29,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1750,3750,2687.5
2025-06-28,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1750,2750,2250
2025-06-27,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2000,3000,2500
2025-06-26,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1500,2666.6666666666665,2083.3333333333335
2025-06-25,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1666.6666666666667,2833.3333333333335,2166.6666666666665
2025-06-24,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1750,2650,2200
2025-06-23,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1500,2650,2075
2025-06-22,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1625,3175,2400
2025-06-21,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1833.3333333333333,3333.3333333333335,2566.6666666666665
2025-06-20,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2500,3000,2775
2025-06-19,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2000,3000,2500
2025-06-18,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1750,3000,2375
2025-06-17,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1750,3250,2500
2025-06-16,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2000,2500,2250
2025-06-15,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2000,3250,2600
2025-06-14,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1500,4666.666666666667,3083.3333333333335
2025-06-13,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1233.3333333333333,2833.3333333333335,2050
2025-06-12,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1866.6666666666667,3800,2850
2025-06-11,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2000,3000,2500
2025-06-10,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2000,3000,2500
2025-06-09,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1500,2500,2000
2025-06-08,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1500,3250,2350
2025-06-07,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1833.3333333333333,3333.3333333333335,2583.3333333333335
2025-06-06,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1750,2750,2250
2025-06-05,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2000,3500,2750
2025-06-04,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2250,3250,2750
2025-06-03,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2250,4750,3400
2025-06-02,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1500,2500,2000
2025-06-01,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,1825,4225,2937.5
2025-05-31,Green Chilli,87,Maharashtra,27,Ahmadnagar,522,2000,3000,2500
