date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3700,3780,3740
2025-10-29,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3700,3800,3750
2025-10-28,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3700,3900,3800
2025-10-27,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3675,3825,3755
2025-10-26,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3690,3835,3760
2025-10-25,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3165,3810,3735
2025-10-24,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3600,3775,3685
2025-10-23,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3440,3520,3480
2025-10-21,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3550,3750,3650
2025-10-18,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3410,3570,3492.5
2025-10-17,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3325,3475,3400
2025-10-16,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3350,3450,3400
2025-10-15,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3350,3500,3425
2025-10-14,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3400,3600,3500
2025-10-13,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3425,3575,3500
2025-10-12,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3400,3550,3475
2025-10-11,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3375,3525,3450
2025-10-10,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3400,3600,3500
2025-10-09,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3300,3400,3350
2025-10-08,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3300,3440,3370
2025-10-07,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3350,3550,3450
2025-10-06,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3425,3565,3495
2025-10-05,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3325,3475,3400
2025-10-04,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3275,3475,3375
2025-10-03,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3275,3425,3350
2025-10-01,Green Chilli,87,Uttar Pradesh,9,Kannauj,160,3250,3450,3350
