date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2016-02-09,Green Gram (Moong)(Whole),9,Bihar,10,Muzaffarpur,216,7940,8040,8000
2016-02-08,Green Gram (Moong)(Whole),9,Bihar,10,Muzaffarpur,216,7900,8000,7960
2016-02-07,Green Gram (Moong)(Whole),9,Bihar,10,Muzaffarpur,216,7900,8000,7930
2016-02-06,Green Gram (Moong)(Whole),9,Bihar,10,Muzaffarpur,216,7800,7960,7880
2016-02-05,Green Gram (Moong)(Whole),9,Bihar,10,Muzaffarpur,216,7870,7950,7900
2016-02-04,Green Gram (Moong)(Whole),9,Bihar,10,Muzaffarpur,216,7930,8050,8000
2016-02-03,Green Gram (Moong)(Whole),9,Bihar,10,Muzaffarpur,216,7900,8000,7940
2016-02-02,Green Gram (Moong)(Whole),9,Bihar,10,Muzaffarpur,216,7890,7980,7930
2016-02-01,Green Gram (Moong)(Whole),9,Bihar,10,Muzaffarpur,216,7900,8000,7960
2016-01-25,Green Gram (Moong)(Whole),9,Bihar,10,Muzaffarpur,216,8120,8200,8180
2016-01-24,Green Gram (Moong)(Whole),9,Bihar,10,Muzaffarpur,216,8100,8170,8140
2016-01-23,Green Gram (Moong)(Whole),9,Bihar,10,Muzaffarpur,216,8100,8150,8130
2016-01-22,Green Gram (Moong)(Whole),9,Bihar,10,Muzaffarpur,216,8080,8140,8120
2016-01-21,Green Gram (Moong)(Whole),9,Bihar,10,Muzaffarpur,216,8100,8150,8130
2016-01-20,Green Gram (Moong)(Whole),9,Bihar,10,Muzaffarpur,216,8070,8170,8100
2016-01-19,Green Gram (Moong)(Whole),9,Bihar,10,Muzaffarpur,216,8080,8170,8120
2016-01-18,Green Gram (Moong)(Whole),9,Bihar,10,Muzaffarpur,216,8100,8190,8150
2016-01-17,Green Gram (Moong)(Whole),9,Bihar,10,Muzaffarpur,216,8080,8190,8140
2016-01-16,Green Gram (Moong)(Whole),9,Bihar,10,Muzaffarpur,216,8100,8170,8140
2016-01-15,Green Gram (Moong)(Whole),9,Bihar,10,Muzaffarpur,216,8070,8180,8130
2016-01-14,Green Gram (Moong)(Whole),9,Bihar,10,Muzaffarpur,216,8060,8180,8140
