date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2016-07-04,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,12750,13104,13050
2016-03-08,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,12750,13280,12900
2016-03-03,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,11700,12800,12260
2016-01-19,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,11096,12900,12600
2016-01-05,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,11000,12000,11500
2015-12-23,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,11096,11850,11500
2015-12-18,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,11096,11850,11500
2015-12-09,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,10608,10608,10608
2015-12-05,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,10500,10920,10800
2015-11-23,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,10608,10920,10800
2015-11-04,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,10500,10920,10800
2015-11-02,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,10200,10200,10200
2015-10-21,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,10220,10950,10608
2015-10-19,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,10220,10920,10500
2015-10-07,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,10500,10920,10700
2015-09-15,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,10200,11680,10920
2015-08-19,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,10220,11250,10500
2015-08-05,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,10000,10200,10100
2015-07-29,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,10900,10900,10900
2015-07-21,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,10200,10550,10250
2015-07-14,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,10200,10500,10350
2015-07-07,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,10200,11250,10700
2015-06-24,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,10000,11000,10500
2015-04-30,Green Gram Dal (Moong Dal),265,Karnataka,29,Bangalore Rural,583,9000,10000,9500
