date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Groundnut,10,Rajasthan,8,Jodhpur,113,5000,7000,6200
2025-10-29,Groundnut,10,Rajasthan,8,Jodhpur,113,5000,7000,6200
2025-10-28,Groundnut,10,Rajasthan,8,Jodhpur,113,5000,7000,6200
2025-10-27,Groundnut,10,Rajasthan,8,Jodhpur,113,5000,6900,6000
2025-10-25,Groundnut,10,Rajasthan,8,Jodhpur,113,5000,6900,6200
2025-10-24,Groundnut,10,Rajasthan,8,Jodhpur,113,5000,6900,6000
2025-09-19,Groundnut,10,Rajasthan,8,Jodhpur,113,5000,9000,7000
2025-09-18,Groundnut,10,Rajasthan,8,Jodhpur,113,4400,4800,4600
2025-08-25,Groundnut,10,Rajasthan,8,Jodhpur,113,6500,7500,7000
2025-08-19,Groundnut,10,Rajasthan,8,Jodhpur,113,5000,5400,5200
2025-07-28,Groundnut,10,Rajasthan,8,Jodhpur,113,6000,7000,6500
2025-07-04,Groundnut,10,Rajasthan,8,Jodhpur,113,4500,5000,4750
2025-07-01,Groundnut,10,Rajasthan,8,Jodhpur,113,5000,5200,5100
2025-06-20,Groundnut,10,Rajasthan,8,Jodhpur,113,4000,4400,4200
2025-05-05,Groundnut,10,Rajasthan,8,Jodhpur,113,7000,8000,7500
2025-04-24,Groundnut,10,Rajasthan,8,Jodhpur,113,7000,8000,7500
2025-04-21,Groundnut,10,Rajasthan,8,Jodhpur,113,6900,8000,7450
2025-03-22,Groundnut,10,Rajasthan,8,Jodhpur,113,5000,5800,5400
2025-03-20,Groundnut,10,Rajasthan,8,Jodhpur,113,4800,5300,5050
2025-03-19,Groundnut,10,Rajasthan,8,Jodhpur,113,4800,5200,5000
2025-03-17,Groundnut,10,Rajasthan,8,Jodhpur,113,4800,5000,4900
2025-03-11,Groundnut,10,Rajasthan,8,Jodhpur,113,4750,5400,5075
2025-03-10,Groundnut,10,Rajasthan,8,Jodhpur,113,5750,6800,6275
2025-03-08,Groundnut,10,Rajasthan,8,Jodhpur,113,4950,5450,5200
2025-03-07,Groundnut,10,Rajasthan,8,Jodhpur,113,4750,5500,5125
2025-03-06,Groundnut,10,Rajasthan,8,Jodhpur,113,4500,5100,4800
2025-03-05,Groundnut,10,Rajasthan,8,Jodhpur,113,4500,5000,4750
2025-03-04,Groundnut,10,Rajasthan,8,Jodhpur,113,4600,5000,4800
2025-03-03,Groundnut,10,Rajasthan,8,Jodhpur,113,4600,5300,4950
2025-02-22,Groundnut,10,Rajasthan,8,Jodhpur,113,4600,5300,4950
2025-02-21,Groundnut,10,Rajasthan,8,Jodhpur,113,5100,5650,5375
2025-02-19,Groundnut,10,Rajasthan,8,Jodhpur,113,4800,5550,5175
2025-02-18,Groundnut,10,Rajasthan,8,Jodhpur,113,4600,5200,4900
2025-02-17,Groundnut,10,Rajasthan,8,Jodhpur,113,4600,5300,4950
2025-02-15,Groundnut,10,Rajasthan,8,Jodhpur,113,5400,5800,5600
2025-02-14,Groundnut,10,Rajasthan,8,Jodhpur,113,5400,5800,5600
2025-02-13,Groundnut,10,Rajasthan,8,Jodhpur,113,4900,5350,5125
2025-02-11,Groundnut,10,Rajasthan,8,Jodhpur,113,4850,5400,5125
2025-02-10,Groundnut,10,Rajasthan,8,Jodhpur,113,4500,5200,4850
2025-02-08,Groundnut,10,Rajasthan,8,Jodhpur,113,4000,5000,4500
2025-02-07,Groundnut,10,Rajasthan,8,Jodhpur,113,4600,5300,4950
2025-02-06,Groundnut,10,Rajasthan,8,Jodhpur,113,4700,5400,5050
2025-02-05,Groundnut,10,Rajasthan,8,Jodhpur,113,4000,4800,4400
2025-02-01,Groundnut,10,Rajasthan,8,Jodhpur,113,4400,4900,4650
2025-01-31,Groundnut,10,Rajasthan,8,Jodhpur,113,4500,5000,4750
2025-01-30,Groundnut,10,Rajasthan,8,Jodhpur,113,4750,5200,4975
2025-01-29,Groundnut,10,Rajasthan,8,Jodhpur,113,5650,6450,6050
2025-01-28,Groundnut,10,Rajasthan,8,Jodhpur,113,5200,5600,5400
2025-01-27,Groundnut,10,Rajasthan,8,Jodhpur,113,4800,5400,5100
2025-01-25,Groundnut,10,Rajasthan,8,Jodhpur,113,4800,5400,5100
2025-01-24,Groundnut,10,Rajasthan,8,Jodhpur,113,4800,5400,5100
2025-01-23,Groundnut,10,Rajasthan,8,Jodhpur,113,5650,7600,6050
2025-01-22,Groundnut,10,Rajasthan,8,Jodhpur,113,5300,5700,5500
2025-01-21,Groundnut,10,Rajasthan,8,Jodhpur,113,4800,5600,5200
2025-01-20,Groundnut,10,Rajasthan,8,Jodhpur,113,4800,5500,5150
2025-01-18,Groundnut,10,Rajasthan,8,Jodhpur,113,4800,5600,5200
2025-01-17,Groundnut,10,Rajasthan,8,Jodhpur,113,5800,6000,5900
2025-01-16,Groundnut,10,Rajasthan,8,Jodhpur,113,5700,6400,6050
2025-01-15,Groundnut,10,Rajasthan,8,Jodhpur,113,5300,5850,5575
2025-01-14,Groundnut,10,Rajasthan,8,Jodhpur,113,5300,5850,5575
2025-01-13,Groundnut,10,Rajasthan,8,Jodhpur,113,5900,6750,6325
2025-01-11,Groundnut,10,Rajasthan,8,Jodhpur,113,5000,6100,5550
2025-01-10,Groundnut,10,Rajasthan,8,Jodhpur,113,5400,6000,5700
2025-01-09,Groundnut,10,Rajasthan,8,Jodhpur,113,5000,5600,5500
2025-01-08,Groundnut,10,Rajasthan,8,Jodhpur,113,5000,6000,5500
2025-01-07,Groundnut,10,Rajasthan,8,Jodhpur,113,5650,6750,6200
2025-01-06,Groundnut,10,Rajasthan,8,Jodhpur,113,4800,6200,5500
2025-01-03,Groundnut,10,Rajasthan,8,Jodhpur,113,5300,5950,5625
2025-01-02,Groundnut,10,Rajasthan,8,Jodhpur,113,4800,6300,5550
2025-01-01,Groundnut,10,Rajasthan,8,Jodhpur,113,4800,6400,5600
2024-12-31,Groundnut,10,Rajasthan,8,Jodhpur,113,5700,6633.333333333333,6166.666666666667
2024-12-30,Groundnut,10,Rajasthan,8,Jodhpur,113,5650,6950,6300
2024-12-28,Groundnut,10,Rajasthan,8,Jodhpur,113,4800,6400,5600
2024-12-27,Groundnut,10,Rajasthan,8,Jodhpur,113,5400,6250,5825
2024-12-26,Groundnut,10,Rajasthan,8,Jodhpur,113,5400,6250,5825
2024-12-25,Groundnut,10,Rajasthan,8,Jodhpur,113,4800,6300,5550
2024-12-13,Groundnut,10,Rajasthan,8,Jodhpur,113,5400,6250,5825
