date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,4950,4850
2025-10-29,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4625,4700,4650
2025-10-28,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4000,4400,4000
2025-10-27,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4475,4555,4525
2025-10-26,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4000,4500,4400
2025-10-25,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4450,4650,4590
2025-10-24,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4550,4650,4600
2025-10-23,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4550,4660,4610
2025-10-18,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4650,4750,4700
2025-10-17,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4550,4650,4630
2025-10-16,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4300,4375,4355
2025-10-15,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4350,4400,4375
2025-10-14,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4000,4000,4000
2025-10-13,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4450,4570,4530
2025-10-12,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4200,4250,4230
2025-10-11,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4150,4210,4175
2025-10-09,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4250,4320,4280
2025-10-08,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4250,4460,4330
2025-10-06,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4200,4300,4260
2025-10-05,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4250,4350,4300
2025-09-27,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4300,4425,4355
2025-09-26,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4300,4460,4365
2025-09-24,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4300,4450,4350
2025-09-22,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4300,4420,4330
2025-09-19,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4300,4450,4350
2025-09-18,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4250,4360,4300
2025-09-17,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4350,4470,4390
2025-09-15,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4350,4500,4400
2025-09-14,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4400,4530,4480
2025-09-13,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4500,4600,4550
2025-09-12,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4550,4650,4600
2025-09-11,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4700,4830,4750
2025-09-10,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4850,5000,4900
2025-09-08,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,4950,4850
2025-09-07,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,5000,4850
2025-09-06,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4950,5100,5000
2025-09-05,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,5000,4850
2025-09-01,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4400,4500,4460
2025-08-30,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4450,4550,4500
2025-08-29,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4400,4500,4450
2025-08-28,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4400,4550,4480
2025-08-27,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4500,4600,4530
2025-08-25,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4500,4600,4550
2025-08-24,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4450,4550,4510
2025-08-23,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4500,4600,4550
2025-08-22,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4450,4550,4500
2025-08-21,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4450,4560,4510
2025-08-20,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4500,4650,4550
2025-08-18,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4480,4600,4520
2025-08-17,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4450,4590,4500
2025-08-16,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4500,4600,4560
2025-08-15,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4500,4650,4580
2025-08-14,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4500,4600,4550
2025-08-08,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4600,4730,4670
2025-08-07,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4600,4750,4650
2025-08-06,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4400,4475,4435
2025-08-04,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,4900,4840
2025-08-03,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,4900,4830
2025-08-02,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4650,4740,4690
2025-08-01,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4850,5000,4900
2025-07-31,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4950,5050,5000
2025-07-30,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4950,5050,5025
2025-07-28,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4950,5100,5000
2025-07-27,Groundnut,10,Uttar Pradesh,9,Mahoba,169,5050,5150,5100
2025-07-25,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4675,4750,4700
2025-07-23,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4900,5000,4950
2025-07-20,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4750,4900,4800
2025-07-19,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4760,4900,4830
2025-07-18,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,4920,4850
2025-07-17,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4750,4850,4810
2025-07-16,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4750,4850,4800
2025-07-15,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4500,4500,4500
2025-07-14,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4700,4850,4730
2025-07-13,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4700,4800,4740
2025-07-12,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4650,4760,4700
2025-07-11,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4680,4850,4720
2025-07-09,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4550,4625,4590
2025-07-08,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4500,4500,4500
2025-07-07,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4525,4625,4565
2025-07-06,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4700,4820,4750
2025-07-05,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4700,4820,4790
2025-07-04,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,4930,4840
2025-07-03,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,4930,4830
2025-07-02,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,4900,4850
2025-06-30,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4550,4650,4610
2025-06-29,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4625,4685,4650
2025-06-28,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4770,4900,4820
2025-06-27,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4750,4900,4810
2025-06-26,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4650,4725,4670
2025-06-25,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4625,4700,4662.5
2025-06-23,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4750,4850,4800
2025-06-22,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4500,4700,4660
2025-06-21,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4750,4890,4800
2025-06-20,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,4950,4860
2025-06-19,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4650,4725,4675
2025-06-18,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4665,4725,4665
2025-06-17,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4500,4500,4500
2025-06-16,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4625,4700,4655
2025-06-15,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,4900,4840
2025-06-14,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,4950,4850
2025-06-13,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,4950,4870
2025-06-12,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,4900,4860
2025-06-11,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4650,4700,4675
2025-06-09,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,4900,4830
2025-06-08,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4550,4850,4800
2025-06-07,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4600,4850,4800
2025-06-06,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4700,4800,4750
2025-06-05,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4550,4750,4660
2025-06-04,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4550,4650,4600
2025-06-02,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4300,4350,4325
2025-06-01,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4550,4850,4750
2025-05-31,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4750,4870,4800
2025-05-30,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,5000,4850
2025-05-29,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4600,4700,4650
2025-05-28,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4900,5000,4950
2025-05-26,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4900,5020,4930
2025-05-25,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4850,5000,4900
2025-05-24,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4750,4880,4800
2025-05-23,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4700,4830,4770
2025-05-22,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4500,4950,4850
2025-05-21,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4750,4850,4800
2025-05-19,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,4950,4840
2025-05-18,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4750,4900,4810
2025-05-17,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,4950,4850
2025-05-16,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,4950,4880
2025-05-15,Groundnut,10,Uttar Pradesh,9,Mahoba,169,5000,5150,5020
2025-05-14,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,4930,4860
2025-05-11,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4850,4970,4900
2025-05-10,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,4950,4880
2025-05-09,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,4950,4850
2025-05-08,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4850,4980,4900
2025-05-07,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4900,5030,4950
2025-05-05,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4425,4475,4450
2025-05-04,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,4970,4860
2025-05-03,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4750,4860,4800
2025-05-02,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4650,4800,4720
2025-05-01,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4600,4750,4630
2025-04-30,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4550,4650,4600
2025-04-28,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4800,4930,4850
2025-04-27,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4650,4800,4710
2025-04-26,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4700,4820,4750
2025-04-25,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4700,4850,4780
2025-04-24,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4750,4850,4800
2025-04-23,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4450,4525,4475
2025-04-22,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4200,4200,4200
2025-04-21,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4680,4790,4720
2025-04-20,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4450,4625,4575
2025-04-19,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4700,4850,4760
2025-04-18,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4750,4900,4800
2025-04-17,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4700,4850,4750
2025-04-16,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4600,4750,4680
2025-04-13,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4600,4700,4660
2025-04-12,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4400,4500,4500
2025-04-11,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4700,4850,4730
2025-04-10,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4700,4850,4760
2025-04-09,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4700,4850,4750
2025-04-07,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4700,4850,4720
2025-04-05,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4600,4800,4670
2025-04-03,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4770,4890,4810
2025-04-02,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4450,4510,4460
2025-03-29,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4700,4850,4750
2025-03-28,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4650,4750,4700
2025-03-27,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4600,4750,4680
2025-03-26,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4600,4750,4650
2025-03-24,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4525,4600,4560
2025-03-23,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4550,4650,4600
2025-03-22,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4575,4625,4600
2025-03-21,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4500,4600,4550
2025-03-20,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4600,4700,4650
2025-03-19,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4325,4375,4350
2025-03-18,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4000,4200,4200
2025-03-17,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4450,4650,4600
2025-03-12,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4975,5025,5000
2025-03-11,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4000,4200,4000
2025-03-10,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4250,4315,4280
2025-03-09,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4180,4255,4200
2025-03-08,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4500,4680,4580
2025-03-07,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4500,4650,4550
2025-03-06,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4550,4700,4600
2025-03-05,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4300,4365,4325
2025-03-04,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4300,4300,4300
2025-03-03,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4175,4425,4250
2025-03-02,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4300,4400,4360
2025-03-01,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4300,4450,4370
2025-02-28,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4350,4500,4450
2025-02-27,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4350,4450,4400
2025-02-26,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4200,4750,4730
2025-02-25,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4000,4000,4000
2025-02-24,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4200,4700,4625
2025-02-23,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4050,4350,4185
2025-02-22,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4050,4250,4100
2025-02-21,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4300,4400,4350
2025-02-20,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4025,4250,4155
2025-02-19,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4075,4300,4105
2025-02-18,Groundnut,10,Uttar Pradesh,9,Mahoba,169,3800,4000,3800
2025-02-17,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4050,4235,4065
2025-02-16,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4040,4200,4110
2025-02-15,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4050,4285,4215
2025-02-14,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4300,4550,4350
2025-02-13,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4075,4250,4135
2025-02-12,Groundnut,10,Uttar Pradesh,9,Mahoba,169,3800,4000,4000
2025-02-11,Groundnut,10,Uttar Pradesh,9,Mahoba,169,3900,4000,4000
2025-02-10,Groundnut,10,Uttar Pradesh,9,Mahoba,169,4100,4250,4195
