date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Guava,185,Himachal Pradesh,2,Kangra,24,5333.333333333333,6333.333333333333,5833.333333333333
2025-10-29,Guava,185,Himachal Pradesh,2,Kangra,24,5750,6750,6250
2025-10-28,Guava,185,Himachal Pradesh,2,Kangra,24,5625,6625,6125
2025-10-27,Guava,185,Himachal Pradesh,2,Kangra,24,6300,7000,6620
2025-10-25,Guava,185,Himachal Pradesh,2,Kangra,24,6500,7166.666666666667,6833.333333333333
2025-10-24,Guava,185,Himachal Pradesh,2,Kangra,24,6125,6625,6375
2025-10-23,Guava,185,Himachal Pradesh,2,Kangra,24,6000,6500,6250
2025-10-22,Guava,185,Himachal Pradesh,2,Kangra,24,6000,6500,6200
2025-10-20,Guava,185,Himachal Pradesh,2,Kangra,24,6000,6500,6300
2025-10-18,Guava,185,Himachal Pradesh,2,Kangra,24,6125,6875,6475
2025-10-17,Guava,185,Himachal Pradesh,2,Kangra,24,6000,6800,6380
2025-10-16,Guava,185,Himachal Pradesh,2,Kangra,24,6000,6666.666666666667,6300
2025-10-15,Guava,185,Himachal Pradesh,2,Kangra,24,6500,7166.666666666667,6800
2025-10-14,Guava,185,Himachal Pradesh,2,Kangra,24,6875,7875,7375
2025-10-13,Guava,185,Himachal Pradesh,2,Kangra,24,6600,7400,7040
2025-10-11,Guava,185,Himachal Pradesh,2,Kangra,24,6750,7750,7250
2025-10-10,Guava,185,Himachal Pradesh,2,Kangra,24,7500,8500,8000
2025-10-09,Guava,185,Himachal Pradesh,2,Kangra,24,6600,7600,7100
2025-10-08,Guava,185,Himachal Pradesh,2,Kangra,24,6625,7875,7250
2025-10-07,Guava,185,Himachal Pradesh,2,Kangra,24,6500,7500,7000
2025-10-06,Guava,185,Himachal Pradesh,2,Kangra,24,6625,7625,7125
2025-10-04,Guava,185,Himachal Pradesh,2,Kangra,24,7166.666666666667,8166.666666666667,7666.666666666667
2025-10-03,Guava,185,Himachal Pradesh,2,Kangra,24,6400,7400,6900
2025-10-01,Guava,185,Himachal Pradesh,2,Kangra,24,6500,7500,7000
2025-09-30,Guava,185,Himachal Pradesh,2,Kangra,24,6125,7125,6625
2025-09-29,Guava,185,Himachal Pradesh,2,Kangra,24,6300,7300,6780
2025-09-27,Guava,185,Himachal Pradesh,2,Kangra,24,6166.666666666667,7333.333333333333,6766.666666666667
2025-09-26,Guava,185,Himachal Pradesh,2,Kangra,24,6300,7500,6880
2025-09-25,Guava,185,Himachal Pradesh,2,Kangra,24,4500,7166.666666666667,5700
2025-09-24,Guava,185,Himachal Pradesh,2,Kangra,24,4875,6375,5625
2025-09-23,Guava,185,Himachal Pradesh,2,Kangra,24,5071.428571428572,7285.714285714285,6242.857142857143
2025-09-22,Guava,185,Himachal Pradesh,2,Kangra,24,4750,7083.333333333333,5833.333333333333
2025-09-20,Guava,185,Himachal Pradesh,2,Kangra,24,5000,6750,5800
2025-09-19,Guava,185,Himachal Pradesh,2,Kangra,24,4375,6000,5175
2025-09-18,Guava,185,Himachal Pradesh,2,Kangra,24,5083.333333333333,6333.333333333333,5716.666666666667
2025-09-17,Guava,185,Himachal Pradesh,2,Kangra,24,3333.3333333333335,6000,4666.666666666667
2025-09-16,Guava,185,Himachal Pradesh,2,Kangra,24,5000,6250,5500
2025-09-15,Guava,185,Himachal Pradesh,2,Kangra,24,4000,6000,5000
2025-09-13,Guava,185,Himachal Pradesh,2,Kangra,24,3000,6000,4500
2025-09-12,Guava,185,Himachal Pradesh,2,Kangra,24,4333.333333333333,6500,5416.666666666667
2025-09-11,Guava,185,Himachal Pradesh,2,Kangra,24,4400,6200,5300
2025-09-10,Guava,185,Himachal Pradesh,2,Kangra,24,5375,6375,5850
2025-09-09,Guava,185,Himachal Pradesh,2,Kangra,24,5200,6160,5660
2025-09-08,Guava,185,Himachal Pradesh,2,Kangra,24,5200,6050,5616.666666666667
2025-09-06,Guava,185,Himachal Pradesh,2,Kangra,24,4700,5716.666666666667,5200
2025-09-05,Guava,185,Himachal Pradesh,2,Kangra,24,4400,5700,5040
2025-09-04,Guava,185,Himachal Pradesh,2,Kangra,24,4640,5660,5140
2025-09-03,Guava,185,Himachal Pradesh,2,Kangra,24,5240,6560,5880
2025-09-02,Guava,185,Himachal Pradesh,2,Kangra,24,5240,6560,5900
2025-09-01,Guava,185,Himachal Pradesh,2,Kangra,24,5400,6100,5800
2025-08-30,Guava,185,Himachal Pradesh,2,Kangra,24,4940,5760,5360
2025-08-29,Guava,185,Himachal Pradesh,2,Kangra,24,4440,5460,4960
2025-08-28,Guava,185,Himachal Pradesh,2,Kangra,24,4500,5500,5000
2025-08-27,Guava,185,Himachal Pradesh,2,Kangra,24,5250,6250,5750
2025-08-26,Guava,185,Himachal Pradesh,2,Kangra,24,5375,6500,6000
2025-08-25,Guava,185,Himachal Pradesh,2,Kangra,24,5400,6500,6000
2025-08-23,Guava,185,Himachal Pradesh,2,Kangra,24,5375,6500,6000
2025-08-22,Guava,185,Himachal Pradesh,2,Kangra,24,5333.333333333333,6333.333333333333,5833.333333333333
2025-08-21,Guava,185,Himachal Pradesh,2,Kangra,24,5500,6333.333333333333,5900
2025-08-20,Guava,185,Himachal Pradesh,2,Kangra,24,6325,6875,6575
2025-08-19,Guava,185,Himachal Pradesh,2,Kangra,24,5575,6375,5925
2025-08-18,Guava,185,Himachal Pradesh,2,Kangra,24,6266.666666666667,6666.666666666667,6433.333333333333
2025-08-16,Guava,185,Himachal Pradesh,2,Kangra,24,6300,6533.333333333333,6400
2025-08-15,Guava,185,Himachal Pradesh,2,Kangra,24,6900,7250,7050
2025-08-14,Guava,185,Himachal Pradesh,2,Kangra,24,6450,6875,6625
2025-08-13,Guava,185,Himachal Pradesh,2,Kangra,24,6266.666666666667,6666.666666666667,6433.333333333333
2025-08-12,Guava,185,Himachal Pradesh,2,Kangra,24,6450,7000,6700
2025-08-11,Guava,185,Himachal Pradesh,2,Kangra,24,6266.666666666667,6833.333333333333,6533.333333333333
2025-08-10,Guava,185,Himachal Pradesh,2,Kangra,24,11000,12000,11500
2025-08-09,Guava,185,Himachal Pradesh,2,Kangra,24,6000,6500,6200
2025-08-08,Guava,185,Himachal Pradesh,2,Kangra,24,6450,6875,6625
2025-08-07,Guava,185,Himachal Pradesh,2,Kangra,24,5500,6000,5700
