date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-27,Guava,185,Punjab,3,Sangrur,53,3000,5000,4000
2025-10-25,Guava,185,Punjab,3,Sangrur,53,5000,5000,5000
2025-10-24,Guava,185,Punjab,3,Sangrur,53,5000,5000,5000
2025-10-22,Guava,185,Punjab,3,Sangrur,53,3500,3500,3500
2025-10-18,Guava,185,Punjab,3,Sangrur,53,5250,5750,5500
2025-10-17,Guava,185,Punjab,3,Sangrur,53,6000,6000,6000
2025-10-16,Guava,185,Punjab,3,Sangrur,53,3500,3500,3500
2025-10-15,Guava,185,Punjab,3,Sangrur,53,4000,4000,4000
2025-10-14,Guava,185,Punjab,3,Sangrur,53,6000,6000,6000
2025-10-13,Guava,185,Punjab,3,Sangrur,53,6000,6000,6000
2025-10-11,Guava,185,Punjab,3,Sangrur,53,5000,5000,5000
2025-10-10,Guava,185,Punjab,3,Sangrur,53,3000,3000,3000
2025-10-08,Guava,185,Punjab,3,Sangrur,53,3000,3000,3000
2025-10-07,Guava,185,Punjab,3,Sangrur,53,3000,3000,3000
2025-10-03,Guava,185,Punjab,3,Sangrur,53,3000,3000,3000
2025-09-30,Guava,185,Punjab,3,Sangrur,53,3500,4000,3750
2025-09-27,Guava,185,Punjab,3,Sangrur,53,2500,2500,2500
2025-09-26,Guava,185,Punjab,3,Sangrur,53,3000,3000,3000
2025-09-25,Guava,185,Punjab,3,Sangrur,53,1700,2000,1800
2025-09-24,Guava,185,Punjab,3,Sangrur,53,3250,3800,3350
2025-09-23,Guava,185,Punjab,3,Sangrur,53,3000,4000,3500
2025-09-19,Guava,185,Punjab,3,Sangrur,53,3000,3000,3000
2025-09-18,Guava,185,Punjab,3,Sangrur,53,3000,3000,3000
2025-09-17,Guava,185,Punjab,3,Sangrur,53,3000,3000,3000
2025-09-15,Guava,185,Punjab,3,Sangrur,53,3000,5000,4000
2025-09-13,Guava,185,Punjab,3,Sangrur,53,2500,2500,2500
2025-09-12,Guava,185,Punjab,3,Sangrur,53,3000,4000,3500
2025-09-11,Guava,185,Punjab,3,Sangrur,53,2500,2500,2500
2025-09-10,Guava,185,Punjab,3,Sangrur,53,5000,5000,5000
2025-09-09,Guava,185,Punjab,3,Sangrur,53,4000,4000,4000
2025-09-08,Guava,185,Punjab,3,Sangrur,53,3000,4000,3500
2025-09-04,Guava,185,Punjab,3,Sangrur,53,4000,4000,4000
2025-09-01,Guava,185,Punjab,3,Sangrur,53,2500,2500,2500
2025-08-29,Guava,185,Punjab,3,Sangrur,53,4000,4000,4000
2025-08-28,Guava,185,Punjab,3,Sangrur,53,4000,4000,4000
2025-08-21,Guava,185,Punjab,3,Sangrur,53,1800,3000,2400
2025-08-16,Guava,185,Punjab,3,Sangrur,53,3500,4500,4000
2025-08-15,Guava,185,Punjab,3,Sangrur,53,4000,5250,4500
2025-08-14,Guava,185,Punjab,3,Sangrur,53,4000,4500,4250
2025-08-13,Guava,185,Punjab,3,Sangrur,53,3000,5000,3400
2025-08-12,Guava,185,Punjab,3,Sangrur,53,1000,4000,2000
2025-08-11,Guava,185,Punjab,3,Sangrur,53,2700,3000,2833.3333333333335
2025-08-10,Guava,185,Punjab,3,Sangrur,53,2000,3000,2600
2025-08-09,Guava,185,Punjab,3,Sangrur,53,2500,3000,2800
2025-08-08,Guava,185,Punjab,3,Sangrur,53,2700,5033.333333333333,3500
2025-08-07,Guava,185,Punjab,3,Sangrur,53,2700,4333.333333333333,3500
2025-08-06,Guava,185,Punjab,3,Sangrur,53,3033.3333333333335,3666.6666666666665,3333.3333333333335
2025-08-05,Guava,185,Punjab,3,Sangrur,53,1200,4000,3200
2025-08-01,Guava,185,Punjab,3,Sangrur,53,6000,6000,6000
2025-07-31,Guava,185,Punjab,3,Sangrur,53,4750,5250,5000
2025-07-29,Guava,185,Punjab,3,Sangrur,53,2500,6000,5000
2025-07-28,Guava,185,Punjab,3,Sangrur,53,4900,5100,5000
2025-07-25,Guava,185,Punjab,3,Sangrur,53,4500,5000,4750
2025-07-22,Guava,185,Punjab,3,Sangrur,53,2500,4000,3500
2025-07-21,Guava,185,Punjab,3,Sangrur,53,4250,4750,4500
2025-07-18,Guava,185,Punjab,3,Sangrur,53,3000,4000,3500
2025-07-17,Guava,185,Punjab,3,Sangrur,53,3500,4500,4000
2025-07-12,Guava,185,Punjab,3,Sangrur,53,4000,5000,4600
2025-07-07,Guava,185,Punjab,3,Sangrur,53,5000,5500,5500
2025-07-04,Guava,185,Punjab,3,Sangrur,53,4000,5000,4500
2025-06-20,Guava,185,Punjab,3,Sangrur,53,7000,10000,8800
2025-06-16,Guava,185,Punjab,3,Sangrur,53,7000,10000,8800
2025-06-11,Guava,185,Punjab,3,Sangrur,53,7000,10000,8800
2025-06-09,Guava,185,Punjab,3,Sangrur,53,7000,10000,8800
2025-06-05,Guava,185,Punjab,3,Sangrur,53,7000,10000,8800
2025-06-04,Guava,185,Punjab,3,Sangrur,53,7000,10000,8800
2025-06-02,Guava,185,Punjab,3,Sangrur,53,7000,10000,8800
2025-05-28,Guava,185,Punjab,3,Sangrur,53,7000,10000,8800
2025-05-27,Guava,185,Punjab,3,Sangrur,53,7000,10000,8800
2025-05-26,Guava,185,Punjab,3,Sangrur,53,7000,10000,8800
2025-05-23,Guava,185,Punjab,3,Sangrur,53,7000,10000,8800
2025-05-22,Guava,185,Punjab,3,Sangrur,53,7000,10000,8800
2025-05-21,Guava,185,Punjab,3,Sangrur,53,7000,10000,8800
2025-05-20,Guava,185,Punjab,3,Sangrur,53,7000,10000,8800
2025-05-19,Guava,185,Punjab,3,Sangrur,53,7000,10000,8800
2025-05-16,Guava,185,Punjab,3,Sangrur,53,7000,10000,8800
2025-05-15,Guava,185,Punjab,3,Sangrur,53,7000,10000,8800
2025-05-14,Guava,185,Punjab,3,Sangrur,53,7000,10000,8800
2025-05-13,Guava,185,Punjab,3,Sangrur,53,7000,10000,8800
2025-04-30,Guava,185,Punjab,3,Sangrur,53,2500,3500,3000
2025-04-29,Guava,185,Punjab,3,Sangrur,53,2500,3500,3000
2025-04-26,Guava,185,Punjab,3,Sangrur,53,4000,5000,4500
2025-04-25,Guava,185,Punjab,3,Sangrur,53,2500,3500,3000
2025-04-24,Guava,185,Punjab,3,Sangrur,53,2500,3500,3000
2025-04-23,Guava,185,Punjab,3,Sangrur,53,2750,3250,3000
2025-04-22,Guava,185,Punjab,3,Sangrur,53,4250,5250,4750
2025-04-21,Guava,185,Punjab,3,Sangrur,53,4250,4950,4600
2025-04-19,Guava,185,Punjab,3,Sangrur,53,3750,4750,4250
2025-04-18,Guava,185,Punjab,3,Sangrur,53,2500,3500,3000
2025-04-17,Guava,185,Punjab,3,Sangrur,53,6000,6000,6000
2025-04-16,Guava,185,Punjab,3,Sangrur,53,2500,3500,3000
2025-04-15,Guava,185,Punjab,3,Sangrur,53,3000,3500,3250
2025-04-11,Guava,185,Punjab,3,Sangrur,53,4500,5750,5000
2025-04-10,Guava,185,Punjab,3,Sangrur,53,3000,4000,3500
2025-04-08,Guava,185,Punjab,3,Sangrur,53,3000,3500,3500
2025-04-03,Guava,185,Punjab,3,Sangrur,53,4000,5000,4000
2025-04-02,Guava,185,Punjab,3,Sangrur,53,4200,5000,4200
2025-03-31,Guava,185,Punjab,3,Sangrur,53,4500,4600,4500
2025-03-29,Guava,185,Punjab,3,Sangrur,53,4500,4600,4500
2025-03-28,Guava,185,Punjab,3,Sangrur,53,4000,4050,4000
2025-03-27,Guava,185,Punjab,3,Sangrur,53,4500,4800,4500
2025-03-26,Guava,185,Punjab,3,Sangrur,53,4500,4600,4500
2025-03-24,Guava,185,Punjab,3,Sangrur,53,3033.3333333333335,3300,3166.6666666666665
2025-03-18,Guava,185,Punjab,3,Sangrur,53,2500,4250,3250
2025-03-15,Guava,185,Punjab,3,Sangrur,53,2000,3500,2500
2025-03-14,Guava,185,Punjab,3,Sangrur,53,2366.6666666666665,3166.6666666666665,2600
2025-03-13,Guava,185,Punjab,3,Sangrur,53,2050,2600,2400
2025-03-12,Guava,185,Punjab,3,Sangrur,53,2650,3250,2887.5
2025-03-11,Guava,185,Punjab,3,Sangrur,53,3000,4000,3333.3333333333335
2025-03-10,Guava,185,Punjab,3,Sangrur,53,2866.6666666666665,3500,3100
2025-03-07,Guava,185,Punjab,3,Sangrur,53,1600,2000,1800
2025-03-06,Guava,185,Punjab,3,Sangrur,53,4000,5000,4000
2025-03-05,Guava,185,Punjab,3,Sangrur,53,3333.3333333333335,4500,3750
2025-03-04,Guava,185,Punjab,3,Sangrur,53,2666.6666666666665,3666.6666666666665,2900
2025-03-01,Guava,185,Punjab,3,Sangrur,53,3000,4000,3500
2025-02-28,Guava,185,Punjab,3,Sangrur,53,3125,3925,3450
2025-02-27,Guava,185,Punjab,3,Sangrur,53,2500,4000,3000
2025-02-26,Guava,185,Punjab,3,Sangrur,53,3333.3333333333335,4666.666666666667,3900
2025-02-25,Guava,185,Punjab,3,Sangrur,53,2750,3000,2850
2025-02-24,Guava,185,Punjab,3,Sangrur,53,4250,5000,4500
2025-02-22,Guava,185,Punjab,3,Sangrur,53,2500,3750,3000
2025-02-21,Guava,185,Punjab,3,Sangrur,53,4500,5333.333333333333,4833.333333333333
