date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2022-09-07,Indian Beans (Seam),299,Kerala,32,Wayanad,590,9400,9500,9450
2022-09-05,Indian Beans (Seam),299,Kerala,32,Wayanad,590,7900,8000,7950
2022-09-04,Indian Beans (Seam),299,Kerala,32,Wayanad,590,7000,8000,7500
2016-10-27,Indian Beans (Seam),299,Kerala,32,Wayanad,590,1800,2000,1800
2016-10-26,Indian Beans (Seam),299,Kerala,32,Wayanad,590,1800,2000,1800
2016-10-25,Indian Beans (Seam),299,Kerala,32,Wayanad,590,2000,2100,2000
2016-10-24,Indian Beans (Seam),299,Kerala,32,Wayanad,590,2000,2100,2000
2016-10-22,Indian Beans (Seam),299,Kerala,32,Wayanad,590,2400,2500,2400
2016-10-21,Indian Beans (Seam),299,Kerala,32,Wayanad,590,2500,2600,2500
2016-10-20,Indian Beans (Seam),299,Kerala,32,Wayanad,590,2500,2600,2500
2016-10-19,Indian Beans (Seam),299,Kerala,32,Wayanad,590,2000,2100,2000
2016-10-18,Indian Beans (Seam),299,Kerala,32,Wayanad,590,2200,2300,2200
2016-10-17,Indian Beans (Seam),299,Kerala,32,Wayanad,590,2500,2600,2500
2016-10-15,Indian Beans (Seam),299,Kerala,32,Wayanad,590,2500,2600,2500
2016-10-14,Indian Beans (Seam),299,Kerala,32,Wayanad,590,2500,2600,2500
2016-10-07,Indian Beans (Seam),299,Kerala,32,Wayanad,590,3000,3100,3100
2016-10-06,Indian Beans (Seam),299,Kerala,32,Wayanad,590,2800,2900,2800
2016-10-05,Indian Beans (Seam),299,Kerala,32,Wayanad,590,2800,2900,2800
2016-10-04,Indian Beans (Seam),299,Kerala,32,Wayanad,590,2800,2900,2800
2016-10-03,Indian Beans (Seam),299,Kerala,32,Wayanad,590,2500,2600,2600
2016-10-01,Indian Beans (Seam),299,Kerala,32,Wayanad,590,2500,2600,2500
2016-09-30,Indian Beans (Seam),299,Kerala,32,Wayanad,590,1700,1800,1700
2016-09-29,Indian Beans (Seam),299,Kerala,32,Wayanad,590,1700,1800,1700
2016-09-28,Indian Beans (Seam),299,Kerala,32,Wayanad,590,1700,1800,1700
2016-09-27,Indian Beans (Seam),299,Kerala,32,Wayanad,590,1700,1800,1700
2016-09-26,Indian Beans (Seam),299,Kerala,32,Wayanad,590,1700,1800,1700
2016-09-24,Indian Beans (Seam),299,Kerala,32,Wayanad,590,1700,1800,1700
2016-09-23,Indian Beans (Seam),299,Kerala,32,Wayanad,590,1700,1800,1800
2016-09-22,Indian Beans (Seam),299,Kerala,32,Wayanad,590,1700,1800,1700
2016-09-21,Indian Beans (Seam),299,Kerala,32,Wayanad,590,1700,1800,1700
2016-09-20,Indian Beans (Seam),299,Kerala,32,Wayanad,590,1700,1800,1700
2016-09-19,Indian Beans (Seam),299,Kerala,32,Wayanad,590,1500,1600,1500
2016-09-17,Indian Beans (Seam),299,Kerala,32,Wayanad,590,1400,1500,1400
2016-09-16,Indian Beans (Seam),299,Kerala,32,Wayanad,590,1400,1500,1400
2016-09-15,Indian Beans (Seam),299,Kerala,32,Wayanad,590,1500,1700,1500
2016-09-08,Indian Beans (Seam),299,Kerala,32,Wayanad,590,3200,3300,3200
2016-09-07,Indian Beans (Seam),299,Kerala,32,Wayanad,590,1200,1300,1200
2016-09-06,Indian Beans (Seam),299,Kerala,32,Wayanad,590,1200,1300,1300
2016-09-05,Indian Beans (Seam),299,Kerala,32,Wayanad,590,1000,1200,1100
2016-09-03,Indian Beans (Seam),299,Kerala,32,Wayanad,590,800,1000,800
2016-09-01,Indian Beans (Seam),299,Kerala,32,Wayanad,590,800,1000,800
2016-08-31,Indian Beans (Seam),299,Kerala,32,Wayanad,590,800,1000,900
2016-08-30,Indian Beans (Seam),299,Kerala,32,Wayanad,590,800,1000,900
2016-08-29,Indian Beans (Seam),299,Kerala,32,Wayanad,590,800,1000,800
2016-08-27,Indian Beans (Seam),299,Kerala,32,Wayanad,590,800,1000,900
2016-08-26,Indian Beans (Seam),299,Kerala,32,Wayanad,590,800,1000,900
2016-08-25,Indian Beans (Seam),299,Kerala,32,Wayanad,590,800,1000,900
2016-08-24,Indian Beans (Seam),299,Kerala,32,Wayanad,590,800,900,800
2016-08-23,Indian Beans (Seam),299,Kerala,32,Wayanad,590,800,1000,1000
2016-08-22,Indian Beans (Seam),299,Kerala,32,Wayanad,590,800,1000,1000
2016-08-20,Indian Beans (Seam),299,Kerala,32,Wayanad,590,800,1000,1000
