date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-09-06,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,8900,8900,8900
2025-07-31,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,6500,8500,7750
2025-06-13,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7500,7500,7500
2025-06-06,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,8000,9300,8875
2025-06-05,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7200,8900,8500
2025-06-02,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7750,9660,9500
2025-04-24,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10000,11900,11125
2025-04-22,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10000,12475,11750
2025-04-21,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10000,12650,11750
2025-04-19,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10500,12550,12000
2025-04-18,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,11500,12755,12250
2025-04-17,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,11000,12555,12000
2025-04-16,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10000,12825,12000
2025-04-15,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10500,12920,12000
2025-04-11,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10005,12625,11875
2025-04-10,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10500,13060,12250
2025-04-08,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,11250,13275,12375
2025-04-07,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10000,13500,12500
2025-04-05,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10000,13325,12000
2025-04-04,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10000,12850,11750
2025-04-03,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10000,13140,12500
2025-04-02,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10250,13575,11500
2025-03-24,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10950,12875,11900
2024-12-05,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,3600,4075,4000
2024-08-09,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,11975,11975,11975
2024-07-10,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,11350,11350,11350
2024-07-09,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,12130,12350,12250
2024-06-24,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,11500,13075,12500
2024-06-21,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,13450,13475,13460
2024-06-19,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,13300,13300,13300
2024-06-15,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,8225,12500,12250
2024-06-12,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,12000,13350,12750
2024-06-10,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,11900,13500,12750
2024-06-03,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,12500,13500,13000
2024-06-01,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,11000,13780,12875
2024-05-31,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,13000,13820,13600
2024-05-29,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9575,13650,13000
2024-05-28,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,13590,13975,13800
2024-05-25,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10500,14125,13500
2024-05-15,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10000,14000,13250
2024-05-13,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,11000,13750,13000
2024-05-11,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,11250,13550,12750
2024-05-09,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,12000,12675,12500
2024-05-08,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,11000,12500,11750
2024-05-06,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10500,12900,12000
2024-05-01,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10500,12500,12250
2024-04-27,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10500,11775,11500
2024-04-26,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,11000,12225,11750
2024-04-25,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,11225,11650,11300
2024-04-24,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10000,11950,11250
2024-04-22,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9500,11500,10875
2024-04-20,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9500,11375,10875
2024-04-19,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9000,9875,9625
2024-04-18,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9000,10260,9750
2024-04-15,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9255,11500,10750
2024-04-13,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9750,11125,10750
2024-04-12,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10000,11700,11350
2024-04-11,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10500,12375,11500
2024-04-05,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9005,12950,12000
2024-04-04,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9005,13100,12000
2024-04-02,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,11000,13925,13000
2022-06-10,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,12905,13105,13055
2022-05-26,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,12750,13850,13275
2022-05-21,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,13240,14155,13300
2022-05-17,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,11500,13705,13250
2022-05-12,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,12875,13375,13000
2022-05-11,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,12800,13300,13000
2022-05-07,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9880,12630,12130
2022-04-29,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10500,12250,11775
2022-04-28,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,11000,12330,11815
2022-04-27,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10000,12155,11800
2022-04-26,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9000,12210,11755
2022-04-23,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10000,12265,11750
2022-04-22,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7550,12355,11660
2022-04-20,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10000,12175,11625
2022-04-18,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,11000,12030,11650
2022-04-13,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9500,12400,11925
2022-04-12,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10250,12450,11805
2022-04-11,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9500,12400,11925
2022-04-09,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10250,12400,11805
2022-04-06,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,8650,12610,11675
2022-04-05,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,8375,11900,11205
2022-04-04,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,8950,11750,11110
2022-04-02,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,8500,11505,11000
2022-04-01,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,10500,11605,11000
2021-06-22,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9000,10205,9500
2021-06-14,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9000,10010,9500
2021-06-12,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9000,10210,9500
2021-06-10,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9250,10125,9500
2021-06-09,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9500,10150,9750
2021-06-08,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9150,10075,9500
2021-06-07,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9350,10410,9500
2021-04-08,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7750,8655,8250
2021-04-07,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,8005,8830,8400
2021-04-06,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7000,8425,8150
2021-04-05,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,6000,8340,7700
2021-04-03,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,8200,8680,8400
2020-12-31,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,4500,5665,5250
2020-06-03,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,8000,8705,8400
2019-12-05,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,5000,8000,7000
2019-10-04,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,5125,7375,6500
2019-06-08,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7550,8125,7855
2019-06-01,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,8000,9000,8500
2019-05-28,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,8500,9175,8750
2019-05-24,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7995,8500,8300
2019-05-22,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,8480,9280,9000
2019-05-15,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,8200,9000,8750
2019-05-14,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,8130,9205,9000
2019-05-09,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9325,9355,9350
2019-05-04,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7905,9355,8945
2019-05-03,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9240,9255,9250
2019-05-02,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7000,9455,9100
2019-04-30,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7680,9750,8750
2019-04-27,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,8000,9125,8500
2019-04-26,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9025,9105,9050
2019-04-22,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7450,9225,8500
2019-04-13,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,9200,9805,9500
2019-04-12,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,8955,9630,9425
2019-04-11,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7400,9565,8500
2019-04-10,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7000,9000,7500
2019-04-09,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,8490,8900,8700
2019-04-08,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7500,8375,8000
2019-04-06,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7275,8480,7980
2019-04-05,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7625,8550,8000
2019-04-04,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7410,8250,7500
2019-04-03,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7325,8250,7705
2019-04-02,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7200,7825,7500
2019-04-01,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7000,7865,7250
2019-02-14,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,6330,6850,6500
2018-12-03,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,4600,7150,6500
2018-11-16,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7250,7550,7375
2018-09-27,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,6740,7060,6800
2018-09-25,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,5325,6805,6000
2018-09-17,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7140,7305,7250
2018-08-30,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7405,7605,7450
2018-08-20,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7255,7805,7730
2018-08-16,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,7045,7230,7125
2018-08-08,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,6755,7500,7000
2018-08-06,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,6850,7240,7000
2018-07-16,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,6255,6810,6660
2018-07-14,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,5900,6680,6125
2018-07-13,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,5000,6650,6000
2018-07-12,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,6325,6630,6400
2018-06-26,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,4730,6000,5000
2018-06-25,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,5250,5680,5365
2018-06-20,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,5255,6125,5500
2018-06-19,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,5625,6000,5950
2018-06-18,Isabgul (Psyllium),256,Gujarat,24,Rajkot,476,5500,6000,5500
