date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-07-30,Jack Fruit,182,Nagaland,13,Kohima,270,2500,3000,2700
2025-07-28,Jack Fruit,182,Nagaland,13,Kohima,270,2000,2800,2500
2024-06-26,Jack Fruit,182,Nagaland,13,Kohima,270,2000,2500,2300
2023-08-29,Jack Fruit,182,Nagaland,13,Kohima,270,2500,3500,3000
2023-07-06,Jack Fruit,182,Nagaland,13,Kohima,270,2300,2800,2500
2023-06-23,Jack Fruit,182,Nagaland,13,Kohima,270,2500,3000,2800
2023-06-21,Jack Fruit,182,Nagaland,13,Kohima,270,2000,3000,2500
2023-06-20,Jack Fruit,182,Nagaland,13,Kohima,270,2500,3500,3000
2023-06-19,Jack Fruit,182,Nagaland,13,Kohima,270,2500,3500,3000
2023-06-12,Jack Fruit,182,Nagaland,13,Kohima,270,2500,3500,3000
2023-06-09,Jack Fruit,182,Nagaland,13,Kohima,270,3000,3500,3200
2023-06-07,Jack Fruit,182,Nagaland,13,Kohima,270,2500,3000,2800
2023-06-06,Jack Fruit,182,Nagaland,13,Kohima,270,2300,2800,2500
2023-06-05,Jack Fruit,182,Nagaland,13,Kohima,270,2500,3500,3000
2023-06-01,Jack Fruit,182,Nagaland,13,Kohima,270,2500,3000,2800
2016-08-11,Jack Fruit,182,Nagaland,13,Kohima,270,500,600,550
2016-07-27,Jack Fruit,182,Nagaland,13,Kohima,270,500,600,550
2016-07-20,Jack Fruit,182,Nagaland,13,Kohima,270,500,600,550
