date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-15,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2250,4000,3150
2025-10-14,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3055,3700,3375
2025-10-13,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2250,3500,2900
2025-10-11,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3095,3095,3095
2025-10-10,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2750,2750,2750
2025-10-09,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2500,3750,3150
2025-10-08,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3250,3250,3250
2025-10-07,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3365,3365,3365
2025-09-30,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3110,3805,3500
2025-09-27,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2675,2675,2675
2025-09-25,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2805,3950,3500
2025-09-24,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3090,4265,3732.5
2025-09-22,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2750,3875,3300
2025-09-20,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2747.5,3047.5,2950
2025-09-19,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3705,3705,3705
2025-09-18,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3000,3800,3350
2025-09-17,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3170,3865,3577.5
2025-09-16,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2875,4375,4075
2025-09-15,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3350,4180,3850
2025-09-13,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3000,3900,3750
2025-09-12,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3745,4057.5,3892.5
2025-09-11,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3002.5,3675,3387.5
2025-09-10,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3000,3000,3000
2025-09-09,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2930,3802.5,3475
2025-09-08,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2750,3605,3250
2025-09-06,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3837.5,3837.5,3837.5
2025-09-05,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3090,3562.5,3350
2025-09-04,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3605,3605,3605
2025-09-03,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3250,3725,3537.5
2025-09-02,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3465,4505,3675
2025-09-01,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3760,3900,3900
2025-08-30,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3200,3835,3550
2025-08-29,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3250,3250,3250
2025-08-28,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,4465,4575,4465
2025-08-26,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2500,4000,3450
2025-08-25,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,4630,4630,4630
2025-08-22,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3425,3695,3695
2025-08-21,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3605,4760,4250
2025-08-20,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3427.5,3932.5,3727.5
2025-08-19,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3110,4120,3755
2025-08-18,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3100,4027.5,3600
2025-08-14,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3780,4205,3940
2025-08-13,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3525,4265,3950
2025-08-12,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2827.5,4372.5,3857.5
2025-08-11,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3125,4377.5,3937.5
2025-08-08,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3472.5,4110,3770
2025-08-07,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3642.5,5285,4087.5
2025-08-06,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3290,5090,4200
2025-08-05,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3502.5,4105,3900
2025-08-04,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2955,4240,3825
2025-08-02,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3105,3780,3700
2025-08-01,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3227.5,4322.5,3825
2025-07-30,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2950,3900,3750
2025-07-29,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2965,3927.5,3520
2025-07-28,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2985,3972.5,3360
2025-07-26,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3155,4000,3850
2025-07-25,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2755,4125,3750
2025-07-24,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3157.5,4140,3625
2025-07-23,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3130,4440,3900
2025-07-22,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2750,4350,3550
2025-07-21,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2750,4000,3350
2025-07-19,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,1995,4000,3325
2025-07-18,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2875,3962.5,3750
2025-07-17,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3250,4312.5,3877.5
2025-07-16,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2937.5,4570,3650
2025-07-15,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2962.5,4500,3525
2025-07-14,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2627.5,4592.5,3650
2025-07-12,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2800,3325,3060
2025-07-11,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2757.5,5227.5,3575
2025-07-09,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,2750,4270,3587.5
2025-07-08,Jowar (Sorghum),5,Gujarat,24,Gandhinagar,473,3095,4242.5,3625
