date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2024-04-04,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,1800,1800,1800
2022-10-29,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,1300,1300,1300
2019-10-31,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,1400,1700,1500
2019-07-29,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,1700,1700,1700
2019-06-18,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,1100,1400,1200
2019-05-21,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,1500,1500,1500
2019-05-17,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,1200,1400,1300
2019-04-30,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,1350,1350,1350
2019-04-24,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,1100,1300,1200
2019-04-11,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,1000,1200,1100
2019-04-09,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,1400,1400,1400
2019-03-07,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,1000,1200,1100
2019-02-12,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,900,1100,1000
2019-02-07,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,1400,1400,1400
2018-12-24,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,1000,1200,1100
2018-09-16,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,1000,1000,1000
2018-08-23,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,700,800,750
2018-07-25,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,1000,1200,1100
2018-06-20,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,900,1100,1000
2018-04-10,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,1100,1300,1200
2018-02-26,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,900,1100,1000
2018-01-24,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,1100,1200,1150
2017-01-18,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,900,1200,1100
2016-12-31,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,900,1100,1000
2016-07-08,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,1000,1300,1200
2016-02-04,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,1000,1200,1100
2015-12-18,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,1100,1450,1330
2015-11-07,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,800,1000,900
2015-11-03,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,800,1000,900
2015-10-29,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,800,1000,900
2015-10-28,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,800,1000,900
2015-10-17,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,800,1000,900
2015-10-03,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,800,1000,900
2015-09-09,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,800,1000,850
2015-09-08,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,800,1000,850
2015-08-28,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,800,1000,850
2015-08-18,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,800,1000,850
2015-08-03,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,800,1100,850
2015-07-30,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,1000,1200,1100
2015-05-21,Jowar (Sorghum),5,Madhya Pradesh,23,Alirajpur,465,1000,1300,1100
