date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-07-25,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,2600,2600,2600
2025-07-20,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1600,1600,1600
2025-07-19,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,2000,2000,2000
2025-07-18,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1800,1800,1800
2025-06-29,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1300,1400,1350
2025-06-28,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1600,2500,1850
2025-06-26,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1200,1200,1200
2025-06-25,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1300,1300,1300
2025-06-24,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1300,1300,1300
2025-06-23,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1300,1300,1300
2025-06-19,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1400,1400,1400
2025-06-18,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1650,1900,1750
2025-06-17,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1150,1250,1200
2025-06-13,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1300,1300,1300
2025-06-12,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1066.6666666666667,1300,1166.6666666666667
2025-06-11,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1600,1600,1600
2025-06-10,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1333.3333333333333,1500,1433.3333333333333
2025-06-09,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1400,1400,1400
2025-06-08,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1166.6666666666667,1333.3333333333333,1233.3333333333333
2025-06-07,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1500,2000,1800
2025-06-06,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1433.3333333333333,1600,1533.3333333333333
2025-06-05,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1366.6666666666667,1533.3333333333333,1466.6666666666667
2025-06-04,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1400,1650,1550
2025-06-03,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1200,1400,1250
2025-06-02,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1300,1400,1350
2025-06-01,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1333.3333333333333,1666.6666666666667,1466.6666666666667
2025-05-31,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,800,1000,900
2025-05-30,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1000,1250,1100
2025-05-29,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1233.3333333333333,1433.3333333333333,1350
2025-05-28,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1133.3333333333333,1300,1200
2025-05-27,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1233.3333333333333,1400,1300
2025-05-26,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1150,1200,1175
2025-05-25,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1250,1637.5,1422.75
2025-05-24,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1266.6666666666667,1433.3333333333333,1366.6666666666667
2025-05-23,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1300,1640,1480
2025-05-22,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1460,1740,1590
2025-05-21,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1200,1660,1354.6
2025-05-20,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1100,1466.6666666666667,1283.3333333333333
2025-05-19,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,966.6666666666666,1033.3333333333333,1000
2025-05-18,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1080,1340,1208
2025-05-17,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1275,1550,1420.75
2025-05-16,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1125,1400,1225
2025-05-15,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1175,1375,1275
2025-05-14,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1275,1800,1553.5
2025-05-13,Karbuja (Musk Melon),187,Uttarakhand,5,Udham Singh Nagar,67,1375,1700,1490
