date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-29,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-10-28,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-10-27,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-10-19,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-10-18,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-10-17,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-10-16,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-10-15,Leafy Vegetable,171,Gujarat,24,Vadodara,486,2800,3000,2900
2025-10-14,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-10-13,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-10-12,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-10-11,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-10-08,Leafy Vegetable,171,Gujarat,24,Vadodara,486,2800,3000,2900
2025-10-05,Leafy Vegetable,171,Gujarat,24,Vadodara,486,2800,3000,2900
2025-10-04,Leafy Vegetable,171,Gujarat,24,Vadodara,486,2800,3000,2900
2025-10-03,Leafy Vegetable,171,Gujarat,24,Vadodara,486,2800,3000,2900
2025-10-02,Leafy Vegetable,171,Gujarat,24,Vadodara,486,2800,3000,2900
2025-09-30,Leafy Vegetable,171,Gujarat,24,Vadodara,486,2800,3000,2900
2025-09-29,Leafy Vegetable,171,Gujarat,24,Vadodara,486,2800,3000,2900
2025-09-28,Leafy Vegetable,171,Gujarat,24,Vadodara,486,2800,3000,2900
2025-09-27,Leafy Vegetable,171,Gujarat,24,Vadodara,486,2800,3000,2900
2025-09-26,Leafy Vegetable,171,Gujarat,24,Vadodara,486,2800,3000,2900
2025-09-25,Leafy Vegetable,171,Gujarat,24,Vadodara,486,5500,6000,5800
2025-09-24,Leafy Vegetable,171,Gujarat,24,Vadodara,486,2800,3000,2900
2025-09-23,Leafy Vegetable,171,Gujarat,24,Vadodara,486,2800,3000,2900
2025-09-22,Leafy Vegetable,171,Gujarat,24,Vadodara,486,2800,3000,2900
2025-09-19,Leafy Vegetable,171,Gujarat,24,Vadodara,486,2800,3000,2900
2025-09-18,Leafy Vegetable,171,Gujarat,24,Vadodara,486,2800,3000,2900
2025-09-17,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,5000,4500
2025-09-16,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,5000,4900
2025-09-15,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4800,5000,4900
2025-09-14,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4800,5000,4900
2025-09-13,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4800,5000,4900
2025-09-12,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4800,5000,4900
2025-09-11,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4800,5000,4900
2025-09-10,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4800,5000,4900
2025-09-09,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-09-08,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-09-05,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-09-04,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-09-03,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-09-02,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-09-01,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-08-31,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-08-28,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-08-27,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-08-25,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-08-24,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-08-22,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-08-21,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-08-20,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-08-19,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-08-18,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-08-16,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-08-15,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-08-13,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-08-12,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3800,4000,3900
2025-08-11,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4800,5000,4900
2025-08-10,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4800,5000,4900
2025-08-08,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4800,5000,4900
2025-08-07,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4800,5000,4900
2025-08-06,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4800,5000,4900
2025-08-05,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4800,5000,4900
2025-08-04,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4800,5000,4900
2025-08-03,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4800,5000,4900
2025-08-02,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4800,5000,4900
2025-08-01,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4800,5000,4900
2025-07-31,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4800,5000,4900
2025-07-30,Leafy Vegetable,171,Gujarat,24,Vadodara,486,2000,2500,2300
2025-07-29,Leafy Vegetable,171,Gujarat,24,Vadodara,486,2000,2500,2300
2025-07-28,Leafy Vegetable,171,Gujarat,24,Vadodara,486,2000,2500,2300
2025-07-27,Leafy Vegetable,171,Gujarat,24,Vadodara,486,2000,2500,2300
2025-07-26,Leafy Vegetable,171,Gujarat,24,Vadodara,486,2000,2500,2300
2025-07-25,Leafy Vegetable,171,Gujarat,24,Vadodara,486,2000,2500,2300
2025-07-23,Leafy Vegetable,171,Gujarat,24,Vadodara,486,3000,4000,3500
2025-07-22,Leafy Vegetable,171,Gujarat,24,Vadodara,486,2000,2500,2300
2025-07-21,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4800,5000,4900
2025-07-20,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4800,5000,4900
2025-07-19,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4800,5000,4900
2025-07-18,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4800,5000,4900
2025-07-17,Leafy Vegetable,171,Gujarat,24,Vadodara,486,5500,6000,5800
2025-07-16,Leafy Vegetable,171,Gujarat,24,Vadodara,486,5500,6000,5800
2025-07-15,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4500,5000,4800
2025-07-14,Leafy Vegetable,171,Gujarat,24,Vadodara,486,5500,6000,5800
2025-07-13,Leafy Vegetable,171,Gujarat,24,Vadodara,486,5500,6000,5800
2025-07-12,Leafy Vegetable,171,Gujarat,24,Vadodara,486,5500,6000,5800
2025-07-11,Leafy Vegetable,171,Gujarat,24,Vadodara,486,5500,6000,5800
2025-07-09,Leafy Vegetable,171,Gujarat,24,Vadodara,486,5500,6000,5800
2025-07-08,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4800,5000,4900
2025-07-06,Leafy Vegetable,171,Gujarat,24,Vadodara,486,5500,6000,5800
2025-07-05,Leafy Vegetable,171,Gujarat,24,Vadodara,486,5500,6000,5800
2025-07-04,Leafy Vegetable,171,Gujarat,24,Vadodara,486,5500,6000,5800
2025-07-02,Leafy Vegetable,171,Gujarat,24,Vadodara,486,5500,6000,5800
2025-07-01,Leafy Vegetable,171,Gujarat,24,Vadodara,486,5500,6000,5800
2025-06-30,Leafy Vegetable,171,Gujarat,24,Vadodara,486,5500,6000,5800
2025-06-29,Leafy Vegetable,171,Gujarat,24,Vadodara,486,4500,5000,4800
