date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2017-05-10,Lemon,310,Andhra Pradesh,28,Y.S.R.,551,300,500,400
2017-04-24,Lemon,310,Andhra Pradesh,28,Y.S.R.,551,400,500,450
2017-04-12,Lemon,310,Andhra Pradesh,28,Y.S.R.,551,300,500,400
2017-04-11,Lemon,310,Andhra Pradesh,28,Y.S.R.,551,300,500,400
2017-04-10,Lemon,310,Andhra Pradesh,28,Y.S.R.,551,300,500,400
2017-04-07,Lemon,310,Andhra Pradesh,28,Y.S.R.,551,300,500,400
2017-04-06,Lemon,310,Andhra Pradesh,28,Y.S.R.,551,300,500,400
2017-03-23,Lemon,310,Andhra Pradesh,28,Y.S.R.,551,400,600,500
2017-02-27,Lemon,310,Andhra Pradesh,28,Y.S.R.,551,300,500,400
2017-02-15,Lemon,310,Andhra Pradesh,28,Y.S.R.,551,300,500,400
2017-02-14,Lemon,310,Andhra Pradesh,28,Y.S.R.,551,300,400,350
2017-02-07,Lemon,310,Andhra Pradesh,28,Y.S.R.,551,300,500,400
2017-02-06,Lemon,310,Andhra Pradesh,28,Y.S.R.,551,400,600,500
2017-01-31,Lemon,310,Andhra Pradesh,28,Y.S.R.,551,500,700,600
2017-01-27,Lemon,310,Andhra Pradesh,28,Y.S.R.,551,300,500,400
2017-01-19,Lemon,310,Andhra Pradesh,28,Y.S.R.,551,400,600,500
2015-03-02,Lemon,310,Andhra Pradesh,28,Y.S.R.,551,300,350,325
